,complaintid,buildingid,boroughid,borough,housenumber,streetname,zip,block,lot,apartment,communityboard,receiveddate,statusid,status,statusdate
150,7419326,345401,3,BROOKLYN,109,NORTH 7 STREET,11249,2318,29,4L,1,2015-04-01T00:00:00.000,2,CLOSE,2015-04-05T00:00:00.000
151,7419327,65767,2,BRONX,806,EAST 175 STREET,10460,2952,46,2G,6,2015-04-01T00:00:00.000,2,CLOSE,2015-04-16T00:00:00.000
152,7419328,51001,2,BRONX,1030,BOYNTON AVENUE,10472,3715,17,BLDG,9,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
153,7419329,100520,2,BRONX,392,OLIVER PLACE,10458,3279,13,BLDG,7,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
154,7419330,198659,3,BROOKLYN,1002,BARBEY STREET,11207,4399,14,1,5,2015-04-01T00:00:00.000,2,CLOSE,2015-04-05T00:00:00.000
155,7419331,46502,2,BRONX,2800,BAILEY AVENUE,10463,3259,6,51D,8,2015-04-01T00:00:00.000,2,CLOSE,2015-04-06T00:00:00.000
156,7419332,51001,2,BRONX,1030,BOYNTON AVENUE,10472,3715,17,2J,9,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
157,7419333,55615,2,BRONX,1381,CASTLE HILL AVENUE,10462,3935,53,B15,9,2015-04-01T00:00:00.000,2,CLOSE,2015-04-04T00:00:00.000
158,8320188,197847,3,BROOKLYN,125,BAINBRIDGE STREET,11233,1680,53,1,3,2016-12-28T00:00:00.000,2,CLOSE,2017-01-04T00:00:00.000
159,7419335,52471,2,BRONX,3603,BRONXWOOD AVENUE,10469,4672,107,BLDG,12,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
160,7419336,4869,1,MANHATTAN,746,9 AVENUE,10019,1041,3,2RN,4,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
161,7419337,12716,1,MANHATTAN,234,EAST 25 STREET,10010,905,40,12,6,2015-04-01T00:00:00.000,2,CLOSE,2015-04-09T00:00:00.000
162,7419338,55615,2,BRONX,1381,CASTLE HILL AVENUE,10462,3935,53,B15,9,2015-04-01T00:00:00.000,2,CLOSE,2015-04-04T00:00:00.000
163,7419339,27412,1,MANHATTAN,106,RIVINGTON STREET,10002,411,72,3FL,3,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
164,7419340,42871,1,MANHATTAN,550,WEST 160 STREET,10032,2118,18,2A,12,2015-04-01T00:00:00.000,2,CLOSE,2015-04-04T00:00:00.000
