school_year,location_name,location_code,borough,geographical_district_code,register,schools,nypd_site_code,nypd_site_name,schools_in_building,major_n,oth_n,nocrim_n,prop_n,vio_n,engroupa,rangea,avgofmajor_n,avgofoth_n,avgofnocrim_n,avgofprop_n,avgofvio_n,geocode,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,postcode,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,building_name
2016 - 17,P.S. 272 Curtis Estabrook,K272,K,18,332,3,287,PS 269K,Mott Hall IV |  Eagle Academy for Young Men II |Ocean Hill Collegiate Charter School |1137 HERKIMER STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '43.511707', 'longitude': '-70.390306', 'human_address': '{""address"": ""101 24 SEAVIEW AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",31712.0,,,,,11236.0,40.635916,-73.886412,18.0,46.0,1034.0,3235262.0,3083290250.0,Canarsie                                                                   ,1137 HERKIMER STREET CONSOLIDATED LOCATION
2016 - 17,2310 GLENWOOD ROAD CONSOLIDATED LOCATION,K152,K,22,774,2,95,PS 151K,School of Science & Technology |  P.S. K315 |  2310 GLENWOOD ROAD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.633264', 'longitude': '-73.9544', 'human_address': '{""address"": ""2310 GLENWOOD ROAD"", ""city"": """", ""state"": """", ""zip"": """"}'}",17217.0,60.0,2.0,26.0,43.0,11210.0,40.633232,-73.954655,14.0,45.0,772.0,3205780.0,3075510026.0,Flatbush                                                                   ,2310 GLENWOOD ROAD CONSOLIDATED LOCATION
2016 - 17,Transit Tech Career and Technical Education High S,K615,K,19,451,2,15,GEORGE WESTINGHOUSE HS,Frances Perkins Academy | Automotive High School |  50 BEDFORD AVENUE CONSOLIDATED LOCATION,0,4,6,2,2,3C,251-500,0.27,0.9,1.67,0.63,0.44,"{'latitude': '38.996703', 'longitude': '-84.626848', 'human_address': '{""address"": ""1 WELLS STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",16836.0,,,,,,,,,,,,,,50 BEDFORD AVENUE CONSOLIDATED LOCATION
2016 - 17,Bronx Community High School,X377,X,8,323,8,527,THEODORE ROOSEVELT HS,Pablo Neruda Academy|Millennium Art Academy|Antonia Pantoja Preparatory Academy: A College Boa|Bronx Community High School|BRONX BRIDGES HIGH SCHOOL|Bronx Guild|Stevenson Yabc|Bronx Compass High School|1980 LAFAYETTE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '37.665046', 'longitude': '-120.962673', 'human_address': '{""address"": ""1980 LAFAYETTE AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",13664.0,,,,,10473.0,40.82229,-73.856167,9.0,18.0,16.0,2022205.0,2036040039.0,Soundview-Castle Hill-Clason Point-Harding Park                            ,1980 LAFAYETTE AVENUE CONSOLIDATED LOCATION
2016 - 17,70 TOMPKINS AVENUE CONSOLIDATED LOCATION,K033,K,14,791,2,205,PS 032K,  P.S. 368|  Success Academy Charter School - Bed-Stuy 1|  70 TOMPKINS AVENUE CONSOLIDATED LOCATION,1,0,0,1,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"{'latitude': '41.510368', 'longitude': '-73.981065', 'human_address': '{""address"": ""70 TOMPKINS AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",19404.0,,,,,11206.0,40.697152,-73.946641,3.0,36.0,257.0,3048517.0,3017430018.0,Bedford                                                                    ,70 TOMPKINS AVENUE CONSOLIDATED LOCATION
2016 - 17,225 ADELPHI STREET CONSOLIDATED LOCATION,K020,K,13,927,2,58,PS 019K,P.S. 020 Clinton Hill |  Academy of Arts and Letters |  225 ADELPHI STREET CONSOLIDATED LOCATION,0,0,0,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"{'latitude': '40.691', 'longitude': '-73.971441', 'human_address': '{""address"": ""225 ADELPHI STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",17212.0,68.0,2.0,48.0,55.0,11205.0,40.690765,-73.971376,2.0,35.0,183.0,3058531.0,3020910003.0,Fort Greene                                                                ,225 ADELPHI STREET CONSOLIDATED LOCATION
2016 - 17,P.S. 155 William Paca,M155,M,4,317,2,607,PS 146M,P.S. 154 Harriet Tubman | Democracy Prep Endurance Charter School | 250 West 127 Street,0,0,1,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"{'latitude': '41.681376', 'longitude': '-87.616066', 'human_address': '{""address"": ""319 EAST 117 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",21861.0,,,,,10035.0,40.797302,-73.936365,11.0,8.0,188.0,1052986.0,1016890005.0,East Harlem North                                                          ,
2016 - 17,Bronx High School of Business,X412,X,9,407,7,324,BRONX REGIONAL HS,Bronx Collegiate Academy |DreamYard Preparatory School |New Directions Secondary School |Bronx High School of Business |Bronx High School for Medical Science |Jonathan Levin High School for Media and Communica |Claremont International HS |240 EAST 172 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '43.060393', 'longitude': '-77.498088', 'human_address': '{""address"": ""240 EAST 172 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",4486.0,,,,,10457.0,40.840422,-73.91091,4.0,16.0,225.0,2007806.0,2028170002.0,East Concourse-Concourse Village                                           ,240 EAST 172 STREET CONSOLIDATED LOCATION
2016 - 17,Childrenâs Aid College Prep Charter School,X124,X,12,204,3,442,IS 203X,Urban Institute of Mathematics| Bronx Delta School| Mott Hall Community School| 650 HOLLYWOOD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'latitude': '41.986541', 'longitude': '-87.8328', 'human_address': '{""address"": ""1919 PROSPECT AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",9012.0,,,,,10457.0,40.843546,-73.889755,6.0,17.0,36901.0,2094582.0,2029510032.0,East Tremont                                                               ,650 HOLLYWOOD AVENUE CONSOLIDATED LOCATION
2016 - 17,J.H.S. 143 Eleanor Roosevelt,M143,M,6,356,2,533,Percy E. Sutton Educ. Complex/Formerly BREAD & ROSES HS,P.S. 142 Amalia Castro | Manhattan Charter School | 100 Attorney Street,0,0,0,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"{'latitude': '40.849185', 'longitude': '-73.931585', 'human_address': '{""address"": ""511 WEST 182ND STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",13091.0,47.0,4.0,39.0,22.0,10033.0,40.848908,-73.930948,12.0,10.0,269.0,1063703.0,1021550035.0,Washington Heights North                                                   ,
