dbn,school_name,school_type,parent_response_rate,teacher_response_rate,student_response_rate,total_safety_and_respect,total_communication_score,total_engagement_score,total_academic_expectations
dbn,locationname,NA,rr_p,rr_t,rr_s,saf_tot_12,com_tot_12,eng_tot_12,aca_tot_12
03M208,P.S. 208 Alain L. Locke,Elementary School,81%,90%,NA,8.8,8.1,8.5,8.6
03M241,Stem Institute Of Manhattan,Elementary School,84%,83%,NA,8.1,7.2,7.9,7.6
03M243,M.S. 243 Center School,Middle School,67%,93%,99%,8.8,8.0,8.6,8.6
03M245,M.S. M245 The Computer School,Middle School,39%,88%,95%,8.2,7.1,7.5,7.9
03M247,M.S. M247 Dual Language Middle School,Middle School,80%,80%,100%,8.7,7.7,8.0,8.6
03M250,M.S. 250 West Side Collaborative Middle School,Middle School,58%,100%,96%,8.6,8.1,8.6,8.9
03M256,M.S. 256 Academic & Athletic Excellence,Middle School,22%,100%,85%,7.3,6.6,7.1,7.5
03M258,Community Action School - Ms 258,Middle School,31%,96%,86%,8.1,7.3,7.8,8.1
03M283,Manhattan Theatre Lab High School,High School,6%,75%,37%,6.2,5.0,5.3,5.5
03M299,"High School For Arts, Imagination And Inquiry",High School,21%,96%,74%,7.3,6.6,6.9,7.3
03M307,"Urban Assembly School For Media Studies, The",High School,13%,100%,76%,7.3,7.0,7.3,7.7
03M333,P.S. 333 Manhattan School For Children,Elementary/Middle School,42%,43%,82%,8.0,7.6,8.2,8.2
03M334,The Anderson School,Elementary/Middle School,82%,88%,100%,8.5,7.8,8.2,8.7
03M402,The Urban Assembly School For Green Careers,High School,33%,92%,28%,6.9,6.5,6.9,7.0
03M403,The Global Learning Collaborative,High School,20%,96%,87%,7.7,7.5,7.6,7.8
03M404,Innovation Diploma Plus,Transfer High School,44%,60%,56%,7.7,7.1,7.3,7.7
03M415,Wadleigh Secondary School For The Performing & Vis,Middle/High School,46%,80%,72%,6.7,6.6,6.7,7.1
03M417,Frank Mccourt High School,High School,32%,82%,97%,7.5,6.9,6.9,7.4
03M421,West Prep Academy,Middle School,76%,93%,82%,7.7,7.4,7.7,7.9
03M452,P.S. 452,Early Childhood School,73%,90%,NA,9.1,9.0,8.9,9.1
03M470,Louis D. Brandeis High School,High School,4%,35%,82%,6.8,6.4,6.6,7.0
03M479,Beacon High School,High School,29%,88%,82%,7.9,7.2,7.7,8.0
