,borough,geographical_district,admin_district,ats_code,location_name,grade_level,bldg_id,bldg_name,ownership,room_number,square_feet,room_function,shared_with_other_schools,inside_v_outside,space_used_for_any_other_purpose_beside_pe
94,Manhattan,1,1,01M539,"New Explorations into Science, Technology and Math High School",K-12 all grades,M022,N.E.S.T (OLD J22) - MANHATTAN,DOE Owned,GYM,"6,600",GYMNASIUM,N,Inside,N
95,Manhattan,1,1,01M539,"New Explorations into Science, Technology and Math High School",K-12 all grades,M022,N.E.S.T (OLD J22) - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"6,489",OUTDOOR YARD,N,Outside,N
96,Manhattan,1,1,01M650,Cascades High School,High school,M510,FORSYTH HS (AUXSVC-OLD 91) - M,DOE Owned,401,567,DANCE ROOM,Y,Inside,N
97,Manhattan,1,1,01M650,Cascades High School,High school,M510,FORSYTH HS (AUXSVC-OLD 91) - M,DOE Owned,GYM,"2,464",GYMNASIUM,Y,Inside,N
98,Manhattan,1,1,01M696,Bard High School Early College,High school,M097,BARD COLLEGE HS (OLD M097) - M,DOE Owned,209,675,MULTI-PURPOSE NON CLASSROOM,N,Inside,Y
99,Manhattan,1,1,01M696,Bard High School Early College,High school,M097,BARD COLLEGE HS (OLD M097) - M,DOE Owned,GYM,"1,147",GYMNASIUM,N,Inside,N
100,Manhattan,1,1,01M839,Tompkins Square Middle School,Junior High-Intermediate-Middle,M064,P.S. 64 (OLD 71) - MANHATTAN,DOE Owned,224,"1,650",MULTI-PURPOSE CLASSROOM,Y,Inside,Y
101,Manhattan,1,1,01M839,Tompkins Square Middle School,Junior High-Intermediate-Middle,M064,P.S. 64 (OLD 71) - MANHATTAN,DOE Owned,B43,"1,344",DANCE ROOM,Y,Inside,N
102,Manhattan,1,1,01M839,Tompkins Square Middle School,Junior High-Intermediate-Middle,M064,P.S. 64 (OLD 71) - MANHATTAN,DOE Owned,B53,"6,336",GYMNASIUM,Y,Inside,N
103,Manhattan,1,1,01M839,Tompkins Square Middle School,Junior High-Intermediate-Middle,M064,P.S. 64 (OLD 71) - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"13,310",OUTDOOR YARD,Y,Outside,N
104,Manhattan,1,1,01M839,Tompkins Square Middle School,Junior High-Intermediate-Middle,M064,P.S. 64 (OLD 71) - MANHATTAN,DOE Owned,OUTDOOR YARD 2,"14,159",OUTDOOR YARD,Y,Outside,N
105,Manhattan,2,2,02M001,P.S. 001 Alfred E. Smith,Elementary,M001,P.S. 1 - MANHATTAN,DOE Owned,505,525,ADAPTIVE PHYSICAL EDUCATION,N,Inside,N
106,Manhattan,2,2,02M001,P.S. 001 Alfred E. Smith,Elementary,M001,P.S. 1 - MANHATTAN,DOE Owned,GR FL,"5,472",MULTI-PURPOSE NON CLASSROOM,N,Inside,Y
107,Manhattan,2,2,02M001,P.S. 001 Alfred E. Smith,Elementary,M001,P.S. 1 - MANHATTAN,DOE Owned,GYM.,"3,584",GYMNASIUM,N,Inside,N
108,Manhattan,2,2,02M001,P.S. 001 Alfred E. Smith,Elementary,M001,P.S. 1 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"4,872",OUTDOOR YARD,N,Outside,N
109,Manhattan,2,2,02M002,P.S. 002 Meyer London,Elementary,M002,P.S. 2 - MANHATTAN,DOE Owned,GYM.,"3,819",GYMNASIUM,N,Inside,N
110,Manhattan,2,2,02M002,P.S. 002 Meyer London,Elementary,M002,P.S. 2 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"36,183",OUTDOOR YARD,N,Outside,N
111,Manhattan,2,2,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - MANHATTAN,DOE Owned,400,546,DANCE ROOM,N,Inside,N
112,Manhattan,2,2,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - MANHATTAN,DOE Owned,402,945,DANCE ROOM,N,Inside,N
113,Manhattan,2,2,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - MANHATTAN,DOE Owned,506A,276,MULTI-PURPOSE CLASSROOM,N,Inside,Y
114,Manhattan,2,2,02M006,P.S. 006 Lillie D. Blake,Elementary,M006,P.S. 6 - MANHATTAN,DOE Owned,GYM,"3,710",GYMNASIUM,N,Inside,N
115,Manhattan,2,2,02M006,P.S. 006 Lillie D. Blake,Elementary,M006,P.S. 6 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"19,173",OUTDOOR YARD,N,Outside,N
116,Manhattan,2,2,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - MANHATTAN,DOE Owned,502,"1,254",DANCE ROOM,N,Inside,N
117,Manhattan,2,2,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - MANHATTAN,DOE Owned,520,"1,232",GYMNASIUM,N,Inside,N
118,Manhattan,2,2,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"14,192",OUTDOOR YARD,N,Outside,N
119,Manhattan,2,2,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - MANHATTAN,DOE Owned,POOL,"4,674",SWIMMING POOL,N,Inside,N
120,Manhattan,2,2,02M033,P.S. 033 Chelsea Prep,Elementary,M033,P.S. 33 - MANHATTAN,DOE Owned,108,"3,504",GYMNASIUM,Y,Inside,N
121,Manhattan,2,2,02M033,P.S. 033 Chelsea Prep,Elementary,M033,P.S. 33 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"8,950",OUTDOOR YARD,Y,Outside,N
122,Manhattan,2,2,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,DOE Owned,1ST FL,"4,503",GYMNASIUM,Y,Inside,N
123,Manhattan,2,2,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,DOE Owned,202A,175,MULTI-PURPOSE NON CLASSROOM,Y,Inside,Y
124,Manhattan,2,2,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,DOE Owned,202B,408,MULTI-PURPOSE NON CLASSROOM,Y,Inside,Y
125,Manhattan,2,2,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,DOE Owned,3 FL,"2,652",GYMNASIUM,Y,Inside,N
126,Manhattan,2,2,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"7,980",OUTDOOR YARD,Y,Outside,N
127,Manhattan,2,2,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - MANHATTAN,DOE Owned,232,675,DANCE ROOM,N,Inside,N
128,Manhattan,2,2,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - MANHATTAN,DOE Owned,234,675,MULTI-PURPOSE CLASSROOM,N,Inside,Y
129,Manhattan,2,2,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - MANHATTAN,DOE Owned,GYM,"3,850",GYMNASIUM,N,Inside,N
130,Manhattan,2,2,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"25,458",OUTDOOR YARD,N,Outside,N
131,Manhattan,2,2,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - MANHATTAN,DOE Owned,102,"4,060",GYM/CAFETERIA,N,Inside,Y
132,Manhattan,2,2,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - MANHATTAN,DOE Owned,510,"1,742",MULTI-PURPOSE ROOM,N,Inside,Y
133,Manhattan,2,2,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - MANHATTAN,DOE Owned,511,"2,496",GYMNASIUM,N,Inside,N
134,Manhattan,2,2,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"8,802",OUTDOOR YARD,N,Outside,N
135,Manhattan,2,2,02M047,47 The American Sign Language and English Secondary School,High school,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,DOE Owned,508,740,WEIGHT ROOM,Y,Inside,N
136,Manhattan,2,2,02M047,47 The American Sign Language and English Secondary School,High school,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,DOE Owned,GYM,"5,184",GYMNASIUM,Y,Inside,N
137,Manhattan,2,2,02M047,47 The American Sign Language and English Secondary School,High school,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,DOE Owned,OUTDOOR YARD 1,"10,087",OUTDOOR YARD,Y,Outside,N
138,Manhattan,2,2,02M051,P.S. 051 Elias Howe,Elementary,M338,P.S. 51 ELIAS HOWE - MANHATTAN,DOE Owned,114,"3,136",GYM/AUDITORIUM,Y,Inside,Y
139,Manhattan,2,2,02M051,P.S. 051 Elias Howe,Elementary,M338,P.S. 51 ELIAS HOWE - MANHATTAN,DOE Owned,320,"4,895",GYMNASIUM,Y,Inside,N
140,Manhattan,2,2,02M059,P.S. 059 Beekman Hill International,Elementary,M488,MIDTOWN EAST CAMPUS - MANHATTAN,DOE Owned,108,720,MULTI-PURPOSE NON CLASSROOM,Y,Inside,Y
141,Manhattan,2,2,02M059,P.S. 059 Beekman Hill International,Elementary,M488,MIDTOWN EAST CAMPUS - MANHATTAN,DOE Owned,426,"1,980",WEIGHT ROOM,Y,Inside,N
142,Manhattan,2,2,02M059,P.S. 059 Beekman Hill International,Elementary,M488,MIDTOWN EAST CAMPUS - MANHATTAN,DOE Owned,502,"3,280",GYMNASIUM,Y,Inside,N
143,Manhattan,2,2,02M059,P.S. 059 Beekman Hill International,Elementary,M488,MIDTOWN EAST CAMPUS - MANHATTAN,DOE Owned,L205,"1,408",MULTI-PURPOSE NON CLASSROOM,Y,Inside,Y
