project_id,project_name,project_start_date,house_number,street_name,borough,community_board,council_district,reporting_construction_type,extended_affordability_status,prevailing_wage_status,extremely_low_income_units,very_low_income_units,low_income_units,moderate_income_units,middle_income_units,other_income_units,studio_units,_1_br_units,_2_br_units,_3_br_units,_4_br_units,_5_br_units,_6_br_units,unknown_br_units,counted_rental_units,counted_homeownership_units,all_counted_units,total_units,building_id,postcode,bbl,census_tract,neighborhood_tabulation_area,latitude,longitude,latitude_internal,longitude_internal,project_completion_date,building_completion_date,bin
69071,2807 SNYDER AVENUE,2019-08-13T00:00:00.000,2807,SNYDER AVENUE,Brooklyn,BK-17,40.0,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,1,1,1,0,0,0,0,3,0,3,8,982539.0,11226.0,3051080062.0,824.0,BK95,40.648854,-73.951112,40.6491,-73.950943,,,
69072,2809 SNYDER AVENUE,2019-08-13T00:00:00.000,2809,SNYDER AVENUE,Brooklyn,BK-17,40.0,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,1,2,0,0,0,0,0,3,0,3,10,985437.0,11226.0,3051080061.0,824.0,BK95,40.648854,-73.951098,40.6491,-73.950853,,,
68906,CONFIDENTIAL,2019-08-12T00:00:00.000,----,----,Bronx,BX-09,18.0,Preservation,No,Non Prevailing Wage,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,2,,,,,,,,,,,,
68917,CONFIDENTIAL,2019-08-09T00:00:00.000,----,----,Bronx,BX-09,18.0,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,2019-08-09T00:00:00.000,2019-08-09T00:00:00.000,
69070,236 STAGG STREET APARTMENTS,2019-08-09T00:00:00.000,236,STAGG STREET,Brooklyn,BK-01,34.0,New Construction,No,Non Prevailing Wage,0,0,0,0,6,0,0,3,3,0,0,0,0,0,6,0,6,18,979980.0,11206.0,3030370010.0,485.0,BK78,40.709873,-73.939536,40.70963,-73.939717,,,
69069,366 STOCKTON STREET APARTMENTS,2019-08-07T00:00:00.000,366,STOCKTON STREET,Brooklyn,BK-03,36.0,New Construction,No,Non Prevailing Wage,0,0,3,0,0,0,0,2,1,0,0,0,0,0,3,0,3,15,956540.0,11206.0,3015840009.0,287.0,BK35,40.697496,-73.937304,40.69728,-73.9372,,,
69068,79-81 STANHOPE STREET APARTMENTS,2019-08-02T00:00:00.000,79,STANHOPE STREET,Brooklyn,BK-04,34.0,New Construction,No,Non Prevailing Wage,0,0,0,0,4,0,0,1,3,0,0,0,0,0,4,0,4,15,978510.0,11221.0,3032540058.0,421.0,BK78,40.696492,-73.924582,40.69673,-73.924719,,,
69068,79-81 STANHOPE STREET APARTMENTS,2019-08-02T00:00:00.000,81,STANHOPE STREET,Brooklyn,BK-04,34.0,New Construction,No,Non Prevailing Wage,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,976702.0,11221.0,3032540057.0,421.0,BK78,40.69653,-73.924543,40.69675,-73.924622,,,
68914,CONFIDENTIAL,2019-08-02T00:00:00.000,----,----,Queens,QN-13,31.0,Preservation,No,Non Prevailing Wage,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,
69067,RESIDENCES AT THE GEMINI WEST,2019-08-01T00:00:00.000,114-16,ROCKAWAY BEACH BOULEVARD,Queens,QN-14,32.0,New Construction,No,Non Prevailing Wage,0,0,0,0,9,0,0,6,3,0,0,0,0,0,9,0,9,27,992046.0,11694.0,4161667501.0,938.0,QN10,40.580261,-73.83565,40.58046,-73.835797,,,
