,dbn,school_name,school_type,program,language
398,25Q460 ,Flushing High School ,High school ,Transitional Bilingual Education ,Spanish 
399,26Q162 ,P.S. 162 John Golden ,Elementary ,Dual Language ,Chinese 
400,26Q173 ,P.S. 173 Fresh Meadows ,Elementary ,Dual Language ,Chinese 
401,26Q430 ,Francis Lewis High School ,High school ,Transitional Bilingual Education ,Chinese 
402,27Q043 ,P.S. 043 ,K-8 ,Dual Language ,Spanish 
403,27Q063 ,P.S. 063 Old South ,Elementary ,Transitional Bilingual Education ,Spanish 
404,27Q064 ,P.S. 064 Joseph P. Addabbo ,Elementary ,Transitional Bilingual Education ,Bengali 
405,27Q137 ,M.S. 137 America's School of Heroes ,Junior High-Intermediate-Middle ,Dual Language ,Spanish 
406,27Q197 ,P.S. 197 The Ocean School ,Elementary ,Dual Language ,Spanish 
407,27Q302 ,"Queens High School for Information, Research, and ",High school ,Transitional Bilingual Education ,Spanish 
408,27Q362 ,Wave Preparatory Elementary School ,Elementary ,Transitional Bilingual Education ,Spanish 
409,27Q475 ,Richmond Hill High School ,High school ,Transitional Bilingual Education ,Spanish 
410,27Q480 ,John Adams High School ,High school ,Transitional Bilingual Education ,Bengali 
411,27Q480 ,John Adams High School ,High school ,Transitional Bilingual Education ,Spanish 
412,28Q082 ,P.S. 082 Hammond ,Elementary ,Transitional Bilingual Education ,Spanish 
413,28Q086 ,P.S. Q086 ,Elementary ,Dual Language ,Spanish 
414,28Q182 ,P.S. 182 Samantha Smith ,Elementary ,Transitional Bilingual Education ,Spanish 
415,28Q190 ,J.H.S. 190 Russell Sage ,Junior High-Intermediate-Middle ,Transitional Bilingual Education ,Spanish 
416,28Q505 ,Hillcrest High School ,High school ,Transitional Bilingual Education ,Bengali 
417,28Q505 ,Hillcrest High School ,High school ,Transitional Bilingual Education ,Spanish 
418,29Q095 ,P.S. 095 Eastwood ,Elementary ,Dual Language ,Spanish 
419,29Q095 ,P.S. 095 Eastwood ,Elementary ,Transitional Bilingual Education ,Spanish 
420,29Q131 ,P.S. 131 Abigail Adams ,Elementary ,Transitional Bilingual Education ,Bengali 
421,29Q238 ,I.S. 238 - Susan B. Anthony Academy ,Junior High-Intermediate-Middle ,Transitional Bilingual Education ,Spanish 
422,30Q011 ,P.S. 011 Kathryn Phelan ,Elementary ,Transitional Bilingual Education ,Spanish 
423,30Q017 ,P.S. 017 Henry David Thoreau ,Elementary ,Dual Language ,Spanish 
424,30Q070 ,P.S. 070 ,Elementary ,Transitional Bilingual Education ,Spanish 
425,30Q076 ,P.S. 076 William Hallet ,Elementary ,Dual Language ,Spanish 
426,30Q076 ,P.S. 076 William Hallet ,Elementary ,Transitional Bilingual Education ,Spanish 
427,30Q092 ,P.S. 092 Harry T. Stewart Sr. ,Elementary ,Transitional Bilingual Education ,Spanish 
428,30Q112 ,P.S. 112 Dutch Kills ,Elementary ,Dual Language ,Spanish 
429,30Q127 ,P.S. 127 Aerospace Science Magnet School ,K-8 ,Dual Language ,Spanish 
430,30Q127 ,P.S. 127 Aerospace Science Magnet School ,K-8 ,Transitional Bilingual Education ,Spanish 
431,30Q145 ,I.S. 145 Joseph Pulitzer ,Junior High-Intermediate-Middle ,Dual Language ,Spanish 
432,30Q145 ,I.S. 145 Joseph Pulitzer ,Junior High-Intermediate-Middle ,Transitional Bilingual Education ,Spanish 
433,30Q148 ,P.S. 148 Queens ,Elementary ,Transitional Bilingual Education ,Spanish 
434,30Q149 ,P.S. 149 Christa Mcauliffe ,Elementary ,Dual Language ,Spanish 
435,30Q150 ,P.S. 150 Queens ,Elementary ,Dual Language ,Spanish 
436,30Q152 ,P.S. 152 Gwendoline N. Alleyne School ,Elementary ,Transitional Bilingual Education ,Spanish 
437,30Q166 ,P.S. 166 Henry Gradstein ,Elementary ,Dual Language ,Spanish 
438,30Q204 ,I.S. 204 Oliver W. Holmes ,Junior High-Intermediate-Middle ,Dual Language ,Spanish 
439,30Q212 ,P.S. 212 ,Elementary ,Dual Language ,Spanish 
440,30Q222 ,P.S. Q222 - Fire Fighter Christopher A. Santora Sc ,Early Childhood ,Dual Language ,Spanish 
441,30Q228 ,P.S. 228 Early Childhood Magnet School of the Arts ,Early Childhood ,Dual Language ,Spanish 
442,30Q228 ,P.S. 228 Early Childhood Magnet School of the Arts ,Early Childhood ,Transitional Bilingual Education ,Spanish 
443,30Q235 ,Academy for New Americans ,Junior High-Intermediate-Middle ,Transitional Bilingual Education ,Spanish 
444,30Q280 ,P.S. 280 ,Elementary ,Dual Language ,Spanish 
445,30Q329 ,East Elmhurst Community School ,Elementary ,Dual Language ,Spanish 
446,30Q445 ,William Cullen Bryant High School ,High school ,Transitional Bilingual Education ,Spanish 
447,30Q450 ,Long Island City High School ,High school ,Dual Language ,Spanish 
448,30Q555 ,Newcomers High School ,High school ,Transitional Bilingual Education ,Chinese 
449,30Q555 ,Newcomers High School ,High school ,Transitional Bilingual Education ,Spanish 
450,31R016 ,P.S. 016 John J. Driscoll ,Elementary ,Dual Language ,Spanish 
451,31R019 ,P.S. 019 The Curtis School ,Elementary ,Dual Language ,Spanish 
452,31R020 ,P.S. 020 Port Richmond ,Elementary ,Dual Language ,Spanish 
453,31R020 ,P.S. 020 Port Richmond ,Elementary ,Transitional Bilingual Education ,Spanish 
454,31R022 ,P.S. 022 Graniteville ,Elementary ,Dual Language ,Spanish 
455,31R022 ,P.S. 022 Graniteville ,Elementary ,Transitional Bilingual Education ,Spanish 
456,31R041 ,The Stephanie A. Vierno School ,Elementary ,Dual Language ,Spanish 
457,31R044 ,P.S. 044 Thomas C. Brown ,Elementary ,Dual Language ,Spanish 
458,31R057 ,P.S. 057 Hubert H. Humphrey ,Elementary ,Transitional Bilingual Education ,Spanish 
459,31R061 ,I.S. 061 William A Morris ,Junior High-Intermediate-Middle ,Dual Language ,Spanish 
460,31R445 ,Port Richmond High School ,High school ,Dual Language ,Spanish 
461,31R450 ,Curtis High School ,High school ,Transitional Bilingual Education ,Spanish 
462,32K086 ,P.S. 086 The Irvington ,Elementary ,Dual Language ,Spanish 
463,32K086 ,P.S. 086 The Irvington ,Elementary ,Transitional Bilingual Education ,Spanish 
464,32K106 ,P.S. 106 Edward Everett Hale ,Elementary ,Transitional Bilingual Education ,Spanish 
465,32K116 ,P.S. 116 Elizabeth L Farrell ,Elementary ,Dual Language ,Spanish 
466,32K123 ,P.S. 123 Suydam ,Elementary ,Dual Language ,Spanish 
467,32K145 ,P.S. 145 Andrew Jackson ,Elementary ,Dual Language ,Spanish 
468,32K151 ,P.S. 151 Lyndon B. Johnson ,Elementary ,Dual Language ,Spanish 
469,32K151 ,P.S. 151 Lyndon B. Johnson ,Elementary ,Transitional Bilingual Education ,Spanish 
470,32K162 ,J.H.S. 162 The Willoughby ,Junior High-Intermediate-Middle ,Transitional Bilingual Education ,Spanish 
471,32K274 ,P.S. 274 Kosciusko ,Elementary ,Dual Language ,Spanish 
472,32K291 ,J.H.S. 291 Roland Hayes ,Junior High-Intermediate-Middle ,Transitional Bilingual Education ,Spanish 
473,32K347 ,I.S. 347 School of Humanities ,Junior High-Intermediate-Middle ,Transitional Bilingual Education ,Spanish 
474,32K349 ,"I.S. 349 Math, Science & Tech. ",Junior High-Intermediate-Middle ,Transitional Bilingual Education ,Spanish 
475,32K377 ,P.S. 377 Alejandrina B. De Gautier ,K-8 ,Transitional Bilingual Education ,Spanish 
476,32K384 ,P.S. /I.S. 384 Frances E. Carter ,K-8 ,Transitional Bilingual Education ,Spanish 
477,32K403 ,Academy for Environmental Leadership ,High school ,Transitional Bilingual Education ,Spanish 
