,borough,geographical,admin_district,ats_code,location_name,grade_level,building_code,building_name,address,building_ownership,room_no,area,function,is_school_co_located,inside_v_outside,is_the_space_shared,space_used_for_any
102,M,2,2,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - Manhattan,319 East 19 Street,DOE Owned,Outdoor Yard 1,7980.0,Outdoor Yard,true,Outdoor,true,False
103,M,2,2,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - Manhattan,116 West 11 Street,DOE Owned,232,675.0,Dance Room,false,Inside,false,False
104,M,2,2,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - Manhattan,116 West 11 Street,DOE Owned,GYM,3850.0,Gymnasium,false,Inside,false,False
105,M,2,2,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - Manhattan,116 West 11 Street,DOE Owned,Outdoor Yard 1,25458.0,Outdoor Yard,false,Outdoor,false,False
106,M,2,2,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - Manhattan,71 Hester Street,DOE Owned,102,4060.0,Gymnasium/Cafeteria,false,Inside,false,True
107,M,2,2,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - Manhattan,71 Hester Street,DOE Owned,511,2496.0,Gymnasium,false,Inside,false,False
108,M,2,2,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - Manhattan,71 Hester Street,DOE Owned,Outdoor Yard 1,8802.0,Outdoor Yard,false,Outdoor,false,False
109,M,2,2,02M047,47 The American Sign Language and English Secondary School,High school,M047,J.H.S. 47 (Sch For The Deaf) - M,223 East 23 Street,DOE Owned,508,740.0,Weight Room,true,Inside,true,False
110,M,2,2,02M047,47 The American Sign Language and English Secondary School,High school,M047,J.H.S. 47 (Sch For The Deaf) - M,223 East 23 Street,DOE Owned,GYM,5184.0,Gymnasium,true,Inside,true,False
111,M,2,2,02M047,47 The American Sign Language and English Secondary School,High school,M047,J.H.S. 47 (Sch For The Deaf) - M,223 East 23 Street,DOE Owned,Outdoor Yard 1,10087.0,Outdoor Yard,true,Outdoor,true,False
112,M,2,2,02M051,P.S. 051 Elias Howe,Elementary,M338,P.S. 51 Elias Howe - Manhattan,525 West 44Th Street,DOE Owned,114,3136.0,Gymnasium/Auditorium,true,Inside,true,True
113,M,2,2,02M051,P.S. 051 Elias Howe,Elementary,M338,P.S. 51 Elias Howe - Manhattan,525 West 44Th Street,DOE Owned,320,4895.0,Gymnasium,true,Inside,true,False
114,M,2,2,02M059,P.S. 059 Beekman Hill International,Elementary,M488,Midtown East Campus - Manhattan,231-249 East 56 Street,DOE Owned,426,1980.0,Weight Room,true,Inside,true,False
115,M,2,2,02M059,P.S. 059 Beekman Hill International,Elementary,M488,Midtown East Campus - Manhattan,231-249 East 56 Street,DOE Owned,502,3280.0,Gymnasium,true,Inside,true,False
116,M,2,2,02M059,P.S. 059 Beekman Hill International,Elementary,M488,Midtown East Campus - Manhattan,231-249 East 56 Street,DOE Owned,L223,2793.0,Gymnasium,true,Inside,true,False
117,M,2,2,02M059,P.S. 059 Beekman Hill International,Elementary,M488,Midtown East Campus - Manhattan,231-249 East 56 Street,DOE Owned,Outdoor Yard 1,4352.0,Outdoor Yard,true,Outdoor,true,False
118,M,2,2,02M077,P.S. 77 Lower Lab School,Elementary,M198,P.S. 198 - Manhattan,1700 3 Avenue,DOE Owned,GYM,3630.0,Gymnasium,true,Inside,true,False
119,M,2,2,02M077,P.S. 77 Lower Lab School,Elementary,M198,P.S. 198 - Manhattan,1700 3 Avenue,DOE Owned,Outdoor Yard 1,2710.0,Outdoor Yard,true,Outdoor,true,False
120,M,2,2,02M077,P.S. 77 Lower Lab School,Elementary,M198,P.S. 198 - Manhattan,1700 3 Avenue,DOE Owned,Outdoor Yard 2,3762.0,Outdoor Yard,true,Outdoor,true,False
