,report_date,building_id,dob_violations,hpd_violations,fdny_violations,total_open_violations
201,2018-09-30T00:00:00.000,TQ87,2,5,0,7.0
202,2018-09-30T00:00:00.000,TQ88,0,29,4,33.0
203,2018-09-30T00:00:00.000,TQ89,17,31,1,49.0
204,2018-09-30T00:00:00.000,TQ90,3,65,2,70.0
205,2018-09-30T00:00:00.000,TQ91,21,92,1,114.0
206,2018-09-30T00:00:00.000,TQ92,6,33,0,39.0
207,2018-09-30T00:00:00.000,TQ93,2,35,3,40.0
208,2018-09-30T00:00:00.000,TQ94,7,4,0,11.0
209,2018-09-30T00:00:00.000,TQ95,1,10,1,12.0
210,2018-09-30T00:00:00.000,TQ96,3,7,0,10.0
211,2018-09-30T00:00:00.000,TQ97,38,34,0,72.0
212,2018-09-30T00:00:00.000,TQ98,45,43,3,91.0
213,2018-09-30T00:00:00.000,TQ99,0,0,0,0.0
214,2018-09-30T00:00:00.000,TQ100,3,45,0,48.0
215,2018-09-30T00:00:00.000,TQ101,13,22,3,38.0
216,2018-09-30T00:00:00.000,TQ102,13,28,0,41.0
217,2018-09-30T00:00:00.000,TQ103,10,0,0,10.0
218,2018-09-30T00:00:00.000,TQ104,39,32,0,71.0
219,2018-09-30T00:00:00.000,TQ105,16,0,2,18.0
220,2018-09-30T00:00:00.000,TQ106,15,62,6,83.0
221,2018-09-30T00:00:00.000,TQ107,0,3,0,3.0
222,2018-09-30T00:00:00.000,TQ108,1,3,0,4.0
223,2018-09-30T00:00:00.000,TQ109,4,0,2,6.0
224,2018-09-30T00:00:00.000,TQ110,0,0,0,0.0
225,2018-09-30T00:00:00.000,TQ111,1,9,1,11.0
226,2018-09-30T00:00:00.000,TQ112,18,58,0,76.0
227,2018-09-30T00:00:00.000,TQ113,1,9,0,10.0
228,2018-09-30T00:00:00.000,TQ114,17,49,0,66.0
229,2018-09-30T00:00:00.000,TQ115,3,11,0,14.0
230,2018-06-30T00:00:00.000,TQ01,0,2,3,5.0
231,2018-06-30T00:00:00.000,TQ02,4,2,0,6.0
232,2018-06-30T00:00:00.000,TQ03,1,2,4,7.0
233,2018-06-30T00:00:00.000,TQ04,0,0,4,4.0
234,2018-06-30T00:00:00.000,TQ05,13,45,5,63.0
235,2018-06-30T00:00:00.000,TQ06,0,0,9,9.0
236,2018-06-30T00:00:00.000,TQ07,0,1,6,7.0
237,2018-06-30T00:00:00.000,TQ08,33,0,6,39.0
238,2018-06-30T00:00:00.000,TQ09,7,3,0,10.0
239,2018-06-30T00:00:00.000,TQ10,8,13,2,23.0
240,2018-06-30T00:00:00.000,TQ11,20,0,1,21.0
241,2018-06-30T00:00:00.000,TQ12,1,0,0,1.0
242,2018-06-30T00:00:00.000,TQ13,0,8,0,8.0
243,2018-06-30T00:00:00.000,TQ14,7,34,1,42.0
244,2018-06-30T00:00:00.000,TQ15,0,0,0,0.0
245,2018-06-30T00:00:00.000,TQ16,0,0,0,0.0
246,2018-06-30T00:00:00.000,TQ17,10,38,4,52.0
247,2018-06-30T00:00:00.000,TQ18,3,51,0,54.0
248,2018-06-30T00:00:00.000,TQ19,17,8,0,25.0
249,2018-06-30T00:00:00.000,TQ20,3,0,3,6.0
250,2018-06-30T00:00:00.000,TQ21,2,17,3,22.0
251,2018-06-30T00:00:00.000,TQ22,0,3,0,3.0
252,2018-06-30T00:00:00.000,TQ23,2,0,0,2.0
253,2018-06-30T00:00:00.000,TQ24,10,1,1,12.0
254,2018-06-30T00:00:00.000,TQ25,9,9,3,21.0
255,2018-06-30T00:00:00.000,TQ26,8,47,9,64.0
