order,property_id,property_name,parent_property_id,parent_property_name,bbl_10_digits,nyc_borough_block_and_lot_bbl_self_reported,nyc_building_identification_number_bin,address_1_self_reported,address_2,postal_code,street_number,street_name,borough,dof_gross_floor_area,primary_property_type_self_selected,list_of_all_property_use_types_at_property,largest_property_use_type,largest_property_use_type_gross_floor_area_ft,_2nd_largest_property_use_type,_2nd_largest_property_use_gross_floor_area_ft,_3rd_largest_property_use_type,_3rd_largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings_self_reported,occupancy,metered_areas_energy,metered_areas_water,energy_star_score,site_eui_kbtu_ft,weather_normalized_site_eui_kbtu_ft,weather_normalized_site_electricity_intensity_kwh_ft,weather_normalized_site_natural_gas_intensity_therms_ft,weather_normalized_source_eui_kbtu_ft,fuel_oil_1_use_kbtu,fuel_oil_2_use_kbtu,fuel_oil_4_use_kbtu,fuel_oil_5_6_use_kbtu,diesel_2_use_kbtu,district_steam_use_kbtu,natural_gas_use_kbtu,weather_normalized_site_natural_gas_use_therms,electricity_use_grid_purchase_kbtu,weather_normalized_site_electricity_kwh,total_ghg_emissions_metric_tons_co2e,direct_ghg_emissions_metric_tons_co2e,indirect_ghg_emissions_metric_tons_co2e,property_gfa_self_reported_ft,water_use_all_water_sources_kgal,water_intensity_all_water_sources_gal_ft,source_eui_kbtu_ft,release_date,water_required,dof_benchmarking_submission_status,latitude,longitude,community_board,council_district,census_tract,nta
824,5807478,Halstead - 71 Laight Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002177504.0,1-00217-7504,1002818,71 Laight Street,Not Available,10013,401.0,WASHINGTON STREET,Manhattan,114622.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,103251.0,Not Available,Not Available,Not Available,Not Available,1915,1,100,Whole Building,Not Available,92,34.8,35.2,7.5,0.1,90.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,978712.5,9787.1,2609722.0,776857.8,294.2,52.0,242.2,103251,847.8,8.21,89.3,2017-05-01T14:58:14.000,Yes,In Compliance,40.721759000000006,-74.010628,1.0,1.0,39.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
825,3326665,67 Vestry St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002180024.0,1-00218-0024,1002831,67 Vestry St,Not Available,10013,260.0,WEST STREET,Manhattan,61250.0,Multifamily Housing,"Multifamily Housing, Retail Store",Multifamily Housing,54250.0,Retail Store,7000,Not Available,Not Available,1910,1,100,Whole Building,Whole Building,Not Available,72.4,78.5,4.5,0,111.7,Not Available,3471134.8,Not Available,Not Available,Not Available,Not Available,27846,291.8,932912.3,273420.9,345.6,259.1,86.6,61250,2197,35.87,105.5,2017-04-14T11:54:22.000,No,In Compliance,40.722728000000004,-74.011646,1.0,1.0,39.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
826,4409205,"92 Laight Street, New York",Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002187501.0,1-00218-7501,1002832,"92 Laight Street, New York",Not Available,10013,92.0,LAIGHT STREET,Manhattan,194486.0,Multifamily Housing,"Multifamily Housing, Office, Other, Parking, Retail Store",Multifamily Housing,142653.0,Parking,15055,Retail Store,11000,2004,1,100,Whole Building,Not Available,Not Available,75.2,77.4,11.8,0.4,165.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5440708,58682.7,6456452.9,1865512.4,888.1,289.0,599.2,158153,Not Available,Not Available,164.3,2017-04-27T18:30:44.000,Yes,In Compliance,40.722275,-74.011195,1.0,1.0,39.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
827,4925611,415 Washington Street The Fairchild,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002187504.0,1-00218-7504,1088611,415 Washington Street,Not Available,10013,415.0,WASHINGTON STREET,Manhattan,55649.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,55649.0,Not Available,Not Available,Not Available,Not Available,2010,1,100,Whole Building,Not Available,9,69.4,71.8,9.5,0.4,143.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2019013.4,21875.7,1841226.0,530113.9,278.1,107.2,170.9,55649,Not Available,Not Available,142.0,2017-04-18T12:05:53.000,No,In Compliance,40.722377,-74.01052,1.0,1.0,39.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
828,3117098,Tribeca North Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002197501.0,1002197501,1002836,429 Greenwich Street,Not Available,100032051,429.0,GREENWICH STREET,Manhattan,103279.0,Multifamily Housing,"Multifamily Housing, Other, Parking, Retail Store, Social/Meeting Hall",Multifamily Housing,76856.0,Parking,8940,Retail Store,5442,1995,1,100,Whole Building,Whole Building,95,59.3,64.7,2.6,0.6,86.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4349828.2,48478.8,805752.3,228036.4,553.5,231.0,322.5,86915,4207.8,48.41,81.7,2017-04-19T12:29:05.000,No,In Compliance,40.722221000000005,-74.009741,1.0,1.0,39.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
830,2612655,Hudson Alley,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002200031.0,1002200031,Not Available,174 Hudson Street,Not Available,10013,174.0,HUDSON STREET,Manhattan,51750.0,Office,Office,Office,51750.0,Not Available,Not Available,Not Available,Not Available,1910,1,100,Whole Building,Not Available,96,30.8,30.4,8.9,Not Available,95.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1593312.7,461302.4,147.9,0.0,147.9,51750,342.8,6.62,96.7,2017-04-19T16:33:26.000,Yes,In Compliance,40.722374,-74.00815,1.0,1.0,33.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
831,4401433,"28 Laight Street, New York",Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002207502.0,1-00220-7502,1066500,"28 Laight Street, New York",Not Available,10013,28.0,LAIGHT STREET,Manhattan,100124.0,Multifamily Housing,"Multifamily Housing, Parking",Multifamily Housing,117123.0,Parking,20000,Not Available,Not Available,1920,1,100,Whole Building,Not Available,39,71.0,Not Available,10.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4179415.9,Not Available,4132076.5,1208910.8,605.4,222.0,383.5,117123,2851.2,24.34,148.2,2017-04-27T18:30:44.000,No,In Compliance,40.721858000000005,-74.007082,1.0,1.0,33.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
832,5049366,38-44 Laight Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002207503.0,1-00220-7503,1086557,38-44 Laight Street,Not Available,10013,38.0,LAIGHT STREET,Manhattan,61717.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,61717.0,Not Available,Not Available,Not Available,Not Available,1900,1,100,Whole Building,Whole Building,Not Available,67.1,69.5,11.5,0.3,155.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1704666.7,18633.3,2434133.2,711043.5,316.4,90.5,225.9,61717,2058.8,33.36,152.8,2017-04-27T18:30:44.000,Yes,In Compliance,40.721916,-74.007634,1.0,1.0,33.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
833,2503775,Trinity- 200 Hudson Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002210030.0,1-00221-0030,1002854,200 Hudson Street,Not Available,10013,200.0,HUDSON STREET,Manhattan,328415.0,Office,"Office, Personal Services (Health/Beauty, Dry Cleaning, etc.)",Office,312837.0,"Personal Services (Health/Beauty, Dry Cleaning, etc.)",20000,Not Available,Not Available,1927,1,100,Whole Building,Whole Building,84,84.3,83.4,17.1,0.2,209.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8312260,83122.6,19742250.3,5695352.3,2273.6,441.5,1832.1,332837,5695,17.11,212.5,2017-04-24T12:02:29.000,Yes,In Compliance,40.722992,-74.008031,1.0,1.0,33.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
836,2721975,Vestry Place Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002227501.0,1-00222-7501,1002859,181 Hudson St. ,Not Available,10013,28.0,VESTRY STREET,Manhattan,61433.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,59838.0,Not Available,Not Available,Not Available,Not Available,1962,1,100,Whole Building,Whole Building,31,52.6,55.6,8.1,0.3,116.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1495882,16700.4,1649131.2,485308.3,232.5,79.5,153.0,59838,2527.7,42.24,112.8,2017-04-21T16:11:09.000,No,In Compliance,40.72266,-74.008348,1.0,1.0,39.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
837,4408607,"195 Hudson Street, New York",Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002227502.0,1-00222-7502,1002857,"195 Hudson Street, New York",Not Available,10013,195.0,HUDSON STREET,Manhattan,88496.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,83968.0,Not Available,Not Available,Not Available,Not Available,1920,1,100,Whole Building,Not Available,5,87.1,91.4,10.8,0.5,172.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4168902.3,45872.5,3142961.8,904541.8,513.1,221.4,291.7,83968,2525,30.07,169.7,2017-04-27T18:30:44.000,Yes,In Compliance,40.723083,-74.008034,1.0,1.0,39.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
840,3935559,(7465) - Greenwich Desbrosses,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002257501.0,1-00225-7501,1002929,465 Greenwich St,Not Available,10013,465.0,GREENWICH STREET,Manhattan,82548.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,82544.0,Not Available,Not Available,Not Available,Not Available,1910,1,100,Whole Building,Whole Building,6,56.8,61,6.7,0.4,111.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2806042.5,31514.6,1883538.7,552033.6,323.8,149.0,174.8,82544,1499.9,18.17,107.3,2017-03-24T09:55:53.000,Yes,In Compliance,40.723859000000004,-74.009452,1.0,1.0,39.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
841,2430795,Trinity- 75 Varick,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002260001.0,1-00226-0001,1002934,75 Varick St,Not Available,10013,431.0,CANAL STREET,Manhattan,993903.0,Office,"College/University, Office, Repair Services (Vehicle, Shoe, Locksmith, etc.), Restaurant",Office,878120.0,College/University,90368,Restaurant,12329,1929,1,100,Whole Building,Whole Building,87,67.9,68.4,13.1,0.2,165,Not Available,2632391,Not Available,Not Available,Not Available,Not Available,2.02898675E7,202898.7,43928935.2,1.28748329E7,5349.6,1273.0,4076.6,984017,19091.8,19.4,164.5,2017-04-24T12:02:29.000,Yes,In Compliance,40.722726,-74.006534,2.0,1.0,37.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
842,2593250,Soho Grand Hotel,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002270028.0,1-00227-0028,1087764,310 West Broadway,Not Available,10013,306.0,WEST BROADWAY,Manhattan,189986.0,Hotel,"Hotel, Other",Hotel,186891.0,Other,3095,Not Available,Not Available,1996,1,100,Whole Building,Whole Building,28,122.8,124.5,18.7,0.1,271.5,Not Available,Not Available,Not Available,Not Available,Not Available,8808678.4,2158944.6,21589.4,12362813.5,3550554.3,1846.8,114.7,1732.1,189986,14279.1,75.16,272.0,2017-04-24T14:22:24.000,Yes,In Compliance,40.721634,-74.004412,2.0,1.0,47.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
843,5787474,James Hotel New York,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002270052.0,1-00227-0052,1088405,27 Grand Street,Not Available,10013,27.0,GRAND STREET,Manhattan,55479.0,Hotel,Hotel,Hotel,56735.0,Not Available,Not Available,Not Available,Not Available,2008,1,80,Whole Building,Whole Building,3,143.9,148.5,26.3,0.6,343.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3001487.7,33339.4,5164607.9,1492256.9,638.7,159.4,479.3,56735,3629.5,63.97,341.4,2017-04-10T10:58:26.000,No,In Compliance,40.722827,-74.004726,2.0,1.0,47.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
844,2544333,311 West Broadway,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002287502.0,1002287502,1087488; 1002961,311 West Broadway,Not Available,10013,311.0,WEST BROADWAY,Manhattan,170548.0,Multifamily Housing,"Multifamily Housing, Other, Parking, Retail Store",Multifamily Housing,124293.0,Parking,15238,Other,2597,2009,1,100,Whole Building,Not Available,Not Available,90.7,95.4,13.1,0.5,193.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5916300.5,65198.2,5753208.3,1686168.7,848.1,314.2,533.9,128614,3314.6,25.77,188.8,2017-05-01T23:19:12.000,No,In Compliance,40.72173,-74.004308,2.0,1.0,47.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
845,4054598,107 Grand St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002310026.0,1-00231-0026,1003017,107 Grand St,Not Available,10013,107.0,GRAND STREET,Manhattan,66532.0,Office,Office,Office,66532.0,Not Available,Not Available,Not Available,Not Available,1996,1,90,Whole Building,Whole Building,73,43.3,43.3,12.7,Not Available,136,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2881413.6,844493.9,267.4,0.0,267.4,66532,933.4,14.03,136.0,2017-04-06T13:40:35.000,Yes,In Compliance,40.721183,-74.001335,2.0,1.0,47.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
846,4041424,Crale Realty - 451 Broadway,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002310035.0,1-00231-0035,1003020,451 Broadway,Not Available,10013,451.0,BROADWAY,Manhattan,60000.0,Office,"Non-Refrigerated Warehouse, Office, Retail Store",Office,40000.0,Non-Refrigerated Warehouse,15000,Retail Store,10000,1865,1,100,Whole Building,Whole Building,12,139.8,140.1,40.6,0,436.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,77270,943.3,9011907.9,2641238.8,840.4,4.1,836.3,65000,1538.9,23.67,436.6,2017-04-19T12:18:19.000,No,In Compliance,40.720484,-74.000974,2.0,1.0,47.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
847,3129420,(7328) - Mercer Condo,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002317501.0,1-00231-7501,1003023,22 Mercer Street,Not Available,10013,443.0,BROADWAY,Manhattan,61544.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,59244.0,Not Available,Not Available,Not Available,Not Available,1910,1,100,Whole Building,Whole Building,Not Available,64.6,66.4,13.2,0.2,163.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1130160,12679.5,2695061.3,782182,310.1,60.0,250.1,59244,Not Available,Not Available,162.9,2017-03-23T10:45:21.000,No,In Compliance,40.720302000000004,-74.001129,2.0,1.0,47.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
848,5395762,434 Broadway,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002320001.0,1-00232-0001,1003025,434 Broadway,Not Available,10013,434.0,BROADWAY,Manhattan,52065.0,Office,Office,Office,58000.0,Not Available,Not Available,Not Available,Not Available,1910,1,75,Whole Building,Not Available,39,73.5,72,20.8,0,223.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,60435.2,604.4,4202458.3,1205590.3,393.2,3.2,390.0,58000,826.6,14.25,228.6,2017-04-14T09:28:32.000,No,In Compliance,40.720069,-74.001302,2.0,1.0,45.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
849,5851027,9 Crosby LLC dba NOMO SOHO HOTEL,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002330002.0,1-00233-0002,Not Available,9 Crosby Street,Not Available,10013,9.0,CROSBY STREET,Manhattan,121165.0,Hotel,Hotel,Hotel,126529.0,Not Available,Not Available,Not Available,Not Available,2010,1,90,Whole Building,Whole Building,38,136.0,138,23.5,0.6,312.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6844292.5,73038.7,10357335.1,2975051.1,1324.7,363.5,961.2,126529,9898.5,78.23,313.8,2017-04-18T15:24:48.000,Yes,In Compliance,40.719926,-74.000289,2.0,1.0,45.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
850,2238727,148 Lafayette,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002330026.0,1002330026,1003051,148 Lafayette Street,Not Available,10013,12.0,HOWARD STREET,Manhattan,129135.0,Office,"Fitness Center/Health Club/Gym, Office, Retail Store",Office,126053.0,Fitness Center/Health Club/Gym,11201,Retail Store,5000,1913,1,100,Whole Building,Whole Building,72,75.2,76.8,16.7,0.2,199.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2474372.4,28194.1,8224177.5,2374967.6,3422.8,131.4,3291.4,142254,3570.1,25.1,199.8,2017-03-30T05:02:46.000,Yes,In Compliance,40.719281,-74.00001400000001,2.0,1.0,45.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
851,5075470,22 Howard Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002330030.0,1-00233-0030,1003052,22 Howard Street,Not Available,10013,22.0,HOWARD STREET,Manhattan,53200.0,Office,"Office, Retail Store",Office,44200.0,Retail Store,9000,Not Available,Not Available,1915,1,100,Whole Building,Whole Building,54,66.1,66.1,17.8,0.1,196.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,287658.8,2876.6,3226476.4,945626,314.7,15.3,299.4,53200,2821,53.03,196.1,2017-03-18T14:25:29.000,Yes,In Compliance,40.719421000000004,-74.00031700000001,2.0,1.0,45.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
853,4043105,132 Mulberry Street - 41676,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002377501.0,1-00237-7501,1066508,132 Mulberry Street,Not Available,10013,132.0,MULBERRY STREET,Manhattan,60508.0,Multifamily Housing,"Multifamily Housing, Other",Multifamily Housing,44200.0,Other,16800,Not Available,Not Available,1915,1,100,Whole Building,Whole Building,Not Available,155.0,155.7,14.1,1.1,263.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6456949,65696.6,2997886.4,858685.2,621.2,343.0,278.2,61000,7804.8,127.95,265.5,2017-04-24T11:15:34.000,No,In Compliance,40.718392,-73.99777399999999,2.0,1.0,41.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
854,3530881,128 Mott Street - 41249,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002387501.0,1-00238-7501,1087662;1079592,128 Mott Street,Not Available,10013,128.0,MOTT STREET,Manhattan,92559.0,Office,"Multifamily Housing, Office",Office,54137.0,Multifamily Housing,46122,Not Available,Not Available,1912,1,100,Whole Building,Whole Building,26,83.6,85.5,17.6,0.3,215,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2330446.8,25585.4,6052199.8,1761584.1,685.4,123.8,561.6,100259,Not Available,Not Available,214.0,2017-04-24T11:15:34.000,No,In Compliance,40.718362,-73.99679300000001,2.0,1.0,41.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
856,2679444,DEPM 2502 - 645-675 Water St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002430056.0,1-00243-0056,1077586;1077587,645-675 Water Street,Not Available,10002,645.0,WATER STREET,Manhattan,251500.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,272140.0,Not Available,Not Available,Not Available,Not Available,1963,1,100,Whole Building,Not Available,26,94.7,100.3,5.6,Not Available,157.8,Not Available,Not Available,Not Available,Not Available,Not Available,2.04165878E7,Not Available,Not Available,5357315.6,1530955.3,1852.8,0.0,1852.8,272140,Not Available,Not Available,152.1,2017-05-01T14:58:14.000,No,In Compliance,40.711383000000005,-73.98265,3.0,1.0,202.0,Lower East Side                                                            
857,2679425,DEPM 2502 - 605 Water St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002440019.0,1-00244-0019,1003141;1805579,605 Water Street,Not Available,10002,605.0,WATER STREET,Manhattan,124600.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,136070.0,Not Available,Not Available,Not Available,Not Available,1963,1,100,Whole Building,Not Available,26,94.7,100.3,5.6,Not Available,157.8,Not Available,Not Available,Not Available,Not Available,Not Available,1.02082936E7,Not Available,Not Available,2678659.5,765478.3,926.4,0.0,926.4,136070,Not Available,Not Available,152.1,2017-05-01T14:58:14.000,No,In Compliance,40.711249,-73.98445,3.0,1.0,202.0,Lower East Side                                                            
858,2658891,Gouverneur,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002440040.0,1002440040,1078940,621 Water Street,Not Available,100028021,621.0,WATER STREET,Manhattan,60417.0,Multifamily Housing,"Multifamily Housing, Office",Multifamily Housing,53065.0,Office,11093,Not Available,Not Available,1933,1,100,Whole Building,Whole Building,66,108.7,108.8,6.7,0.9,162,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5467157,55186.4,1506581.4,429299.4,430.2,290.4,139.8,64158,4170,65,163.2,2017-03-31T14:27:34.000,Yes,In Compliance,40.711307,-73.983761,3.0,1.0,202.0,Lower East Side                                                            
860,5888070,LE I NYAH II HOLDINGS LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002460001.0,1-00246-0001,1003144 ,275 South Street,Not Available,10002,275.0,SOUTH STREET,Manhattan,262875.0,Multifamily Housing,"Multifamily Housing, Parking",Multifamily Housing,267018.0,Parking,9000,Not Available,Not Available,1978,1,95,Whole Building,Not Available,80,74.9,80.2,4.8,0.6,118.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15432572,170317.4,4564885.7,1286371.6,1243.3,819.7,423.6,276018,17837.3,66.8,114.4,2017-05-16T15:47:37.000,Yes,In Compliance,40.710357,-73.98761,3.0,1.0,6.0,Lower East Side                                                            
862,4414974,CC NEW - 265-275 Cherry Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002470001.0,1-00247-0001,1077589;1077590,265-275 Cherry Street,Not Available,10002,265.0,CHERRY STREET,Manhattan,657592.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,630395.0,Not Available,Not Available,Not Available,Not Available,1979,1,100,Whole Building,Not Available,57,79.0,84.6,4.3,0.7,119.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.05008566E7,441358.8,9320522.0,2690210.9,3016.1,2151.2,864.9,630395,68959.2,109.39,113.9,2017-05-01T14:58:14.000,Yes,In Compliance,40.711302,-73.989049,3.0,1.0,6.0,Lower East Side                                                            
863,2787350,80 Rutgers Slip Two Bridges Sr,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002480070.0,1002480070,1084418,80 Rutgers Slip,Not Available,10002,80.0,RUTGERS SLIP,Manhattan,83904.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,83905.0,Not Available,Not Available,Not Available,Not Available,1987,1,100,Whole Building,Whole Building,36,114.1,122.6,4.3,1.1,159.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8331058,90499.3,1239884.0,363389.2,557.6,442.5,115.1,83905,7647.3,91.14,150.7,2017-04-25T10:24:59.000,Yes,In Compliance,40.710632000000004,-73.989871,3.0,1.0,6.0,Lower East Side                                                            
864,2587541,MMS422 - South Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002500001.0,1-00250-0001,1003205,204-221 South Street,397-415 Water Street,10002,220.0,SOUTH STREET,Manhattan,274752.0,Self-Storage Facility,Self-Storage Facility,Self-Storage Facility,255084.0,Not Available,Not Available,Not Available,Not Available,1927,1,100,Whole Building,Whole Building,Not Available,32.8,34.3,7.5,0.1,89.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1807067.3,21759.1,6565063.8,1924109.9,705.2,96.0,609.2,255084,Not Available,Not Available,88.3,2017-04-13T11:00:19.000,No,In Compliance,40.709452,-73.99433,3.0,1.0,8.0,Chinatown                                                                  
865,2810560,KVI Mezz Corp. 12,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002530001.0,1-00253-0001,1077585;1077591,10-40 Monroe St.,Not Available,10002,2.0,MONROE STREET,Manhattan,1396625.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,1396625.0,Not Available,Not Available,Not Available,Not Available,1935,12,100,Whole Building,Not Available,48,87.4,92.2,6.7,0.1,141.8,Not Available,8.06876343E7,Not Available,Not Available,Not Available,Not Available,8568613,85686.1,32873361.5,9319669.7,9493.5,6442.9,3050.6,1396625,111668.7,79.96,138.7,2017-04-25T14:29:19.000,Yes,In Compliance,40.711418,-73.99597800000001,3.0,1.0,8.0,Chinatown                                                                  
866,2679451,DEPM 2502 - 75 Montgomery St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002590001.0,1-00259-0001,1003212,75 Montgomery Street,Not Available,10002,604.0,WATER STREET,Manhattan,126150.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,136070.0,Not Available,Not Available,Not Available,Not Available,1963,1,100,Whole Building,Not Available,26,94.7,100.3,5.6,Not Available,157.8,Not Available,Not Available,Not Available,Not Available,Not Available,1.02082936E7,Not Available,Not Available,2678659.5,765478.3,926.4,0.0,926.4,136070,Not Available,Not Available,152.1,2017-05-01T14:58:14.000,Yes,In Compliance,40.711259999999996,-73.984533,3.0,1.0,202.0,Lower East Side                                                            
868,2679431,DEPM 2502 - 35 Montgomery St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002590071.0,1-00259-0071,1003215,35 Montgomery Street,Not Available,10002,35.0,MONTGOMERY STREET,Manhattan,287175.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,136070.0,Not Available,Not Available,Not Available,Not Available,1963,1,100,Whole Building,Whole Building,45,94.7,100.3,5.6,Not Available,157.8,Not Available,Not Available,Not Available,Not Available,Not Available,1.02082936E7,Not Available,Not Available,2678659.5,765478.3,926.4,0.0,926.4,136070,Not Available,Not Available,152.1,2017-05-01T14:58:14.000,Yes,In Compliance,40.713053,-73.985045,3.0,1.0,202.0,Lower East Side                                                            
869,2677906,ER-453-457 FDR & 573-595 Grand,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002630008.0,1002630008,1-00263-0008,453-457 FDR Drive,573-595 Grand Street,10002,453.0,F D R DRIVE,Manhattan,923000.0,Multifamily Housing,"K-12 School, Multifamily Housing, Office",Multifamily Housing,966030.0,K-12 School,5500,Office,2972,1955,1,100,Whole Building,Whole Building,Not Available,107.0,112.1,4.6,0.9,150.1,Not Available,Not Available,Not Available,3526150.5,Not Available,Not Available,8.47602885E7,904901.3,15939439.5,4456123.4,6246.9,4767.7,1479.2,974502,40924,41.99,146.3,2017-05-01T15:36:47.000,Yes,In Compliance,40.712862,-73.97779799999999,3.0,2.0,202.0,Lower East Side                                                            
870,2679476,DEPM 2502 - 25 Montgomery St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1002670001.0,1-00267-0001,1083402;1083403,25 Montgomery Street,Not Available,10002,305.0,MADISON STREET,Manhattan,136070.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,141513.0,Not Available,Not Available,Not Available,Not Available,1963,1,100,Whole Building,Not Available,37,91.1,96.4,5.4,Not Available,151.8,Not Available,Not Available,Not Available,Not Available,Not Available,1.02082936E7,Not Available,Not Available,2678659.5,765478.3,926.4,0.0,926.4,141513,Not Available,Not Available,146.2,2017-05-01T14:58:14.000,No,In Compliance,40.713128999999995,-73.984637,3.0,1.0,202.0,Lower East Side                                                            
