development_name,borough,account_name,location,meter_amr,meter_scope,tds,edp,rc_code,funding_source,amp,vendor_name,umis_bill_id,revenue_month,service_start_date,service_end_date,days,meter_number,estimated,current_charges,rate_class,bill_analyzed,consumption_kwh,kwh_charges,consumption_kw,kw_charges,other_charges
BUSHWICK II (GROUPS B & D),BROOKLYN,BUSHWICK II (GROUPS B & D),BLD 39,AMR,,303,566,K030300,FEDERAL,NY005012470P,NEW YORK POWER AUTHORITY,8147914,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,7972649,N,230.18,GOV/NYC/062,Yes,864,43.69,0.0,0.0,186.49
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 03,NONE,,31,524,K003100,FEDERAL,NY005010310P,NEW YORK POWER AUTHORITY,8147662,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8232064,Y,7325.86,GOV/NYC/068,Yes,89920,3722.69,0.0,0.0,3603.17
BUSHWICK II (GROUPS B & D),BROOKLYN,BUSHWICK II (GROUPS B & D),BLD 35,NONE,,303,566,K030300,FEDERAL,NY005012470P,NEW YORK POWER AUTHORITY,8147919,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,7662909,N,159.64,GOV/NYC/062,Yes,576,29.13,0.0,0.0,130.51
BREUKELEN,BROOKLYN,BREUKELEN,BLD 04,INTERVAL,,56,212,K005600,FEDERAL,NY005000560P,NEW YORK POWER AUTHORITY,8147673,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1572071,N,822.55,GOV/NYC/068,Yes,0,0.0,79.54,822.55,0.0
BREUKELEN,BROOKLYN,BREUKELEN,BLD 30,INTERVAL,,56,212,K005600,FEDERAL,NY005000560P,NEW YORK POWER AUTHORITY,8147673,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1572070,N,674.05,GOV/NYC/068,Yes,0,0.0,65.18,674.05,0.0
BUSHWICK II (GROUPS B & D),BROOKLYN,BUSHWICK II (GROUPS B & D),BLD 46,NONE,,303,566,K030300,FEDERAL,NY005012470P,NEW YORK POWER AUTHORITY,8147924,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,7347348,Y,221.13,GOV/NYC/062,Yes,828,41.87,0.0,0.0,179.26
BUSHWICK II CDA (GROUP E),BROOKLYN,BUSHWICK II CDA (GROUP E),BLD 01,NONE,,324,758,K032400,FEDERAL,NY005012470P,NEW YORK POWER AUTHORITY,8147899,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8740940,Y,712.67,GOV/NYC/069,Yes,4662,194.78,13.5,105.44,412.45
BUTLER,BRONX,BUTLER,BLD 02,NONE,,113,435,B011300,FEDERAL,NY005001130P,NEW YORK POWER AUTHORITY,8147211,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,6488781,Y,25236.81,GOV/NYC/068,Yes,201600,8346.24,424.0,3968.64,12921.93
CAMPOS PLAZA I,MANHATTAN,CAMPOS PLAZA I,BLD 01,NONE,,257,544,M025700,SECTION 8,NY005012570P,NEW YORK POWER AUTHORITY,8147587,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,7834065,N,1408.51,GOV/NYC/069,Yes,11680,487.99,24.0,187.44,733.08
CARVER,MANHATTAN,CARVER,CARVER BLD 08,INTERVAL,,58,534,M005800,FEDERAL,NY005000580P,NEW YORK POWER AUTHORITY,8147418,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1094989,N,1595.41,GOV/NYC/068,Yes,0,0.0,170.45,1595.41,0.0
