cmplnt_num,addr_pct_cd,boro_nm,cmplnt_fr_dt,cmplnt_fr_tm,crm_atpt_cptd_cd,jurisdiction_code,juris_desc,ky_cd,law_cat_cd,ofns_desc,patrol_boro,pd_cd,pd_desc,prem_typ_desc,rpt_dt,susp_age_group,susp_race,susp_sex,vic_age_group,vic_race,vic_sex,x_coord_cd,y_coord_cd,latitude,longitude,lat_lon,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,cmplnt_to_dt,cmplnt_to_tm,loc_of_occur_desc,parks_nm,station_name,transit_district,housing_psa,hadevelopt
340761697,106,QUEENS,2019-11-05T00:00:00.000,02:15:00,COMPLETED,0.0,N.Y. POLICE DEPT,348,MISDEMEANOR,VEHICLE AND TRAFFIC LAWS,PATROL BORO QUEENS SOUTH,916.0,LEAVING SCENE-ACCIDENT-PERSONA,STREET,2019-11-05T00:00:00.000,,,,UNKNOWN,WHITE,M,1023693,186852,40.67946267900004,-73.85779587499997,"{'latitude': '40.67946267900004', 'longitude': '-73.85779587499997'}",24012.0,46.0,3.0,41.0,60.0,,,,,,,,
279766025,44,BRONX,2019-11-01T00:00:00.000,18:00:00,COMPLETED,0.0,N.Y. POLICE DEPT,341,MISDEMEANOR,PETIT LARCENY,PATROL BORO BRONX,321.0,"LARCENY,PETIT FROM AUTO",STREET,2019-11-05T00:00:00.000,,,,45-64,WHITE HISPANIC,M,1006111,246803,40.844073553000044,-73.92099002999998,"{'latitude': '40.844073553000044', 'longitude': '-73.92099002999998'}",10930.0,50.0,5.0,42.0,27.0,,,,,,,,
874287023,114,QUEENS,2019-10-31T00:00:00.000,23:57:00,COMPLETED,97.0,OTHER,114,FELONY,ARSON,PATROL BORO QUEENS NORTH,264.0,"ARSON, MOTOR VEHICLE 1 2 3 & 4",OTHER,2019-11-05T00:00:00.000,,,,UNKNOWN,UNKNOWN,D,1010369,218056,40.76515941500002,-73.90571233699995,"{'latitude': '40.76515941500002', 'longitude': '-73.90571233699995'}",16860.0,39.0,3.0,4.0,72.0,2019-11-01T00:00:00.000,01:27:00,FRONT OF,,,,,
721405862,101,QUEENS,2019-11-04T00:00:00.000,10:39:00,COMPLETED,0.0,N.Y. POLICE DEPT,126,FELONY,MISCELLANEOUS PENAL LAW,PATROL BORO QUEENS SOUTH,198.0,CRIMINAL CONTEMPT 1,STREET,2019-11-04T00:00:00.000,UNKNOWN,BLACK,M,18-24,BLACK,F,1052878,159521,40.60426708500006,-73.75285237199995,"{'latitude': '40.60426708500006', 'longitude': '-73.75285237199995'}",20529.0,51.0,3.0,47.0,59.0,2019-11-04T00:00:00.000,10:39:00,,,,,,
303313666,40,BRONX,2019-11-04T00:00:00.000,00:00:00,COMPLETED,0.0,N.Y. POLICE DEPT,233,MISDEMEANOR,SEX CRIMES,PATROL BORO BRONX,175.0,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,2019-11-04T00:00:00.000,UNKNOWN,UNKNOWN,U,45-64,BLACK,F,1004926,234532,40.81039601900005,-73.92531074499993,"{'latitude': '40.81039601900005', 'longitude': '-73.92531074499993'}",10932.0,49.0,5.0,35.0,23.0,,,INSIDE,,,,,
330433823,14,MANHATTAN,2019-11-03T00:00:00.000,22:00:00,COMPLETED,3.0,PORT AUTHORITY,109,FELONY,GRAND LARCENY,PATROL BORO MAN SOUTH,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",STREET,2019-11-04T00:00:00.000,,,,45-64,BLACK,F,986882,214802,40.75626620700007,-73.99050124799999,"{'latitude': '40.75626620700007', 'longitude': '-73.99050124799999'}",12080.0,12.0,4.0,10.0,8.0,,,INSIDE,,,,,
859011462,46,BRONX,2019-11-03T00:00:00.000,05:30:00,COMPLETED,0.0,N.Y. POLICE DEPT,351,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,PATROL BORO BRONX,254.0,"MISCHIEF, CRIMINAL 4, OF MOTOR",STREET,2019-11-04T00:00:00.000,,,,25-44,WHITE HISPANIC,M,1011755,250279,40.85359836700008,-73.90057688099995,"{'latitude': '40.85359836700008', 'longitude': '-73.90057688099995'}",10935.0,6.0,5.0,22.0,29.0,,,,,,,,
357443268,45,BRONX,2019-11-02T00:00:00.000,10:30:00,COMPLETED,0.0,N.Y. POLICE DEPT,112,FELONY,THEFT-FRAUD,PATROL BORO BRONX,739.0,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,2019-11-04T00:00:00.000,,,,65+,WHITE,M,1035081,236306,40.81514311300003,-73.81636455499995,"{'latitude': '40.81514311300003', 'longitude': '-73.81636455499995'}",11274.0,43.0,5.0,12.0,28.0,,,INSIDE,,,,,
790479335,18,MANHATTAN,2019-10-31T00:00:00.000,18:00:00,COMPLETED,0.0,N.Y. POLICE DEPT,109,FELONY,GRAND LARCENY,PATROL BORO MAN SOUTH,415.0,"LARCENY,GRAND FROM PERSON,PICK",STREET,2019-11-04T00:00:00.000,,,,25-44,UNKNOWN,M,990503,215519,40.758232371000084,-73.97743058499998,"{'latitude': '40.758232371000084', 'longitude': '-73.97743058499998'}",12082.0,11.0,4.0,51.0,10.0,,,,,,,,
232540422,50,BRONX,2019-09-28T00:00:00.000,08:00:00,COMPLETED,0.0,N.Y. POLICE DEPT,112,FELONY,THEFT-FRAUD,PATROL BORO BRONX,739.0,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,2019-11-04T00:00:00.000,,,,45-64,WHITE HISPANIC,F,1012830,270802,40.909924166000046,-73.89660342999997,"{'latitude': '40.909924166000046', 'longitude': '-73.89660342999997'}",11609.0,48.0,5.0,40.0,33.0,2019-11-04T00:00:00.000,10:00:00,INSIDE,,,,,
