borough,block,lot,bin,building,agency,_2010_score,_2010source_eui_kbtu_ft,_2010_ghg_emissions_intensity_kgco2e_ft,_2014_score,_2014_source_eui_kbtu_ft,_2014_ghg_emissions_intensity_kgco2e_ft
4,2681,34,4059932,Construction Services (Leased),DEP,Not Available,125,5.3,Not Available,143.5,5.9
4,3925,1,4440692,Tallman Island WPCP Campus: BIN 4440692,DEP,65,1519.4,87.2,36,2024.4,56
4,11900,2,4459553,Jamaica WPCP Campus: 130th Pl,DEP,6,800.9,22.9,14,644.7,19.3
4,16162,120,4303723,Rockaway WPCP Campus: BIN 4303723,DEP,53,1033.9,29.7,50,928.7,26.8
5,185,400,5156442,Port Richmond WPCP Campus: BIN 5156442,DEP,67,687.2,19.9,59,789.9,24
5,215,46,5106681,R-2 Water and Sewer Maintenance Yard,DEP,Not Available,146.6,4.9,Not Available,171.2,6
5,5067,500,5156492,Oakwood Beach WPCP Campus: BIN 5156492,DEP,13,795.9,25.5,25,648.4,19.6
1,472,7501,1075959,CPC Open Door Senior Center,DFTA,Not Available,192.9,5.4,Not Available,167.5,5.1
1,1680,45,1074278,Leonardo Coverio Senior Center,DFTA,Not Available,121.9,5,Not Available,147.1,5.9
3,1212,6,3030302,Fort Greene Grant Square Senior Center (Leased),DFTA,Not Available,309.2,8.1,Not Available,383.7,10.2
3,4140,13,3092631,Cypress Hills Senior Center (Leased),DFTA,Not Available,337.6,8.8,Not Available,257,6.8
3,6642,45,3176314,Council Center for Senior Citizens (Leased),DFTA,13,322.9,8.6,Not Available,385.1,10.3
1,111,150,1083359,Life Family Shelter,DHS,Not Available,172.1,7.1,Not Available,151.6,6.1
1,372,14,1004357,Shelter,DHS,Not Available,352,11.3,Not Available,254.3,9
1,387,49,1004651,George Daly House Residence,DHS,Not Available,147.9,5.3,Not Available,144.2,5.4
1,457,7,1006537,Palace Employment Residence,DHS,Not Available,126.4,3.3,Not Available,104.1,2.8
1,458,4,1079828,Kenton Hotel Shelter,DHS,Not Available,266.1,9,Not Available,226.8,8.1
1,458,11,1006546,Manhattan Bowery Shelter,DHS,Not Available,211.6,5.7,Not Available,415.6,21.9
1,529,15,1008425,SCCW Central Shelter,DHS,Not Available,180.3,5.3,Not Available,160.9,4.9
1,962,97,1087298,Bellevue Men's Shelter,DHS,Not Available,238.9,14.4,Not Available,220.3,10.4
1,1319,11,1037587,New Providence SRO (Single Room Occupancy) Residence,DHS,Not Available,332.5,11.2,Not Available,320.3,10.6
1,1628,24,1051796,Jennie A. Clarke Residence Campus: Jennie A. Clarke Residence,DHS,Not Available,398,16.5,Not Available,460.7,19.3
1,1745,5,1076434,East 119th Street Veterans Residence,DHS,Not Available,221.2,8,Not Available,215.9,8.1
1,1876,20,1056586,Regent Hotel Shelter,DHS,Not Available,168.4,7,Not Available,194.1,8.6
1,2105,1,1076737,Harlem 1 Men's Shelter,DHS,Not Available,159.7,4.1,Not Available,380.2,20.3
1,2138,79,1063381,Fort Washington Armory-Shelter (Project Renewal),DHS,Not Available,188.9,6.6,Not Available,199.9,7.1
2,2353,57,2088140,Emergency Assistance Unit (EAU),DHS,Not Available,0,0,Not Available,317,9
2,2425,20,2102353,Webster Avenue SRO,DHS,Not Available,89.9,3.1,Not Available,78.3,2.8
2,2527,14,2003496,University Avenue Family Residences,DHS,Not Available,139.6,5.7,Not Available,134.1,5.6
2,2567,13,2003811,Jackson Family Residence,DHS,Not Available,82,2.1,Not Available,162.9,6.2
2,2572,6,2091301,Transitional Housing Office,DHS,32,276,8.7,75,166,6.3
2,2587,1,2003989,Willow Avenue Shelter Campus: Willow Avenue Men's Shelter,DHS,Not Available,68.5,1.8,Not Available,63.6,1.7
2,2587,1,2003989,Willow Avenue Shelter Campus: Willow Avenue Men's Shelter,DHS,Not Available,68.5,1.8,Not Available,63.6,1.7
1,387,1,1004627,M064,DOE,62,119.6,4.7,57,113.8,4.5
2,2613,1,2004260,Franklin Women's Shelter,DHS,Not Available,216.1,8.5,Not Available,199.1,7.9
2,2761,43,2006338,Seneca Houses Residence,DHS,Not Available,180.1,7.3,Not Available,221,9.2
2,2865,49,2090448,Mount Eden Avenue SRO (Single Room Occupancy) Residence,DHS,Not Available,223.6,8.1,Not Available,211.3,7.7
2,3007,1,2010906,Freeman Houses Residence,DHS,Not Available,205.9,8.8,Not Available,236,10.3
2,3752,13,2088552,Commonwealth Avenue SRO (Single Room Occupancy) Residence,DHS,Not Available,211.7,7.5,Not Available,222.1,7.9
3,1102,12,3026581,Park Slope Armory Shelter,DHS,Not Available,184,9,Not Available,173,8.9
3,1199,15,3029748,Atlantic Avenue Men's Shelter (Armory),DHS,Not Available,176.1,6.6,Not Available,197.2,8.4
3,1472,1,3319475,East New York Avenue SRO (Single Room Occupancy) Residence,DHS,Not Available,222.3,8.1,Not Available,193.2,6.8
3,1649,1,3045367,Pamoja House Shelter,DHS,Not Available,35.2,1,Not Available,84.6,4.8
3,1967,68,3056327,BRC Women's Shelter,DHS,Not Available,374.3,10.3,Not Available,317.6,8.5
3,2885,1,3338306,Barbara Kleinman Residence Campus: Barbara Kleinman Residence,DHS,Not Available,Not Available,Not Available,Not Available,123.2,3.8
3,3243,44,3073772,Stockholm Street Family Residence,DHS,Not Available,342.2,14,Not Available,367.4,15.3
3,3426,5,3319581,Bushwick Family Residence,DHS,Not Available,424.3,15.6,Not Available,416.2,15.6
3,3583,6,3082035,Fannie Barnes (Urban Transitional Housing),DHS,Not Available,93.5,4.2,Not Available,66.8,3.1
3,3699,1,3083637,HELP Women's Center Shelter,DHS,Not Available,364.3,15.6,Not Available,244.7,10.1
3,3844,1,3085646,Linden Family Residence,DHS,Not Available,415.2,16.1,Not Available,472.4,18.1
3,3871,101,3332519,Flatlands Avenue Residence,DHS,Not Available,470.3,16.7,Not Available,487.5,17.3
3,4077,24,3090429,Rose McCarthy Family Residence Campus: Rose McCarthy Family Residence,DHS,Not Available,69.2,2.6,Not Available,154.8,6.5
3,4077,28,3090430,Rose McCarthy Family Residence Campus: Rose McCarthy Family Residence,DHS,Not Available,69.2,2.6,Not Available,154.8,6.5
3,4258,36,3095610,Samaritan Forbell Residence,DHS,Not Available,516.3,13.4,Not Available,469.6,12.4
3,4833,1,3337083,Kingsboro MICA 8 Shelter,DHS,Not Available,19.2,0.5,Not Available,42.4,1.8
4,68,2,4000526,Borden Avenue Shelter,DHS,Not Available,334.2,11.4,Not Available,374.8,13.4
4,9662,20,4314908,Briarwood Residence,DHS,Not Available,202.1,7.3,Not Available,258,9.8
4,9833,4,4448804,Jamaica Arms Hotel / Family Respite Residence,DHS,Not Available,260.8,10.8,Not Available,279.3,12.5
4,13307,91,4430508,Springfield Family Residence,DHS,Not Available,438.9,16.5,Not Available,449.6,16.6
1,167,1,1088394,"Manhattan House Detention, South Tower",DOC,Not Available,193.4,6.6,Not Available,174.2,5.9
1,198,1,1002364,"Manhattan House Detention, North Tower",DOC,Not Available,196.3,6.8,Not Available,176.8,6
2,2605,40,0,Rikers Island AMKC Campus: Buildings 3&4,DOC,Not Available,344.9,12.7,Not Available,359.2,14.6
2,2605,40,0,Rikers Island AMKC Campus: Hart Island Module / S1,DOC,Not Available,344.9,12.7,Not Available,359.2,14.6
2,2605,40,0,Rikers Island AMKC Campus: Module 1,DOC,Not Available,344.9,12.7,Not Available,359.2,14.6
2,2605,40,0,Rikers Island AMKC Campus: Modules DD/(6),DOC,Not Available,344.9,12.7,Not Available,359.2,14.6
2,2605,40,0,Rikers Island AMKC Campus: Modules OO & PP/ (11&12),DOC,Not Available,344.9,12.7,Not Available,359.2,14.6
2,2605,40,0,Rikers Island AMKC Campus: Modules WW & XX/ (7&8),DOC,Not Available,344.9,12.7,Not Available,359.2,14.6
2,2605,40,0,Rikers Island AMKC Campus: Pantry Buildings 1&2,DOC,Not Available,344.9,12.7,Not Available,359.2,14.6
2,2605,40,0,Rikers Island AMKC Campus: Pantry Buildings 3&4,DOC,Not Available,344.9,12.7,Not Available,359.2,14.6
2,2605,40,0,Rikers Island AMKC Campus: Pantry Buildings 5,DOC,Not Available,344.9,12.7,Not Available,359.2,14.6
2,2605,40,2109476,Rikers Island AMKC Campus: Rikers Island AMKC Campus: AMKC Detention Facility,DOC,Not Available,344.9,12.7,Not Available,359.2,14.6
2,2605,40,0,Rikers Island Bakery,DOC,Not Available,344.9,12.7,Not Available,570.5,28.6
2,2605,40,0,Rikers Island Division 1 Storehouse,DOC,Not Available,344.9,12.7,1,391.5,15.4
2,2605,40,0,Rikers Island EMTC Campus: Locker Room,DOC,Not Available,344.9,12.7,Not Available,391.8,15.5
2,2605,40,2116651,Rikers Island EMTC Campus: Rikers Island EMTC Campus: EMTC Detention Facility,DOC,Not Available,344.9,12.7,Not Available,391.8,15.5
2,2605,40,0,Rikers Island EMTC Campus: Sprung 1 (HIIP),DOC,Not Available,344.9,12.7,Not Available,391.8,15.5
2,2605,40,0,Rikers Island GMDC Campus: East Sprungs & WS,DOC,Not Available,344.9,12.7,Not Available,429,16.5
2,2605,40,2097042,Rikers Island GMDC Campus: Rikers Island GMDC Campus: GMDC Detention Facility,DOC,Not Available,344.9,12.7,Not Available,429,16.5
2,2605,40,0,"Rikers Island GMDC Campus: Rikers Island GMDC Campus: GMDC MODS 4,5,8,9,10,11,12,13",DOC,Not Available,344.9,12.7,Not Available,429,16.5
2,2605,40,0,"Rikers Island GMDC Campus: Rikers Island GMDC Campus: MODS 14,15,16,LL,N,QQ,RR",DOC,Not Available,344.9,12.7,Not Available,429,16.5
2,2605,40,0,Rikers Island GMDC Campus: Rikers Island GMDC Campus: West Sprungs,DOC,Not Available,344.9,12.7,Not Available,429,16.5
2,2605,40,2096863,Rikers Island GRVC Detention Facility,DOC,Not Available,344.9,12.7,Not Available,539.3,19.4
2,2605,40,0,Rikers Island JATC Campus: Rikers Island JATC Campus: JATC Detention Facility,DOC,Not Available,344.9,12.7,Not Available,392.1,15.5
2,2605,40,0,Rikers Island Laundry Facility,DOC,Not Available,344.9,12.7,Not Available,390,15.4
2,2605,40,0,Rikers Island New Central Warehouse,DOC,Not Available,344.9,12.7,1,390.3,15.4
2,2605,40,0,Rikers Island NIC Campus: Rikers Island NIC Campus: North Infirmary Command (NIC),DOC,Not Available,344.9,12.7,Not Available,391.6,15.5
2,2605,40,0,Rikers Island OBCC Campus: Rikers Island OBCC Campus: 300 Bed Annex,DOC,Not Available,344.9,12.7,Not Available,392.6,15.5
2,2605,40,0,Rikers Island OBCC Campus: Rikers Island OBCC Campus: CPSU 500 Bed Annex,DOC,Not Available,344.9,12.7,Not Available,392.6,15.5
2,2605,40,0,Rikers Island OBCC Campus: Rikers Island OBCC Campus: Main Building,DOC,Not Available,344.9,12.7,Not Available,392.6,15.5
2,2605,40,2116652,Rikers Island Powerhouse,DOC,Not Available,344.9,12.7,Not Available,391.5,15.5
2,2605,40,0,Rikers Island RMSC Campus: Rikers Island RMSC Campus: 800 Bed Addition,DOC,Not Available,344.9,12.7,Not Available,480.1,17.8
2,2605,40,0,Rikers Island RMSC Campus: Rikers Island RMSC Campus: Dorms 17-20,DOC,Not Available,344.9,12.7,Not Available,480.1,17.8
2,2605,40,2109477,Rikers Island RMSC Campus: RMSC Detention Facility,DOC,Not Available,344.9,12.7,Not Available,480.1,17.8
2,2605,40,0,"Rikers Island RNDC Campus: Rikers Island RNDC Campus: Mods 2,4,10",DOC,Not Available,344.9,12.7,Not Available,399.5,15.7
2,2605,40,2109479,Rikers Island RNDC Campus: Rikers Island RNDC Campus: RNDC Detention Facility,DOC,Not Available,344.9,12.7,Not Available,399.5,15.7
2,2605,40,0,"Rikers Island RNDC Campus: Rikers Island RNDC Campus: Sprungs, MOD 3",DOC,Not Available,344.9,12.7,Not Available,399.5,15.7
2,2605,40,2000000,Rikers Island Telecom / SOD / COD,DOC,Not Available,344.9,12.7,Not Available,392.4,15.5
2,2605,40,0,Rikers Island Transportation Garage,DOC,Not Available,344.9,12.7,Not Available,391.3,15.5
2,2605,40,0,Rikers Island West Facility Campus: 200 Bed Modules,DOC,Not Available,344.9,12.7,Not Available,2483.6,70.8
2,2605,40,2109475,Rikers Island West Facility Campus: Rikers Island West Facility Campus: WF Detention Facility,DOC,Not Available,344.9,12.7,Not Available,2483.6,70.8
3,175,1,3000605,Brooklyn House of Detention #129,DOC,Not Available,412.3,15.4,Not Available,540.5,20.5
4,9653,1,4458616,BIN 4458616,DOC,Not Available,60,2.8,Not Available,55.2,2.6
4,9653,1,4458617,Queens Detention Complex (BIN 4458617),DOC,Not Available,56.1,2.6,Not Available,52.5,2.4
1,16,40,1087945,M276,DOE,Not Available,Not Available,Not Available,12,242.7,7.7
1,16,215,1084587,M477,DOE,47,201.2,6,39,203.9,6.3
1,16,220,1085459,M089,DOE,34,155.5,4.9,45,158.2,5.3
1,23,13,1000811,M282,DOE,100,24.7,0.6,63,130.1,3.4
1,51,15,1001035,M894,DOE,24,169.8,11.2,23,157.5,7.9
1,52,1,1001037,M833,DOE,16,218.1,11.2,16,201.9,7.8
1,100,7502,1087485,M971 (Leased),DOE,Not Available,Not Available,0,1,394,10.4
1,111,160,1083357,M126,DOE,81,110.8,4.8,94,84.7,3.2
1,113,100,1001388,M520,DOE,8,271.3,13.5,24,225.7,8.4
1,142,1,1001533,M234,DOE,70,134.2,5.2,51,159.1,6.4
1,142,25,1083240,M840,DOE,51,260.9,6.8,71,215.2,5.7
1,236,38,1003086,M130,DOE,66,144.3,4.8,63,147.6,5.3
1,245,7,1003143,M137,DOE,96,85.7,3.2,93,94,3.6
1,259,44,1003214,M446,DOE,97,68.6,2.5,96,74.5,3.1
1,269,41,1003223,M056,DOE,97,79.3,3.4,95,80,3.1
1,273,1,1003248,M002,DOE,88,103.2,4.6,94,88.5,3.4
1,279,40,1003375,M001,DOE,83,116.6,4.3,78,124.6,4.9
1,288,15,1003736,M134,DOE,73,114.2,4.8,90,100.9,3.9
1,289,1,1075787,M124,DOE,68,130.3,5.3,51,138.7,6
1,301,3,1082489,M131,DOE,90,117.5,4.7,82,129.1,5.4
1,309,1,1003998,M042,DOE,68,118.7,4.2,81,124,4.7
1,325,25,1004062,M097,DOE,44,97.3,3.7,76,95.3,3.8
1,331,140,1004066,M110,DOE,97,91.1,3.2,97,90.3,3.7
1,335,1,1004070,M022,DOE,63,130.1,6.1,88,89.9,3.2
1,343,1,1004080,M142,DOE,94,80.5,3.3,85,99.9,4.7
1,344,1,1004091,M140,DOE,85,84.8,3.9,73,99.2,5
1,354,80,1004323,M025,DOE,95,98.9,2.6,86,117.6,4.7
1,355,1,1004325,M020,DOE,97,76.8,3.3,98,74.3,3.1
1,356,100,1004349,M188,DOE,81,88,3.3,80,88.1,3.4
1,394,12,1079053,M061,DOE,54,134.6,5.5,46,144.1,5.9
1,408,30,1005283,"M445 within (M445, M447)",DOE,87,109.2,5.7,83,114.5,5
1,422,72,1005626,M510,DOE,84,116.9,4,83,111.7,4.4
1,431,14,1005760,M063,DOE,77,90.6,3.5,97,66.5,2.4
1,439,17,1005974,M060,DOE,62,139.5,7.6,68,129.8,7.2
1,446,20,1006208,M751,DOE,81,121.4,4.5,71,129.2,5.2
1,453,34,1006478,M019,DOE,91,89.2,3.7,80,109,5.3
1,491,16,1007378,M615,DOE,96,103.7,3.5,96,95.5,3.4
1,577,19,1009713,M883,DOE,17,131.3,3.9,77,122.1,3.8
1,581,54,1086648,M641,DOE,57,127.3,4.6,57,116.6,4.6
1,585,41,1009872,M003,DOE,86,65.6,2.7,59,90.9,4.1
1,606,49,1010543,M041,DOE,98,70.1,1.9,93,87.5,3.8
1,724,23,1012829,M033,DOE,33,165.7,6.3,51,141.1,5.5
1,741,10,1079152,M070,DOE,97,68.6,1.8,81,100.3,5
1,742,7,1013096,M440,DOE,81,118.2,4.7,78,122.7,4.9
1,744,24,1013260,M011,DOE,80,108.2,5.5,65,124.8,6.8
1,767,68,1013858,M451,DOE,26,172.7,5.2,16,177,5.8
1,774,19,1014174,M600,DOE,91,100,5.6,92,97.5,4.3
1,804,1,1015097,M882,DOE,100,72.5,1.9,100,69.2,1.8
1,805,17,1015148,M920,DOE,63,281.4,9.9,71,230.1,7.9
1,824,15,1080668,M873,DOE,58,143.4,3.7,53,139.5,3.7
1,848,7502,1016163,M905,DOE,100,44.1,1.1,100,33.9,0.9
1,855,16,1016745,M874,DOE,84,106.9,2.8,69,119.3,3.2
1,872,57,1017828,M460,DOE,96,100.2,5.6,92,112.8,5.2
1,878,16,1018014,M660,DOE,81,135.4,5.3,77,136.9,5.6
1,889,1,1018491,M620,DOE,39,196.6,9,43,177.3,6.7
1,904,24,1019775,M047,DOE,51,156.6,7,49,149.9,5.7
1,913,7,1020080,M116,DOE,91,102.2,4.8,90,103.9,5
1,921,64,1020416,M661,DOE,79,182,8.5,89,158.9,5.9
1,922,8,1020419,M475,DOE,86,109.3,5.7,71,125.3,5.5
1,925,12,1020513,M040,DOE,74,104.9,5.1,67,113.1,4.7
1,926,1,1081671,M104,DOE,84,78.2,3.4,97,75,2.9
1,955,1,1022052,M844,DOE,60,156.8,6.5,76,131.1,4.8
1,967,2,1089385,M281,DOE,Not Available,Not Available,Not Available,21,193.9,6.4
1,996,21,1022615,M896,DOE,98,91.6,2.6,86,135.3,4.5
1,998,41,1069583,M486,DOE,34,216.5,8.4,36,199.6,7.1
1,1029,43,1024906,M832 (closed),DOE,Not Available,Not Available,4.8,Not Available,Not Available,0
1,1038,14,1025092,M017,DOE,93,90.1,3.4,91,95.1,3.7
1,1043,22,1025241,M058,DOE,97,115.7,5,93,130.9,4.8
1,1059,15,1026646,M625,DOE,100,80.6,3.6,100,81.1,3.7
1,1062,3,1026740,M111,DOE,60,110.7,5.8,71,100.2,3.9
1,1065,1,1026841,M834,DOE,43,164.9,5,54,138.3,4.6
1,1073,1,1083785,M051,DOE,93,111.9,4.2,100,17.3,0.6
1,1073,14,1089418,M338,DOE,Not Available,Not Available,Not Available,26,182,5.3
1,1079,29,1083802,M535,DOE,48,143.7,6.8,90,121.5,5.7
1,1148,14,1030178,M044,DOE,69,78.2,3.5,87,89.5,4.6
1,1149,7,1030196,M087,DOE,89,83,4.2,91,79,4.1
1,1152,29,1030320,M191,DOE,88,99.4,4.7,84,106.3,5.5
1,1154,108,1030328,M837 (Leased),DOE,43,222.8,6.9,55,190.9,5.8
1,1156,30,1030341,M485,DOE,73,155.2,7.2,77,139,5.3
1,1157,25,1030343,M490,DOE,46,194.3,7.8,56,167.8,5.8
1,1158,40,1030351,M199,DOE,86,95.2,4.7,72,113.6,4.7
1,1205,6,1081042,M084,DOE,66,102.2,5,82,85.5,4.4
1,1214,29,1032119,M009,DOE,93,88.6,4.2,92,93.9,5.1
1,1215,1,1032128,M470,DOE,74,139.3,5.3,82,117.8,5.2
1,1219,47,1032308,M166,DOE,55,127.5,11.6,53,129,11.8
1,1223,5,1032522,M118,DOE,73,125.8,6.7,68,131.9,7.3
1,1230,1,1032754,M841,DOE,6,171,7.4,43,180.6,8.1
1,1253,65,1034190,M075,DOE,70,122.9,6.1,72,119.1,6.2
1,1330,13,1038593,M488,DOE,Not Available,Not Available,Not Available,37,197.3,6
1,1330,13,1038593,M630 (closed),DOE,93,84.1,4.3,Not Available,Not Available,0
1,1373,1,1084848,M271,DOE,8,230.2,6.1,14,207.5,5.6
1,1418,7,1087680,M267,DOE,6,292,11.2,11,268.1,9.7
1,1430,5,1044058,M167,DOE,70,81.7,4,95,68,3.3
1,1442,1,1083343,M480,DOE,94,108.2,5.9,97,91.8,4.1
1,1461,7,1045569,"M183 within (M183, M390)",DOE,87,108,4.7,84,112.2,5.1
1,1471,5,1045949,M855,DOE,25,226.4,6.4,37,188.5,5.6
1,1489,1,1046411,M158,DOE,97,104.9,3.7,96,108,4.1
1,1493,21,1046668,M006,DOE,56,137.6,6.8,82,108.5,4.3
1,1516,7502,1048043,M169,DOE,9,262.5,6.8,20,262.3,6.9
1,1524,23,1048492,M198,DOE,76,118,5.9,94,82.5,4.1
1,1545,5,1049876,M190,DOE,96,104.8,3.8,97,102,3.8
1,1554,15,1050217,M816,DOE,100,29.8,0.8,90,94.9,5.6
1,1554,23,1087665,M114,DOE,61,184.7,5,14,267.1,8.2
1,1558,34,1050338,M646,DOE,43,170,6.1,56,143.9,5.4
1,1568,8,1050618,M066,DOE,79,114.9,3.9,88,98.4,3.6
1,1595,15,1051410,"M185 within (M185, M208)",DOE,97,53.1,2.3,78,102.3,5
1,1595,15,1051410,"M208 within (M185, M208)",DOE,97,53.1,2.3,78,102.3,5
1,1601,1,1051434,"M149 within (M149, M207)",DOE,31,142.8,6.4,27,147.2,6.5
1,1601,1,1051434,"M207 within (M149, M207)",DOE,31,142.8,6.4,27,147.2,6.5
1,1609,7,1051497,M171,DOE,70,110.8,4.3,70,110.8,4.6
1,1612,50,1051515,M013,DOE,84,96.2,4.8,80,101.1,5
1,1614,21,1051584,M108,DOE,60,76.1,3.6,82,89.1,4.9
1,1632,11,1081340,M072,DOE,74,113.8,4.5,83,100.5,4.4
1,1634,65,1052058,M895,DOE,30,114,3,85,114.4,3
1,1639,3,1081346,M101,DOE,40,109.6,5.6,65,122,6.1
1,1640,139,1083184,M057,DOE,14,168.4,7,71,134.5,4.9
1,1652,16,1052384,M121,DOE,85,111,4.1,74,129.8,4.8
1,1654,33,1075643,M495,DOE,84,100.5,4.5,96,78.3,3.1
1,1656,100,1052433,M117,DOE,70,131.1,6.6,66,130.2,6.9
1,1659,12,1052436,M083,DOE,56,122.6,6,62,114.9,6.1
1,1668,1,1083927,M645,DOE,89,76.4,3.2,79,84.9,4.2
1,1684,101,1081366,M102,DOE,53,121.1,6.7,41,134.5,7.9
1,1689,5,1052986,M155,DOE,76,105.9,5.5,75,107.2,6
1,1693,1,1052998,M099,DOE,77,123,4.7,69,132.4,5.3
1,1694,1,1083933,M050,DOE,49,135.9,5,75,105,3.1
1,1700,1,1052999,M146,DOE,62,105.4,4.9,54,113.7,5.5
1,1713,1,1053152,M435,DOE,94,85.5,3.5,91,91.7,3.8
1,1733,17,1076433,M197,DOE,70,91.5,3.2,92,87.8,3.2
1,1747,1,1053968,M079,DOE,83,97,4.3,87,93.7,4.5
1,1752,22,1054156,M501,DOE,87,109.4,5.1,82,109.7,5
1,1752,59,1054159,M911,DOE,67,119.3,5.2,52,129.1,6.2
1,1755,1,1054276,M133,DOE,70,120.9,6.3,61,133.2,7.6
1,1768,21,1083501,M007,DOE,45,147.9,7.7,49,142.7,7.3
1,1776,20,1054502,M030,DOE,55,123.1,4.3,68,118.7,4.2
1,1784,12,1074333,M096,DOE,76,104.9,4.3,80,98.6,4.8
1,1797,100,1054786,M045,DOE,70,96.8,3.3,97,101.6,3.8
1,1816,1,1084005,"M112 within (M112, M206)",DOE,71,108.5,4.6,84,90.8,3.8
1,1816,1,1084005,"M206 within (M112, M206)",DOE,71,108.5,4.6,84,90.8,3.8
1,1828,15,1055111,M113,DOE,29,141.2,7.3,51,141.2,7.2
1,1830,19,1055204,M088,DOE,53,158.2,6.4,38,169.1,7
1,1850,2,1055890,M036,DOE,41,170.8,8.5,63,124,4.7
1,1852,99,1055908,"M163 within (M163, M919)",DOE,82,106.8,5.1,80,110,5.1
1,1855,9,1055911,M506,DOE,45,186.5,5.8,51,165,5.2
1,1859,1,1076625,M145,DOE,65,124.2,5.9,82,101,4.7
1,1862,11,1055990,M054,DOE,82,99.2,4.7,83,96.5,4.9
1,1880,13,1056676,M165,DOE,15,97.5,3.6,80,89.2,3.6
1,1906,11,1057683,M144,DOE,78,122.5,5.7,84,112.2,5.9
1,1919,6,1058248,M175,DOE,68,119.1,5.8,49,146.1,8.3
1,1925,19,1058447,M081,DOE,70,106,5.7,70,106,5.7
1,1926,17,1058470,M076,DOE,65,137.3,6.2,85,107.6,4
1,1931,27,1058660,M853,DOE,28,214,5.5,24,224,5.9
1,1932,10,1058671,M154,DOE,74,107.4,4.6,82,104.8,4.9
1,1939,11,1058808,M092,DOE,83,91.1,4.4,87,84.5,3.9
1,1940,35,1058843,M970,DOE,17,220.8,6.7,6,225.7,7.3
1,1946,1,1059111,M180,DOE,41,122.9,4.2,66,127.9,4.9
1,1957,10,1059407,M129,DOE,72,102.3,5.3,54,114.3,6.6
1,1957,78,1059409,M540,DOE,66,133.1,4.9,53,147.4,6.1
1,1960,1,1059460,M136,DOE,72,96.8,3.7,70,100.6,4.3
1,1964,12,1059526,M125,DOE,59,143.5,7.6,55,149,8.1
1,1967,24,1084102,M916,DOE,Not Available,Not Available,Not Available,61,139,5.3
1,1970,16,1084067,M223,DOE,88,136.6,6.2,77,158.7,8
1,1971,1,1059645,M161,DOE,87,102.9,4.1,82,112.4,5.4
1,1984,33,1059723,M043,DOE,44,119.1,4.7,85,108.6,4.8
1,1988,166,1084132,"M192 within (M192, M848)",DOE,85,101.8,4.9,90,91.7,3.7
1,1988,166,1084132,"M848 within (M192, M848)",DOE,85,101.8,4.9,90,91.7,3.7
1,2001,5,1059942,M195,DOE,73,125.6,5.2,73,125.8,5.2
1,2016,100,1060198,"M010 within (M010, M200)",DOE,83,86.2,4,78,96.8,4.9
1,2016,100,1060198,"M200 within (M010, M200)",DOE,83,86.2,4,78,96.8,4.9
1,2029,11,1060432,M194,DOE,45,140.8,6.7,60,124.4,4.9
1,2042,35,1060726,M123,DOE,62,89.2,4,82,94.6,4.5
1,2078,19,1081834,M153,DOE,67,114.1,4.1,88,85.6,3.2
1,2084,29,1087824,M093,DOE,7,225.7,6.3,2,264.5,7.8
1,2106,50,1082090,"M046 within (M046, M846)",DOE,87,52.2,1.5,89,47.9,1.4
1,2107,26,1076739,M028,DOE,63,124.2,5.8,69,116.8,5.2
1,2111,24,1062636,M164,DOE,39,146.8,5.9,41,145.8,6
1,2112,1,1081842,M008,DOE,51,148.2,4.6,44,155.8,5
1,2112,58,1076741,M090,DOE,58,137.9,4.5,62,131.6,4.2
1,2116,33,1076742,M814,DOE,Not Available,Not Available,Not Available,14,228.6,7.3
1,2118,22,1062792,M004,DOE,43,176.4,5.5,39,180.9,6.5
1,2123,45,1085733,M876,DOE,2,299.3,8.5,7,253.5,7.4
1,2125,1,1062994,M128,DOE,56,129.4,6.1,33,137.7,7.7
1,2133,40,1063228,M115,DOE,62,107.5,4.3,37,123,5
1,2142,154,1063503,M173,DOE,45,127.3,5.2,50,123,5.4
1,2150,30,1084201,"M005 within (M005, M921)",DOE,36,155.8,4.9,35,156,5.3
1,2155,35,1063703,M143,DOE,93,87.7,3.5,82,100.5,4.8
1,2159,51,1076750,M189,DOE,60,113.8,4.5,1,281.6,13.5
1,2160,18,1076751,"M465 within (M465, M466, M965)",DOE,65,161.7,8.5,70,146.5,8
1,2160,18,1076751,"M466 within (M465, M466, M965)",DOE,65,161.7,8.5,70,146.5,8
1,2160,18,1076751,"M965 within (M465, M466, M965)",DOE,65,161.7,8.5,70,146.5,8
1,2164,32,1063928,M528,DOE,66,206.1,7,74,189.4,7.1
1,2165,26,1063947,M132,DOE,87,86.1,3.3,71,108,4.7
1,2165,69,1063959,M233,DOE,91,83.2,3.4,86,99.9,4.6
1,2167,29,1076752,"M048 within (M048, M902)",DOE,36,158.7,4.8,28,169.6,5.4
1,2171,36,1064128,M178,DOE,74,110.4,3.5,58,128.3,4.5
1,2172,16,1076756,M218,DOE,84,107,4.5,80,110.1,5.1
1,2173,1,1064149,"M152 within (M152, M847)",DOE,39,134.8,6,18,168.8,8.9
1,2173,1,1064149,"M847 within (M152, M847)",DOE,39,134.8,6,18,168.8,8.9
1,2179,365,1064371,M187,DOE,26,114.3,4.7,50,118.3,5.1
1,2215,824,1082045,"M884 within (M898, M884)",DOE,95,143.6,4.3,93,146.7,4.5
1,2215,824,1082045,"M898 within (M898, M884)",DOE,95,143.6,4.3,93,146.7,4.5
