row_id,product_type,product_name,metal,concentration,units,manufacturer,made_in_country,collection_date,deleted
1166,Cosmetics,Dawmy Lightening Body Cream,Mercury,-1.0,ppm,UNKNOWN OR NOT STATED,COTE D'IVOIRE,2014-08-06T00:00:00.000,No
1484,Food-Spice,Red Chili Powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2015-04-11T00:00:00.000,No
160,Food-Spice,Chili pepper,Lead,6.2,ppm,UNKNOWN OR NOT STATED,GEORGIA,2011-05-04T00:00:00.000,No
647,Religious powder,Gulal powder,Lead,16.0,ppm,UNKNOWN OR NOT STATED,INDIA,2012-11-21T00:00:00.000,No
1200,Toys/Children's Products,Crayon,Lead,0.53,ppm,Sargent Art,CHINA,2014-08-29T00:00:00.000,No
103,Food Other,Dried Fish,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2011-04-14T00:00:00.000,No
1024,Toys/Children's Products,Blue and white toy car,Lead,-1.0,ppm,Mattel,THAILAND,2014-01-09T00:00:00.000,No
556,Toys/Children's Products,Water Soluble Painting Crayons,Lead,5.1,ppm,Caran D'Ache,SWITZERLAND,2012-08-10T00:00:00.000,No
1187,Food-Candy,Felon Mini,Lead,1.0,ppm,carratera guadalajara,MEXICO,2014-08-21T00:00:00.000,No
363,Dietary Supplement/Medications/Remedy,Phal (Ayurvedic),Mercury,-1.0,ppm,Shree Aushadh Pratisthan,INDIA,2012-01-23T00:00:00.000,No
356,Dietary Supplement/Medications/Remedy,Garbha Dharak Yog (Ayurvedic),Lead,110.0,ppm,Vyas Pharmaceuticals,INDIA,2012-01-23T00:00:00.000,No
449,Food-Spice,Coriander,Lead,-1.0,ppm,Swad,INDIA,2012-05-11T00:00:00.000,No
706,Toys/Children's Products,Toy balls,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2013-02-02T00:00:00.000,No
435,Toys/Children's Products,Plastic toy,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,CHINA,2012-04-23T00:00:00.000,No
322,Food-Spice,Pepita,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,MEXICO,2011-11-15T00:00:00.000,No
1296,Food-Spice,Red Chilli Powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2015-02-25T00:00:00.000,No
870,Toys/Children's Products,Toy car,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,CHINA,2013-07-24T00:00:00.000,No
1340,Dietary Supplement/Medications/Remedy,Kaishore Guggulu (Ayurvedic),Mercury,0.9,ppm,Shree Baidyanath Ayurved Bhawan (P) Ltd.,INDIA,2015-02-25T00:00:00.000,No
347,Food-Candy,Candy (Caramelo Macizo Acidulado),Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2011-12-13T00:00:00.000,No
465,Jewelry,Necklace,Lead,1.4,ppm,UNKNOWN OR NOT STATED,MEXICO,2012-05-16T00:00:00.000,No
1322,Dietary Supplement/Medications/Remedy,Arogyavardhini Bati (Ayurvedic),Mercury,2.5,ppm,Shree Baidyanath Ayurved Bhawan (P) Ltd.,INDIA,2015-02-25T00:00:00.000,No
867,Dietary Supplement/Medications/Remedy,Acorrus Rhizome,Lead,5.1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2013-07-23T00:00:00.000,No
13,Food-Spice,Garam masala,Lead,3.8,ppm,UNKNOWN OR NOT STATED,INDIA,2011-01-19T00:00:00.000,No
1447,Food-Spice,Coriander,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,BANGLADESH,2015-03-17T00:00:00.000,No
446,Food-Spice,Fish Powder,Lead,-1.0,ppm,Namprik Maesri Ltd.,THAILAND,2012-05-02T00:00:00.000,No
469,Toys/Children's Products,Toy,Lead,1.9,ppm,Spin Master Ltd.,CHINA,2012-05-23T00:00:00.000,No
1413,Dietary Supplement/Medications/Remedy,Shankh Bati (Ayurvedic),Lead,33.0,ppm,"Shree Baidyanath, Ayurved Bhawan Pvt. Ltd.",INDIA,2015-02-25T00:00:00.000,No
1298,Food-Spice,Chilli powder,Lead,1.0,ppm,Pran Agro Ltd,BANGLADESH,2015-02-25T00:00:00.000,No
374,Food-Spice,Chili powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2012-01-23T00:00:00.000,No
69,Food-Spice,Coriander seeds,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2011-03-29T00:00:00.000,No
957,Dietary Supplement/Medications/Remedy,Gita Madhumehantak Vati (Ayurvedic),Arsenic,-1.0,ppm,Gita Bhawan Ayurved Sansthan,INDIA,2013-11-15T00:00:00.000,No
1292,Food-Spice,Kashmiri chilli powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2015-02-25T00:00:00.000,No
305,Food-Spice,Turmeric,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2011-10-18T00:00:00.000,No
1020,Cosmetics,Surma,Lead,730000.0,ppm,UNKNOWN OR NOT STATED,AFGHANISTAN,2014-01-07T00:00:00.000,No
1162,Cosmetics,La Bamakoise,Mercury,-1.0,ppm,H Cosmetiques CI,ITALY,2014-08-06T00:00:00.000,No
247,Food-Spice,Turmeric,Lead,1.7,ppm,UNKNOWN OR NOT STATED,BANGLADESH,2011-07-14T00:00:00.000,No
1631,Dietary Supplement/Medications/Remedy,Poria & Peony Combo Extract (Conc)/Shu Gan Wan,Arsenic,-1.0,ppm,Lanzhou Traditional Herbs,CHINA,2015-12-16T00:00:00.000,No
1101,Cosmetics,Omic Soap,Lead,-1.0,ppm,MItchell group,LEBANON,2014-04-01T00:00:00.000,No
726,Food-Spice,Georgian spice (Ucho),Lead,-1.0,ppm,UNKNOWN OR NOT STATED,GEORGIA,2013-02-21T00:00:00.000,No
885,Cosmetics,Pink Nail Polish,Lead,-1.0,ppm,Mark Wins International,UNKNOWN OR NOT STATED,2013-08-22T00:00:00.000,No
929,Food-Spice,Vegetable soup powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2013-10-22T00:00:00.000,No
450,Food-Spice,Curry powder,Lead,0.7,ppm,UNKNOWN OR NOT STATED,INDIA,2012-05-11T00:00:00.000,No
386,Toys/Children's Products,Toy car,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2012-02-14T00:00:00.000,No
1458,Dietary Supplement/Medications/Remedy,Herbal powder,Arsenic,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2015-03-26T00:00:00.000,No
1350,Dietary Supplement/Medications/Remedy,Brahmi Bati (Buddhi Vardhak) (Ayurvedic),Arsenic,110.0,ppm,Shree Baidyanath,INDIA,2015-02-25T00:00:00.000,No
950,Toys/Children's Products,Wooden block,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNITED STATES,2013-11-08T00:00:00.000,No
1517,Dietary Supplement/Medications/Remedy,Talco,Lead,-1.0,ppm,Simonds,CHILE,2015-07-24T00:00:00.000,No
1511,Toys/Children's Products,Crayon,Lead,1.2,ppm,UNKNOWN OR NOT STATED,CHINA,2015-07-10T00:00:00.000,No
1407,Dietary Supplement/Medications/Remedy,Arshoghni Bati (Ayurvedic),Lead,16.0,ppm,"Shree Baidyanath, Ayurved Bhawan Pvt. Ltd",INDIA,2015-02-25T00:00:00.000,No
