,_zone,district,fiscal_month_number,fiscal_year,month_name,diversion_rate_total_total_recycling_total_waste_,capture_rate_paper_total_paper_max_paper_,capture_rate_mgp_total_mgp_max_mgp_,capture_rate_total_total_recycling_leaves_recycling_max_paper_max_mgp_x100
403,Queens West,QW01,12,2019,June,20.5698122602718,53.1856723852735,78.2998053576016,62.7248592663163
404,Queens West,QW02,12,2019,June,21.7346761335853,52.9850103514704,71.0341550120667,59.8406785981151
405,Queens West,QW03,12,2019,June,14.370225761563,32.3747095579271,62.5072599952262,43.8200590804671
406,Queens West,QW04,12,2019,June,15.4196573982465,36.2734426728785,64.5666780141661,47.0201588620158
407,Queens West,QW05,12,2019,June,23.8485700579842,47.7731810188228,85.1086970359476,61.9544575526351
408,Queens West,QW06,12,2019,June,20.3049090878033,29.7299929012508,73.8158496155704,40.3477811273579
409,Queens West,QW09,12,2019,June,22.7558197074565,44.3266420327409,79.0605185825083,57.5197289641662
410,Staten Island,SI01,12,2019,June,21.4598426689047,48.1963277138348,90.3971360193627,63.2014786160095
411,Staten Island,SI02,12,2019,June,19.3221363000242,52.8157549714823,84.090812336903,63.936085933978
412,Staten Island,SI03,12,2019,June,20.5113874048574,54.7757385690052,95.3693714003743,69.2094333431021
413,Brooklyn North,BKN01,9,2019,March,15.6983469108913,48.1923364202481,47.2420707078383,47.8030288389483
414,Brooklyn North,BKN02,9,2019,March,19.732968915459,31.227225989827,56.4225147003564,38.3830098536093
415,Brooklyn North,BKN03,9,2019,March,12.3195931903998,35.025749006458,44.6743598810885,38.9786195703974
416,Brooklyn North,BKN04,9,2019,March,15.9805864860543,37.4917263774645,69.394709580042,50.5618319959742
417,Brooklyn North,BKN05,9,2019,March,10.3775033523257,24.673220153684,44.5928170024925,32.8339376965822
418,Brooklyn North,BKN08,9,2019,March,16.8745951533193,45.8916396481644,60.5054674386525,51.8786745125704
419,Brooklyn North,BKN09,9,2019,March,14.4798333089658,31.4258742945885,46.2384013625923,36.8180629741649
420,Brooklyn North,BKN16,9,2019,March,9.2555908845263,21.798872584262,34.7730716603713,27.1141796564426
421,Brooklyn North,BKN17,9,2019,March,14.0514311088063,26.545759517285,61.6727025759792,39.3329837255267
422,Brooklyn South,BKS06,9,2019,March,30.6193108770941,43.5902054691388,81.3018428406869,54.3007922490933
423,Brooklyn South,BKS07,9,2019,March,20.3053150248618,41.6332671332669,71.711683557174,52.5826814901807
424,Brooklyn South,BKS10,9,2019,March,24.7046761834569,47.7882742505697,76.1378150098809,58.1083278141341
425,Brooklyn South,BKS11,9,2019,March,19.1142738752673,42.0948819498371,63.9221046218007,50.0406229066647
426,Brooklyn South,BKS12,9,2019,March,15.2580516803169,47.1440454104285,45.9244360705898,46.6443923596842
427,Brooklyn South,BKS13,9,2019,March,14.8960889308219,41.8333749333365,50.8327178380382,45.8834101424275
428,Brooklyn South,BKS14,9,2019,March,15.2446007784713,32.2369930565169,55.7987930446501,39.606330990294
429,Brooklyn South,BKS15,9,2019,March,19.0319747610212,44.1627400885962,61.0190181076014,50.2989132815016
430,Brooklyn South,BKS18,9,2019,March,15.4008771237563,29.443188535777,62.0337047767238,39.8585580863479
431,Bronx,BX01,9,2019,March,7.1418873901919,20.0354496030907,24.8052564539978,22.1820380697491
