,id,building_code,dbn,location_name,location_code,address,borough,geographical_district_code,register,schools,schools_in_building,major_n,oth_n,nocrim_n,prop_n,vio_n,engroupa,rangea,avgofmajor_n,avgofoth_n,avgofnocrim_n,avgofprop_n,avgofvio_n,geocoded_column,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,building_name
640,207,K177,21K177,PS 177(BROOKLYN),K177,346 AVENUE P,K,21,981,1,PS 177(BROOKLYN),0,0,0,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,"{'type': 'Point', 'coordinates': [-73.974517, 40.608652]}",18183,1.0,2.0,18.0,37.0,
641,1244,Q204,,36-41 28 STREET CONSOLIDATED LOCATION,,36-41 28 STREET,Q,30,888,2,I.S. 204 Oliver W. Holmes |  Energy Tech High School |  36-41 28 STREET CONSOLIDATED LOCATION,1,1,7,1,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,"{'type': 'Point', 'coordinates': [-98.949047, 29.581861]}",10908,,,,,36-41 28 STREET CONSOLIDATED LOCATION
642,548,K554,32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL(BN),K554,1474 GATES AVENUE,K,32,370,1,ALL CITY LEADERSHIP SECONDARY SCHOOL,0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-73.914145, 40.697566]}",13828,42.0,2.0,37.0,53.0,
643,263,K225,75K771,P.S. K771,K771,1075 OCEANVIEW AVENUE,K,21,443,2,P.S. K225 - The Eileen E. Zaglin |  P.S. K771 |  1075 OCEAN VIEW AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.956244, 40.579689]}",13826,21.0,2.0,15.0,35.0,1075 OCEANVIEW AVENUE CONSOLIDATED LOCATION
644,28,K020,13K020,P.S. 020 Clinton Hill,K020,225 ADELPHI STREET,K,13,382,2,P.S. 020 Clinton Hill |  Academy of Arts and Letters |  225 ADELPHI STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.971443, 40.69101]}",17212,68.0,2.0,48.0,55.0,225 ADELPHI STREET CONSOLIDATED LOCATION
645,417,K356,,104 SUTTER AVENUE CONSOLIDATED LOCATION,,104 SUTTER AVENUE,K,23,957,2,P.S. 156 Waverly |  I.S. 392 |  104 SUTTER AVENUE CONSOLIDATED LOCATION,0,6,10,3,3,5C,751-1000,0.38,1.52,3.88,0.83,0.91,"{'type': 'Point', 'coordinates': [-73.918267, 40.665949]}",17614,55.0,2.0,17.0,46.0,104 SUTTER AVENUE CONSOLIDATED LOCATION
646,642,M017,02M212,PS 212(MANHATTAN),M212,328 WEST 48 STREET,M,2,324,2,P.S. 212 Midtown West |  Professional Performing Arts High School |  328 WEST  48 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-82.566745, 27.55681]}",3685,,,,,328 WEST 48 STREET CONSOLIDATED LOCATION
647,73,K055,23K493,Brooklyn Collegiate: A College Board School,K493,2021 BERGEN STREET,K,23,196,2,Brooklyn Collegiate: A College Board School l Achievement First Brownsville Charter School l 2021 BERGEN STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-75.048258, 40.068155]}",4331,,,,,2021 BERGEN STREET CONSOLIDATED LOCATION
648,395,K321,15K321,PS 321(BROOKLYN),K321,180 SEVENTH AVENUE,K,15,1376,1,PS 321(BROOKLYN),0,0,1,0,0,7C,1251-1500,0.65,2.79,6.71,1.48,1.47,"{'type': 'Point', 'coordinates': [-74.150956, 40.964019]}",33059,,,,,
649,1148,Q123,27Q123,PS 123(QS),Q123,145-01 119 AVENUE,Q,27,656,1,PS 123(QS),1,1,3,2,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-83.125779, 29.640777]}",4298,,,,,
650,13,K011,13K011,PS 11(BN),K011,419 WAVERLY AVE,K,13,813,1,PS 11(BN),0,0,1,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,"{'type': 'Point', 'coordinates': [-76.602836, 39.215968]}",27937,,,,,
651,449,K400,21K559,Life Academy High School for Film and Music,K559,2630 Benson Ave,K,21,238,5,International High School at Lafayette |  High School of Sports Management |  Kingsborough Early College School |  Life Academy High School for Film and Music |  Expeditionary Learning School for Community Leader |  2630 BENSON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.98532, 40.594021]}",17616,21.0,2.0,45.0,35.0,2630 BENSON AVENUE CONSOLIDATED LOCATION
652,938,M475,02M420,HS FOR HEALTH PROFESSIONS & HUMAN SERVICES(MS),M420,345 EAST 15TH STREET,M,2,1426,3,P.S. M226 |  Institute for Collaborative Education |  High School for Health Professions and Human Servi |  345 EAST  15TH STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,7C,1251-1500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-81.965449, 34.949187]}",14044,,,,,345 EAST 15TH STREET CONSOLIDATED LOCATION
653,386,K316,17K316,P.S. 316 Elijah Stroud,K316,750 CLASSON AVENUE,K,17,493,2,P.S. 316 Elijah Stroud |  Elijah Stroud Middle School |  750 CLASSON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.960241, 40.674438]}",13829,16.0,2.0,48.0,49.0,750 CLASSON AVENUE CONSOLIDATED LOCATION
654,54,K035,,272 MACDONOUGH STREET CONSOLIDATED LOCATION,,272 MACDONOUGH STREET,K,16,464,2,Brooklyn Brownstone School |  M.S. 035 Stephen Decatur |  272 MACDONOUGH STREET CONSOLIDATED LOCATION,0,1,3,1,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-73.93554, 40.681954]}",13516,69.0,2.0,49.0,52.0,272 MACDONOUGH STREET CONSOLIDATED LOCATION
655,574,K721,21K690,BROOKLYN STUDIO SECONDARY SCHOOL(BS),K690,8310 21ST AVENUE,K,21,788,1,BROOKLYN STUDIO SECONDARY SCHOOL(BS),2,1,4,0,3,5C,751-1000,0.38,1.52,3.88,0.83,0.91,"{'type': 'Point', 'coordinates': [-99.374642, 37.503577]}",28126,,,,,
656,316,K270,13K270,P.S. 270 Johann DeKalb,K270,241 EMERSON PLACE,K,13,96,2,P.S. 270 Johann DeKalb | Community Partnership Charter School | 241 EMERSON PLACE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.961747, 40.691543]}",17212,68.0,2.0,48.0,55.0,241 EMERSON PLACE CONSOLIDATED LOCATION
