bbl,street_name,borough,zip,benchmarking_submission,street_number,entry_number,site_eui,weather_normalized_source_eui,energy_star_score,ghg,reported_building_square_footage,reported_facility_type,number_of_buildings,reported_bins,water_per_square_foot,latitude,longitude,community_board,community_council,census_tract,bin,nta
4038570179,  77 AVENUE,QUEENS,11385,Yes,    88-36,1435.0,66.2,121.2,47,1791.42,71000.0,Warehouse (Unrefrigerated),1.0,,,,,,,,,
4038570300,WOODHAVEN BOULEVARD ,QUEENS              ,11385,No DOF Record as of 08/01/12,    76-02,,,,,,,,,,,,,,,,,
4038840002,WOODHAVEN BOULEVARD,QUEENS,11385,Yes,    72-25,1707.0,77.7,201.0,65,333.95,53500.0,Retail,1.0,4095019.0,0.0,,,,,,,
4038860074,WOODHAVEN BOULEVARD ,QUEENS              ,11385,No DOF Record as of 08/01/12,    75-11,,,,,,,,,,,,,,,,,
4038860380,UNION TURNPIKE      ,QUEENS              ,11375,No DOF Record as of 08/01/12,    89-89,,,,,,,,,,,,,,,,,
4038860837,METROPOLITAN AVENUE ,QUEENS              ,11375,No DOF Record as of 08/01/12,    96-10,,,,,,,,,,,,,,,,,
4039980001,  14 AVENUE         ,QUEENS              ,11356,No DOF Record as of 08/01/12,   123-15,,,,,,,,,,,,,,,,,
4040110001,  14 AVENUE         ,QUEENS              ,11356,No DOF Record as of 08/01/12,   131-21,,,,,,,,,,,,,,,,,
4040110024, 131 STREET         ,QUEENS              ,11356,No DOF Record as of 08/01/12,    11-11,,,,,,,,,,,,,,,,,
4040120045,  14 AVENUE         ,QUEENS              ,11356,No DOF Record as of 08/01/12,   132-07,,,,,,,,,,,,,,,,,
4040310001,  14 AVENUE,QUEENS,11356,Yes,   109-01,1352.0,53.1,137.6,95,635.14,149000.0,Office,4.0,,28.27,,,,,,,
4040320001,  14 AVENUE,QUEENS,11356,Yes,   110-01,1345.0,104.2,266.3,21,457.79,54574.0,Office,1.0,,21.46,,,,,,,
4040650001,  15 AVENUE         ,QUEENS              ,11356,No DOF Record as of 08/01/12,   112-02,,,,,,,,,,,,,,,,,
4040780001,  15 AVENUE,QUEENS,11356,Yes,   114-02,803.0,,,N/A,,107000.0,Warehouse (Unrefrigerated),4.0,,,,,,,,,
4040780026,  15 AVENUE         ,QUEENS              ,11356,No DOF Record as of 08/01/12,   116-02,,,,,,,,,,,,,,,,,
4040800003, 119 STREET         ,QUEENS              ,11356,No DOF Record as of 08/01/12,    18-00,,,,,,,,,,,,,,,,,
4040890045,  14 AVENUE         ,QUEENS              ,11356,No DOF Record as of 08/01/12,   124-06,,,,,,,,,,,,,,,,,
4040920001,18 AVENUE           ,QUEENS              ,11356,No DOF Record as of 08/01/12,    15-54,,,,,,,,,,,,,,,,,
4040940006, 128 STREET         ,QUEENS              ,11356,No DOF Record as of 08/01/12,    14-50,,,,,,,,,,,,,,,,,
4041170001, 131 STREET,QUEENS,11356,Yes,    15-01,728.0,,,N/A,,,,1.0,,,,,,,,,
4041250001,  15 AVENUE,QUEENS,11357,Yes,   139-10,118.0,84.9,208.9,N/A,618.78,92705.0,Education,1.0,4854710.0,114.89,,,,,,,
4041430001,  20 AVENUE,QUEENS,11356,Yes,   135-05,1912.0,120.7,314.5,33,3233.38,331130.0,Retail,1.0,,,,,,,,,
4041430030,20 AVENUE,QUEENS,11356,Yes,   137-05,1912.0,120.7,314.5,33,3233.38,331130.0,Retail,1.0,,,,,,,,,
