order,property_id,property_name,bbl_10_digits,nyc_borough_block_and_lot,nyc_building_identification,address_1_self_reported,postal_code,street_number,street_name,borough,dof_gross_floor_area_ft,self_reported_gross_floor,primary_property_type_self,list_of_all_property_use,largest_property_use_type,largest_property_use_type_1,_2nd_largest_property_use,_2nd_largest_property_use_1,year_built,number_of_buildings,occupancy,metered_areas_energy,metered_areas_water,energy_star_score,source_eui_kbtu_ft,weather_normalized_source,site_eui_kbtu_ft,weather_normalized_site_eui,weather_normalized_site,weather_normalized_site_1,district_steam_use_kbtu,natural_gas_use_kbtu,weather_normalized_site_2,electricity_use_grid_purchase,electricity_use_grid_purchase_1,weather_normalized_site_3,total_ghg_emissions_metric,direct_ghg_emissions_metric,indirect_ghg_emissions_metric,water_use_all_water_sources,water_use_intensity_all_water,water_required,generation_date,dof_benchmarking_submission,latitude,longitude,community_board,council_district,census_tract,nta,fuel_oil_2_use_kbtu,_3rd_largest_property_use,_3rd_largest_property_use_1,fuel_oil_4_use_kbtu,parent_property_id,parent_property_name,address_2_self_reported,annual_maximum_demand_kw,annual_maximum_demand_mm,fuel_oil_5_6_use_kbtu,diesel_2_use_kbtu,district_chilled_water_use
532,2654447,1695 eastchester rd,2040850180,2040850180,2044222,1695 eastchester rd,10461,Not found,Not found,Bronx,Not found,79098,Medical Office,"Medical Office, Parking, Retail Store",Medical Office,78798.0,Retail Store,300.0,1992,1,100,Whole Building,Whole Building,,356.9,359.5,132.0,135.9,30.4,0.3,,2183472.9,25437.9,8259726.9,2420787.2,2405084.7,848.3,116.0,732.3,3453.8,43.66,Not found,2018-03-27T00:00:00.000,Not found,40.846129,-73.844705,211.0,13.0,200.0,Van Nest-Morris Park-Westchester Square,,Parking,0.0,,,,,,,,,
533,3128822,The Sherry Netherland Hotel,1013740001,1-01374-0001,1040751,781 Fifth Avenue,10022,Not found,Not found,Manhattan,Not found,335897,Hotel,Hotel,Hotel,335897.0,,,1927,1,100,Whole Building,,,,,,,,,,,,,,,,,,,,Not found,2018-03-27T00:00:00.000,Not found,40.764454,-73.972871,108.0,4.0,11401.0,Upper East Side-Carnegie Hill,,,,,,,,,,,,
534,2731076,Chapin Home for the Aging,4098580039,4-09858-0039,4210855,165-01 Chapin Parkway,11432,Not found,Not found,Queens,Not found,98642,Senior Care Community,Senior Care Community,Senior Care Community,98642.0,,,1960,1,100,Whole Building,Whole Building,,,,,,,,,,,,,,,,,,,Not found,2018-03-27T00:00:00.000,Not found,40.714279,-73.801094,408.0,24.0,452.0,Briarwood-Jamaica Hills,,,,,,,,,,,,
535,2813824,Beekman Tenants - 575 Park Avenue,1013970069,1-01397-0069,1042059,575 Park Avenue,10065,Not found,Not found,Manhattan,Not found,202841,Multifamily Housing,Multifamily Housing,Multifamily Housing,202841.0,,,1927,1,100,Whole Building,Whole Building,,,,,,,,,,,,,,,0.0,,,,Not found,2018-03-27T00:00:00.000,Not found,40.765219,-73.968106,108.0,4.0,11402.0,Upper East Side-Carnegie Hill,,,,,,,,,,,,
536,2805722,Cooper/Sheraton - 135-20 39th Street,4049760015,4-04976-0015,4112316,135-20 39th Street,11354,Not found,Not found,Queens,Not found,233230,Hotel,Hotel,Hotel,233230.0,,,1989,1,100,Whole Building,Whole Building,,,,,,,,,,,,,,,,,,,Not found,2018-03-27T00:00:00.000,Not found,,,,,,,,,,,,,,,,,,
537,2813793,Covenant House - 538 10th Avenue,1010500001,1-01050-0001,1080922,538 10th Avenue,10018,Not found,Not found,Manhattan,Not found,110000,Office,Office,Office,110000.0,,,1962,1,100,Whole Building,Whole Building,,,,,,,,,,,,,,,,,,,Not found,2018-03-27T00:00:00.000,Not found,40.758432,-73.996329,104.0,3.0,115.0,Clinton,,,,,,,,,,,,
538,3616164,Penn South,1007520001;1007490001;1007490024;1007470001;1007510001;1007480001,1-00752-0001; 1-00749-0001; 1-00749-0024; 1-00747-0001; 1-00751-0001; 1-00748-0001,,321 Eighth Ave,10001,Not found,Not found,Manhattan,Not found,3151841,Multifamily Housing,"Multifamily Housing, Other",Multifamily Housing,3151841.0,Other,0.0,1960,14,100,Whole Building,Whole Building,74.0,107.3,107.3,96.5,96.5,1.0,0.7,,211423270.8,2114232.7,10586280.2,3102660.9,3102660.9,18252.4,17313.8,938.6,174652.2,55.41,Not found,2018-03-27T00:00:00.000,Not found,40.747116,-73.997178,104.0,3.0,93.0,Hudson Yards-Chelsea-Flatiron-Union Square,81986507.0,,,,3616164.0,Penn South,,,,,,
539,2717193,"JLT Associates, Inc",4041470001,4-04147-0001,4437997,141-07 20th Avenue,11357,Not found,Not found,Queens,Not found,139253,Office,"Non-Refrigerated Warehouse, Office",Office,85826.0,Non-Refrigerated Warehouse,53427.0,1990,1,100,Whole Building,Whole Building,,,,,,,,,,,,,,,,,,,Not found,2018-03-27T00:00:00.000,Not found,40.781675,-73.827292,407.0,19.0,945.0,Whitestone,,,,,,,,,,,,
540,3537823,New York Academy of Medicine,1016080069,1-01608-0069,1051496,1216 Fifth Ave,10029,Not found,Not found,Manhattan,Not found,200000,Office,Office,Office,200000.0,,,1926,1,100,Whole Building,Whole Building,,,,,,,,,,,,,,,,,,,Not found,2018-03-27T00:00:00.000,Not found,40.792101,-73.952174,111.0,8.0,168.0,East Harlem South,,,,,,,,,,,,
541,4411735,New-York Historical Society,1011290029,1-01129-0029,1028816,170 Central Park West,10024-5152,Not found,Not found,Manhattan,Not found,197509,Museum,Museum,Museum,197509.0,,,1938,1,100,Whole Building,Whole Building,,,,,,,,,,,,,,,,,,,Not found,2018-03-27T00:00:00.000,Not found,40.779265,-73.973743,107.0,6.0,161.0,Upper West Side,,,,,,,,,,,,
542,2819133,The Ritz Tower - 465 Park Avenue,1013127502,1-01312-7502,1036922,465 Park Avenue,10022,Not found,Not found,Manhattan,Not found,263259,Multifamily Housing,"Multifamily Housing, Retail Store",Multifamily Housing,217259.0,Retail Store,46000.0,1910,1,100,Whole Building,Whole Building,,,,,,,,,,,,,,,,,,,Not found,2018-03-27T00:00:00.000,Not found,40.761868,-73.970551,105.0,4.0,11203.0,Turtle Bay-East Midtown,,,,,,,,,,,,
543,2612621,Parker Jewish Institute For Health Care & Rehabilitation,4085200175,4-08520-0175,4173982,271-11 76th Ave,110401433,Not found,Not found,Queens,Not found,381993,Senior Care Community,Senior Care Community,Senior Care Community,381993.0,,,1972,1,100,Whole Building,Whole Building,,,,,,,,,,,,,,,,,,,Not found,2018-03-27T00:00:00.000,Not found,40.754094,-73.705976,413.0,23.0,155102.0,Glen Oaks-Floral Park-New Hyde Park,,,,,,,,,,,,
544,4344096,808 West End Avenue LLC,1018710001,1-01871-0001,1056451,808 West End Avenue,10025,Not found,Not found,Manhattan,Not found,107120,Multifamily Housing,Multifamily Housing,Multifamily Housing,107120.0,,,1920,1,100,Whole Building,,74.0,112.4,118.4,81.3,87.4,3.7,0.7,,7330017.0,79988.0,1382530.9,405196.6,399485.9,511.9,389.3,122.6,4094.1,38.22,Not found,2018-03-27T00:00:00.000,Not found,40.797234,-73.971323,107.0,6.0,187.0,Upper West Side,,,,,,,,,,,,
