borough,block,lot,bin,agency,building,rating,current_source_energy_intensity_kbtu_sq_ft,current_total_ghg_emissions_mtco2e,rating_2,source_energy_intensity_kbtu_sq_ft,total_ghg_emissions_mtco2e,address,city,state,zip,gross_sq_ft,year_built,epapmbenchmarkedas,campus_name
5,2040,1,5107298,College of SI Campus: South Admin. Bldg,CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
5,2040,1,5107289,College of SI Campus: Sports & Recr. Cetr.,CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
5,2040,1,5107293,College of SI Campus: Warehouse (Vacant),CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
5,2040,1,5107300,College of SI Campus: West Admin. Bldg,CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
5,2040,1,5130988,College of SI Campus: Pump House,CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
3,266,1,3002555,College of Technology Campus: 111 Livingston St - EOC,CUNY, N/A , 183.5 ,4.9, N/A ,169.2,4.6,, 166.1 ,4.9,,192.6,5.9,Part of campus,College of Technology Campus
3,250,44,3002108,College of Technology Campus: 16 Court Street,CUNY, N/A , 183.5 ,4.9,,169.2,4.6,, 166.1 ,4.9,,192.6,5.9,Part of campus,College of Technology Campus
3,128,1,9999999,College of Technology Campus: Atrium,CUNY, N/A , 183.5 ,4.9,,169.2,4.6,, 166.1 ,4.9,,192.6,5.9,Part of campus,College of Technology Campus
3,86,18,3329429,College of Technology Campus: Environmental Center,CUNY, N/A , 183.5 ,4.9,,169.2,4.6,, 166.1 ,4.9,,192.6,5.9,Part of campus,College of Technology Campus
3,128,26,3000243,College of Technology Campus: General Bldg (Con Edison),CUNY, N/A , 183.5 ,4.9,,169.2,4.6,, 166.1 ,4.9,,192.6,5.9,Part of campus,College of Technology Campus
3,118,6,3335884,College of Technology Campus: Howard Bldg,CUNY, N/A , 183.5 ,4.9,,169.2,4.6,, 166.1 ,4.9,,192.6,5.9,Part of campus,College of Technology Campus
3,86,7501,3000176,College of Technology Campus: Midway Bldg,CUNY, N/A , 183.5 ,4.9,,169.2,4.6,, 166.1 ,4.9,,192.6,5.9,Part of campus,College of Technology Campus
3,128,1,3335891,College of Technology Campus: Namm Hall,CUNY, N/A , 183.5 ,4.9,,169.2,4.6,, 166.1 ,4.9,,192.6,5.9,Part of campus,College of Technology Campus
3,128,1,3855192,College of Technology Campus: Pearl Bldg,CUNY, N/A , 183.5 ,4.9,,169.2,4.6,, 166.1 ,4.9,,192.6,5.9,Part of campus,College of Technology Campus
3,97,2,3000182,College of Technology Campus: Voorhees Bldg,CUNY, N/A , 183.5 ,4.9,,169.2,4.6,, 166.1 ,4.9,,192.6,5.9,Part of campus,College of Technology Campus
1,864,1101,1017097,Graduate Center,CUNY, N/A , 238.1 ,7.7,,233.6,7.5,, 225.1 ,7.1,,234.1,7.7,Individual building,
1,1767,30,1088293,Graduate Center Housing,CUNY, No data ,,,93,80.0,2.6,75, 125.1 ,4.6,72.0,138.9,5.2,Individual building,
1,841,75,1080744,Guttman Community College,CUNY, N/A , 9.6 ,0.7,,159.6,6.8,, 210.5 ,6.9,,247.9,8.4,Individual building,
2,2350,24,2001088,Hostos Community College Campus: Admin. Bldg - G,CUNY, N/A , 174.9 ,5.6,,166.8,5.3,, 163.0 ,5.1,,172.7,5.5,Part of campus,Hostos Community College Campus
2,2346,18,2001038,Hostos Community College Campus: Allied Health & Sciences Bldg - A,CUNY, N/A , 174.9 ,5.6,,166.8,5.3,, 163.0 ,5.1,,172.7,5.5,Part of campus,Hostos Community College Campus
2,2343,32,2001019,Hostos Community College Campus: B  Bldg,CUNY, N/A , 174.9 ,5.6,,166.8,5.3,, 163.0 ,5.1,,172.7,5.5,Part of campus,Hostos Community College Campus
2,2350,16,2001087,Hostos Community College Campus: Carpet Bldg,CUNY, N/A , 174.9 ,5.6,,166.8,5.3,, 163.0 ,5.1,,172.7,5.5,Part of campus,Hostos Community College Campus
1,497,1,1007560,Hostos Community College Campus: CUNY in the Heights,CUNY, N/A , 174.9 ,5.6,,166.8,5.3,, 163.0 ,5.1,,172.7,5.5,Part of campus,Hostos Community College Campus
2,2343,14,2820268,Hostos Community College Campus: East Academic Complex - C,CUNY, N/A , 174.9 ,5.6,,166.8,5.3,, 163.0 ,5.1,,172.7,5.5,Part of campus,Hostos Community College Campus
2,2356,20,2001147,Hostos Community College Campus: Prow Bldg  - CEWD,CUNY, N/A , 174.9 ,5.6,,166.8,5.3,, 163.0 ,5.1,,172.7,5.5,Part of campus,Hostos Community College Campus
2,2350,39,2001091,Hostos Community College Campus: Savoy Bldg - D,CUNY, N/A , 174.9 ,5.6,,166.8,5.3,, 163.0 ,5.1,,172.7,5.5,Part of campus,Hostos Community College Campus
