,propid,boro,community_board,council_district,garden_name,address,size,jurisdiction,neighborhoodname,cross_streets,latitude,longitude,postcode,census_tract,bin,bbl,nta
151,B532,B,B03,,F.A.R.R. Block Association,808 Herkimer Street,0.028,DPR,,Active,40.678383,-73.926777,11233,299.0,3000000,3017090022,Crown Heights North                                                        
152,B462,B,B05,42.0,Family Community Garden - Brooklyn,793 Cleveland Street,0.275,DPR,East New York,Active,40.665184,-73.881518,11208,1120.0,3097072,3043130055,East New York                                                              
153,M330,M,M11,8.0,Family Community Garden - Manhattan,156 East 111th Street,0.04,DPR,East Harlem,Active,40.79527,-73.943572,10029,172.0,1000000,1016380050,East Harlem South                                                          
154,NA,M,M11,8.0,Family Garden,431 East 114th Street,0.057,NYRP,East Harlem,1st & Pleasant Avenues,40.794189,-73.935108,10029,178.0,1000000,1017080017,East Harlem North                                                          
155,X337,X,X01,17.0,Family Group Garden,419 East 158th Street,0.101,DPR,Melrose,Active,40.822053,-73.913995,10451,69.0,2102760,2023800127,Melrose South-Mott Haven North                                             
156,B463,B,B16,41.0,Fantasy Garden,181 Legion Street,0.23,DPR,Brownsville,Active,40.664208,-73.917132,11212,894.0,3000000,3035530021,Brownsville                                                                
157,X252B,X,X06,0.0,Farm in the Bronx,East 182nd Street,0.188,DPR,,Active,,,,,,,
158,B464,B,B16,41.0,Farmers Garden,1897-1905 Bergen Street,0.154,DPR,,Active,40.674381,-73.91832,11233,303.0,3000000,3014460163,Ocean Hill                                                                 
159,M310,M,M03,2.0,Firemens Memorial Garden Inc.,358-364 E 8th Street,0.17,DPR,East Village,Active,40.72447,-73.97791,10009,2602.0,1000000,1003770011,Lower East Side                                                            
160,B465,B,B03,36.0,First Quincy Street GreenThumb Garden,397-401 Quincy Street,0.13,DPR,,Active,40.687717,-73.944139,11221,265.0,3000000,3018050076,Bedford                                                                    
161,M358,M,M03,,First Street Garden,48 East 1st Street,0.061,DPR,,Active,40.72384,-73.989772,10003,3602.0,1000000,1004430053,East Village                                                               
162,B466,B,B05,42.0,First Temple of David,494 Bradford Street,0.062,DPR,East New York,Active,40.666585,-73.890635,11207,1126.0,       ,          ,East New York (Pennsylvania Ave)                                           
163,M291,M,M01,1.0,FishBridge Pk. (South-Water-Front Neigh. Assoc.),338-340 Pearl Street,0.1,DPR,Downtown Manhattan,Active,40.709257,-74.00198,10038,1501.0,1000000,1001060022,Battery Park City-Lower Manhattan                                          
164,NA,M,M10,9.0,Five Star Block Association,250-252 West 121st Street,0.083,TPL,Harlem,Adam Clayton Powell & Fredrick Douglas Blvds,40.807004,-73.951621,10027,220.0,1000000,1019260053,Central Harlem South                                                       
165,B467,B,B05,37.0,Floral Vineyard,2379-2385 Pitkin Avenue,0.107,DPR,East New York,Active,40.673578,-73.884567,11207,1150.0,3000000,3040000031,East New York                                                              
166,X324,X,X07,15.0,Fordham Bedford Lot-Busters,2592-2597 Bainbridge Avenue,0.044,DPR/TPL,,Active,40.863711,-73.892599,10458,39901.0,       ,          ,Bedford Park-Fordham North                                                 
167,X324,X,X07,15.0,Fordham Bedford Lot-Busters,2592-2597 Bainbridge Avenue,0.044,TPL/DPR,,Active,40.863711,-73.892599,10458,39901.0,       ,          ,Bedford Park-Fordham North                                                 
168,M317,M,M09,7.0,Frank White Memorial Garden,506-508 West 143rd Street,0.09,DPR,Hamilton Heights,Active,40.824306,-73.949441,10031,229.0,1000000,1020740045,Hamilton Heights                                                           
169,X318,X,X03,16.0,Franklin Memorial Garden,1060-1062 Cauldwell Avenue,0.12,DPR,Morrisania,Active,40.826309,-73.905603,10456,185.0,       ,          ,Morrisania-Melrose                                                         
170,NA,M,M07,0.0,Frederick Douglass Academy HS,2599 Adam Clayton Powell Jr Boulevard,0.197,DOE,,At W. 147th Street,,,,,,,
171,NA,M,M11,9.0,Friendly Garden,95 East 111th Street,0.076,HPD,East Harlem,At Park Avenue,40.796245,-73.945843,10029,17402.0,1000000,1016170035,East Harlem South                                                          
172,NA,M,M09,7.0,Friendship Garden (Lucille McClarey Garden),499 West 150th Street,0.038,NYRP,Hamilton Heights,,40.828638,-73.945842,10031,237.0,1000000,1020820127,Hamilton Heights                                                           
173,M377,M,M10,,Garden,Fredrick Douglas Blvd. and W. 152ns St,0.046,DPR,,,,,,,,,
174,B420,B,B03,41.0,Garden Beautiful,Corner of Broadway & Putnam Ave.,0.194,DPR,Bed-Stuy,Active,,,,,,,
175,NA,B,B03,41.0,Garden of Angels,978 Greene Avenue,0.057,TPL,Bed-Stuy,Patchen Avenue & Malcolm X Blvd.,40.690966,-73.928771,11221,387.0,3000000,3016220032,Stuyvesant Heights                                                         
176,X297,X,X04,14.0,Garden of Eden - Bronx,1686 Weeks Avenue,0.21,DPR,,Active,40.844045,-73.907616,10457,22902.0,2007362,2027920030,Mount Hope                                                                 
177,X293,X,X06,15.0,Garden of Happiness,2156-2160 Prospect Avenue,0.33,DPR,Crotona,Active,40.848425,-73.885543,10457,371.0,2118275,2031100048,East Tremont                                                               
178,NA,B,B03,36.0,Garden of Hope,392 Hancock Street,0.046,NYRP,,Throop & Marcus Garvey Blvd,40.683685,-73.939967,11216,275.0,3414301,3018410014,Stuyvesant Heights                                                         
179,X298,X,X04,14.0,Garden of Life,1685 Weeks Avenue,0.18,DPR,,Active,40.844009,-73.907641,10457,22902.0,2109796,2027930028,Mount Hope                                                                 
180,M341,M,M10,9.0,Garden of Love,302 West 116th Street,0.087,DPR,Upper West Side,Active,40.804522,-73.955636,10026,20102.0,1000000,1018480055,Central Harlem South                                                       
181,B399,B,B06,38.0,Garden of Union (Annie's Garden),"634-36, 640 Union Street",0.203,DPR,Park Slope,Active,,,,,,,
182,NA,X,X06,15.0,Garden Of Youth,E 182nd Street,NA,PRI,Crotona,At Prospect Avenue,,,,,,,
183,M071A,M,M09,,Garden People,West 91st and Riverside Drive,NA,DPR,,Active,,,,,,,
184,M329,M,M03,2.0,Generation X Cultural Garden,270-272 East 4th Street,0.11,DPR,East Village,Active,40.722906,-73.981662,10009,2601.0,1000000,1003860021,Lower East Side                                                            
185,NA,B,B05,42.0,Genesis Homes Garden,298-304 Snediker Avenue,0.054,DPR,East New York,,40.667834,-73.900611,11207,1134.0,       ,          ,East New York (Pennsylvania Ave)                                           
186,Q488,Q,Q12,28.0,George Eagle Carr Community Garden,148th Street,0.121,DPR,Jamaica,Active,,,,,,,
187,Q489,Q,Q12,27.0,George Washington Carver Botanical Garden,109-13 156th Street,0.057,DPR,,Active,40.692461,-73.794877,11433,260.0,       ,          ,South Jamaica                                                              
188,NA,M,M12,10.0,George Washington High School,549 Audubon Avenue,NA,DOE,Washington Heights,W. 190th St & Ft. George-Amstersam Avenue,40.855954,-73.927051,10040,277.0,1076751,1021600018,Washington Heights North                                                   
189,NA,Q,Q13,0.0,P.S. 251Q,144-51 144th Road,0.138,DOE,Springfield Gardens,Arthur Street,,,,,,,
190,NA,B,B02,0.0,George Westinghouse HS - Marvin's Garden,"105 Johnson Street (Tech), Brooklyn, NY 11201",NA,DOE,Downtown Brooklyn,Jay & Johnson Street,40.694926,-73.986015,11201,13.0,3348041,3001310001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
191,B415,B,B05,42.0,Georgia Avenue Community Garden,328 New Lots Avenue,0.036,DPR,East New York,Active,40.661178,-73.894558,11207,1128.0,3000000,3042970001,East New York (Pennsylvania Ave)                                           
192,B436,B,B16,42.0,Gethsemane Garden,144 Newport Street,0.046,DPR,Brownsville,Active,40.659215,-73.909847,11212,916.0,3082592,3036130028,Brownsville                                                                
193,B468,B,B05,37.0,Glenmore Hendrix Block Assoc.,555 Glenmore Avenue,0.032,DPR,East New York,Active,40.674105,-73.88988,11207,1152.0,3000000,3039780035,East New York                                                              
194,NA,X,X09,,Glover Street Community Garden,"1642 Glover Street, Bronx NY 10462",NA,NYRP,,Intersection of Castle Hill & Glover Street,,,,,,,
195,B469,B,B05,42.0,Good Shepherd's Community Group,555-557 Shepherd Avenue,0.114,DPR,East New York,Active,40.670738,-73.879951,11208,1164.0,3089843,3040530010,East New York                                                              
196,B428,B,B04,,Goodwin Gardens,46 - 62 Goodwin St.,0.348,DPR,,,,,,,,,
197,B470,B,B04,37.0,Granite Street Block Association,28-32 Granite Street,0.172,DPR,Bushwick,Active,40.682511,-73.907811,11207,405.0,3000000,3034610018,Bushwick South                                                             
198,NA,X,X04,16.0,Grant Avenue Garden,1062 Grant Avenue,0.058,TPL,,E. 165th & E. 166th Streets,40.830303,-73.916893,10456,18101.0,2000000,2024480011,East Concourse-Concourse Village                                           
199,B058A,B,B01,33.0,Green Dome,229 North 12th Street,NA,DPR,Greenpoint,Active,40.719516,-73.952969,11211,515.0,       ,          ,North Side-South Side                                                      
200,B471,B,B05,37.0,Green Gems,947-953 Glenmore Avenue,0.494,DPR,East New York,Active,40.676272,-73.875077,11208,1196.0,3000000,3041910047,East New York                                                              
201,NA,B,B06,38.0,Green Space @ President Street,222 5th Avenue,0.045,TPL,Park Slope,At President Street,40.676008,-73.980745,11215,133.0,3000000,3009550049,Park Slope-Gowanus                                                         
202,B472,B,B03,36.0,Greene Avenue United Neighbors Association,490 Greene Avenue,0.046,DPR,,Active,40.688329,-73.951722,11216,243.0,3000000,3017970057,Bedford                                                                    
203,Q045A,Q,Q02,26.0,"LIC Comm. Gardens, Inc.",S/S 49th Avenue./W/O Vernon Boulevard.,0.172,DPR,Long Island City,Active,,,,,,,
204,NA,B,B02,35.0,Greene Garden,2 South Portland Avenue,0.084,TPL,,At DeKalb Avenue,40.689322,-73.975044,11217,33.0,3000000,3020990043,Fort Greene                                                                
205,B484,B,B05,37.0,Gregory's Garden (P.S. 158 Memorial Garden),"444,448 Warwick Avenue",0.057,DPR,East New York,Active,,,,,,,
206,NA,B,B03,,Halsey Ralph and Howard Garden,774 Halsey St.,NA,HPD,,,40.684918,-73.922702,11233,377.0,3039988,3014930001,Stuyvesant Heights                                                         
207,B473,B,B03,36.0,Hancock T & T Block Association,322-324 Hancock Street,0.081,DPR,,Active,40.683344,-73.942924,11216,267.0,3000000,3018400016,Bedford                                                                    
208,B527,B,B05,,Hands & Heart (New Lots Urban Farm),New Lots Avenue,NA,DPR,East New York,Active,,,,,,,
209,X118A,X,X09,18.0,Harding Park Beautification Project,155 Harding Park,1.16,DPR,,Active,40.807736,-73.857874,10473,2.0,       ,          ,Soundview-Castle Hill-Clason Point-Harding Park                            
210,M363,M,M11,9.0,Harlem Rose Garden,4-8 E 129th Street,0.136,DPR,,Active,40.808821,-73.9401,10035,206.0,1000000,1017530168,Central Harlem North-Polo Grounds                                          
211,M297,M,M10,9.0,Harlem Success Garden - P.S. 175/I.S. 275,116 - 122 West 134th Street,0.25,DPR,Harlem,Active,40.813777,-73.942176,10030,226.0,1000000,1019180046,Central Harlem North-Polo Grounds                                          
212,NA,M,M10,21.0,Harlem Village Green,52 W 129th Street,0.046,PRI,Harlem,,40.809753,-73.94231,10027,208.0,1000000,1017260064,Central Harlem North-Polo Grounds                                          
213,NA,B,B03,36.0,Hart Street Community Garden,169-171 Hart Street,0.092,TPL,Bed-Stuy,Tompkins & Throop,40.693662,-73.94457,11206,261.0,3000000,3017680066,Bedford                                                                    
214,B474,B,B03,36.0,Hart to Hart,104-108 Hart Street,0.332,DPR,Bed-Stuy,Active,40.693312,-73.947474,11206,261.0,3000000,3017710020,Bedford                                                                    
215,B400,B,B03,36.0,Hattie Carthan Community Garden,654 Lafayette Avenue/363-365 Clifton Place,0.117,DPR,Bed-Stuy,Active,,,,,,,
216,NA,B,B01,34.0,Heckscher Foundation For Children's Garden,134-136 Scholes Street,0.057,NYRP,Williamsburg,,40.708692,-73.944327,11206,505.0,3000000,3030430013,East Williamsburg                                                          
217,NA,B,B05,42.0,Hendrix Street Community Garden (Block Association of Hendrix Street),532 Hendrix Street,0.023,NYRP,East New York,Blake & Dumont Avenues,40.668485,-73.888314,11207,1160.0,3090008,3040580121,East New York                                                              
218,NA,M,M11,8.0,Herb Garden (111th St. Betterment Association),176 E 111th Street,0.08,NYRP,East Harlem,3rd & Lexington Avenues,40.795069,-73.943106,10029,172.0,1000000,1016380142,East Harlem South                                                          
219,B475,B,B05,37.0,Herbal Garden of East New York,582 - 590 Glenmore Avenue,0.23,DPR,East New York,Active,40.674263,-73.888701,11207,1150.0,3000000,3039960011,East New York                                                              
220,NA,M,M04,0.0,High School For Environmental Studies,444 W 56th Street NY NY 10019,NA,DOE,Midtown,9th & 10th Avenues,40.767791,-73.987531,10019,139.0,1026841,1010650001,Clinton                                                                    
221,B047A,B,B05,37.0,Highland Park Children's Garden,Jamaica Avenue,0.41,DPR,Highland Park,Active,,,,,,,
222,NA,B,B02,35.0,Hollenback Community Garden,460 Washington Avenue,0.158,TPL,Clinton Hill,Gates & Greene Avenue,40.685321,-73.965249,11238,199.0,3000000,3019620069,Clinton Hill                                                               
223,NA,M,M11,8.0,Home Depot Community Garden  (St. Mark's Monastery 1),415-421 East 117th Street,0.163,NYRP,East Harlem,1st Avenue & E 117th St,40.79645,-73.934347,10035,178.0,1000000,1017110008,East Harlem North                                                          
224,M371,M,M03,1.0,Hope Garden,193 East 2nd Street,0.046,DPR,East Village,Active,40.722289,-73.984094,10009,3002.0,1000000,1003970028,East Village                                                               
225,NA,M,M09,7.0,Hope Steven Garden,1656 Amsterdam Avenue,0.062,TPL,Hamilton Heights,142nd St & Hamilton Pl & Amsterdam Avenue,40.823414,-73.94895,10031,229.0,1000000,1020740029,Hamilton Heights                                                           
226,X346,X,X06,15.0,Hornaday Community Garden (Volky Flower Garden),851 Hornaday Avenue,0.115,DPR,,Active,,,,,,,
227,B528,B,B16,41.0,Howard Garden,750 Howard Avenue,0.219,DPR,Brownsville,Active,40.663636,-73.918957,11212,892.0,3000000,3035500043,Brownsville                                                                
228,B413,B,B16,37.0,Hull Street Community Garden Inc.,196 Hull Street,0.32,DPR,Ocean Hill / Brownsville,Active,40.679912,-73.907566,11233,369.0,       ,          ,Ocean Hill                                                                 
229,NA,B,B16,41.0,Hull Street Playground,145 Hull Street,0.057,NYRP,Bed-Stuy,Hopkinson & Rockaway Avenues,40.679465,-73.911615,11233,371.0,3000000,3015330049,Ocean Hill                                                                 
230,M344,M,M11,8.0,Humacao Community Garden,335 E 108th Street,0.11,DPR,East Harlem,Active,40.791109,-73.939592,10029,170.0,1089058,1016800021,East Harlem South                                                          
231,B408,B,B06,39.0,Human Compass Community  Garden Inc.,207-209 Columbia Street,0.073,DPR,Red Hook,Active,40.684958,-74.002726,11231,51.0,3000000,3003360010,Carroll Gardens-Columbia Street-Red Hook                                   
232,NA,M,M12,10.0,I.S. 143 - Penny Harvest Garden,511 & 516 West 182nd Street,0.08,DOE,Washington Heights,Amsterdam Avenue & Audubon Avenue (Fort George),,,,,,,
233,NA,X,X06,15.0,I.S. 193X,1919 Prospect Avenue,0.677,DOE,,,40.843546,-73.889755,10457,36901.0,2094582,2029510032,East Tremont                                                               
234,NA,M,M12,7.0,I.S. 218 - Swindler Cove Garden,Harlem River Drive/Dyckman Street,NA,DOE,Washington Heights,,,,     ,,1000000,1022552000,                                                                           
235,NA,B,B11,0.0,I.S. 227 - Shallow's School Yard Santuaries,6500 16th Avenue & 65th Street,NA,DOE,,Same,,,,,,,
236,NA,B,B05,42.0,I.S. 311 - The Essence School,"800 Van Siclen Avenue, Brooklyn, NY 11207",NA,DOE,,Linden Blvd.,40.66011,-73.885387,11207,1104.0,3097675,3043490050,East New York                                                              
237,NA,B,B12,39.0,I.S. 62 - The Greening of Ditmas,700 Cortelyou Road,NA,DOE,Kensington,East 7th & Ditmas,40.638686,-73.971651,11218,490.0,3126842,3053910001,Kensington-Ocean Parkway                                                   
