,propid,boro,community_board,council_district,garden_name,address,size,jurisdiction,neighborhoodname,cross_streets,latitude,longitude,postcode,census_tract,bin,bbl,nta
323,X342,X,X03,,Model T,1312 Bristow Street.,0.272,DPR,,Active,40.831037,-73.894748,10459,153.0,2126571,2029650199,Crotona Park East                                                          
324,M348,M,M12,7.0,Morris Jumel Community Garden,455-457 W 162nd Street,0.1,DPR,Washington Heights,Active,40.835442,-73.939039,10032,24301.0,1000000,1021100057,Washington Heights South                                                   
325,X275,X,X04,14.0,Mosaic Center (Success Garden),1315-31 Odgen Avenue,0.27,DPR,,Active,,,,,,,
326,NA,B,B03,0.0,Mt. Lebanon Baptist Church,354 Stuyvesant Avenue.,NA,PRI,Bed-Stuy,McDonough (corner) & Macon,40.682591,-73.931996,11233,297.0,3046835,3016700049,Crown Heights North                                                        
327,B514,B,B05,42.0,Nehemiah Ten GreenThumb Block Association,565 Barbey Street,0.275,DPR,East New York,Active,40.668571,-73.886439,11207,1162.0,3000000,3040610018,East New York                                                              
328,NA,X,X01,17.0,Neighborhood Advisory Committee,360-362 E. 151st Street,0.135,TPL,Melrose,Courtlandt & Melrose Avenues,40.817871,-73.918523,10455,65.0,2000000,2023970013,Melrose South-Mott Haven North                                             
329,NA,M,M09,7.0,Senior Citizens Sculpture Garden Park,West 153rd Street,0.406,DEP,Hamilton Heights,Street Nicholas & Amsterdam Avenues,,,,,,,
330,NA,B,B08,36.0,Neighborhood Community Garden,1123 Saint Marks Avenue,0.073,DPR,,Schenectady & Utica Avenues,40.674258,-73.932456,11213,309.0,3000000,3013540080,Crown Heights North                                                        
331,M338,M,M11,8.0,Neighbors of Vega Baja,E. 109th Street,0.072,DPR,East Harlem,Active,,,,,,,
332,M349,M,M10,9.0,New 123rd Street Block Association,"112,114 & 116 W. 123rd Street",0.14,DPR,Harlem,Active,,,,,,,
333,B518,B,B03,41.0,New Age Pride (Victory Garden's Group),953 Gates Avenue,0.057,DPR,Bed-Stuy,Active,40.688836,-73.92789,11221,387.0,3000000,3016320046,Stuyvesant Heights                                                         
334,NA,B,B03,36.0,New Harvest (Vrn/Mrcy/Tmpks B.A.),"125,123,121 Vernon Avenue",0.138,HPD,Bed-Stuy,,,,,,,,
335,X241,X,X02,18.0,New Hoe Avenue Garden,958 New Hoe Avenue,0.23,DPR,,Active,,,,,,,
336,B449,B,B05,42.0,New Vision Garden,590-594 Schenck Avenue.,0.321,DPR,East New York,Active,40.666227,-73.886797,11207,1124.0,3414689,3040750140,East New York                                                              
337,B513,B,B16,42.0,Newport Gardens,823 Rockaway Avenue,0.138,DPR,Brownsville,Active,40.659785,-73.908199,11212,916.0,3000000,3036030007,Brownsville                                                                
338,NA,B,B01,0.0,Nicks Garden,Lorimer and Bayard Streets,NA,DPR,,,,,,,,,
339,X273,X,X03,15.0,North LUBAs Community Rock Garden,1665 Longfellow Avenue,NA,DPR,,Active,40.834816,-73.885082,10460,161.0,2010886,2030020047,Crotona Park East                                                          
340,NA,B,B01,33.0,Northside Community Garden,599 Driggs Avenue,0.034,TPL,Williamsburg,c/o Driggs & N. 5th Street,40.716007,-73.957527,11211,519.0,3000000,3023370001,North Side-South Side                                                      
341,NA,M,M04,3.0,Oasis Community Garden (Hellâs Kitchen),511-519 W. 52nd Street,0.115,HPD,Hell's Kitchen,10th & 11th Avenue,40.766411,-73.991989,10019,135.0,1087777,1010817502,Clinton                                                                    
342,B425,B,B01,34.0,Olive Garden,21-25 Olive Street,0.179,DPR,,Active,40.713243,-73.938822,11211,481.0,3000000,3029200033,East Williamsburg                                                          
343,M321A,M,M03,2.0,Open Road Park (LES),404-16 East 12th Street,0.459,DPR,East Village,Active,40.729801,-73.983057,10009,34.0,1000000,1004390010,East Village                                                               
344,M354,M,M03,2.0,Orchard Alley,350-54 East 4th Street,0.224,DPR,East Village,Active,40.721472,-73.978275,10009,2601.0,1000000,1003730027,Lower East Side                                                            
345,B024,B,B01,,Orient Grove,Metropolitan Ave. and Orient Ave.,0.149,DPR,,,,,,,,,
346,B521,B,B05,37.0,Oriental Garden,369-371 Barbey Street & 326-328 Jerome St,0.188,DPR,East New York,Active,40.673773,-73.887768,11207,1150.0,       ,          ,East New York                                                              
347,M365,M,M10,9.0,Our Little Green Acre,275-277 West 122nd Street,0.052,DPR,,Active,40.807872,-73.951693,10027,222.0,1000000,1019280105,Central Harlem South                                                       
348,NA,X,X07,10.0,P.S. / M.S. 20,3050 Webster Avenue,0.008,DOE,,East 220 & Mosholu Prky,40.870002,-73.878875,10467,425.0,2086851,2033300001,Norwood                                                                    
349,NA,B,B06,39.0,P.S. 107 - Rainbow Garden,1301 8th Avenue,0.023,DOE,,,40.663251,-73.981289,11215,167.0,3026517,3011010001,Park Slope-Gowanus                                                         
350,NA,M,M04,0.0,P.S. 11,320 West 21st Street  NY NY 10011,NA,DOE,Chelsey,8th & 9th Avenue,40.744349,-74.000253,10011,89.0,1013260,1007440024,Hudson Yards-Chelsea-Flatiron-Union Square                                 
351,NA,M,M04,3.0,P.S. 111,440 W. 53rd Street,NA,DOE,Hell's Kitchen,,40.765878,-73.988823,10019,133.0,1026740,1010620003,Clinton                                                                    
352,NA,M,M12,10.0,P.S. 115M,586 W. 177th Street,0.161,DOE,,,40.846542,-73.935205,10033,261.0,1063228,1021330040,Washington Heights South                                                   
353,NA,B,B18,45.0,P.S. 119,3829 Avenue K,NA,DOE,,,40.625662,-73.938265,11210,734.0,3215816,3077860001,Flatlands                                                                  
354,NA,Q,Q07,20.0,P.S. 120Q - Millenium Garden,58-01 136th Street,0.01,DOE,Flushing,58th & 59th Streets,40.745526,-73.829309,11355,80301.0,4139491,4063730001,Queensboro Hill                                                            
355,NA,B,B16,41.0,P.S. 137,121 Saratoga Avenue,0.735,DOE,Bed-Stuy,,40.682458,-73.917088,11233,373.0,3040878,3015100001,Ocean Hill                                                                 
356,NA,X,X09,18.0,P.S. 138X,2060 Lafayette Avenue,1.345,DOE,,,40.822665,-73.853366,10473,74.0,2022289,2036090016,Soundview-Castle Hill-Clason Point-Harding Park                            
