record_number,nyc_borough_block_and_lot_bbl,co_reported_bbl_status,bbls_co_reported,reported_nyc_building_identification_numbers_bins,street_number,street_name,borough,zip_code,bbl_on_the_covered_buildings_list,dof_benchmarking_submission_status,site_eui_kbtu_ft2,weather_normalized_site_eui_kbtu_ft2,source_eui_kbtu_ft2,weather_normalized_source_eui_kbtu_ft2,municipally_supplied_potable_water_indoor_intensity_gal_ft,automatic_water_benchmarking_eligible,reported_water_method,energy_star_score,total_ghg_emissions_mtco2e,direct_ghg_emissions_mtco2e,indirect_ghg_emissions_mtco2e,reported_property_floor_area_building_s_ft,dof_property_floor_area_buildngs_and_parking_ft2,primary_property_type_self_selected,dof_number_of_buildings,latitude,longitude,community_board,council_district,census_tract,bin,nta
2383991.0,1014247501,,,1072223,233,EAST   69 STREET    ,MANHATTAN,10021.0,Yes,In Compliance ,154.6,146.8,242.2,233.2,Not Available,No,None,2,1495.7,36.8,1458.9,140000,227713,Multifamily Housing,1,40.767258,-73.960675,8.0,4.0,126.0,1072223.0,Lenox Hill-Roosevelt Island                                                
2384018.0,1013907502,,,1076779,32,EAST   76 STREET    ,MANHATTAN,10021.0,Yes,In Compliance ,20.1,19.3,34.8,34,Not Available,No,None,100,234,133.4,100.6,185127,61407,Multifamily Housing,1,40.774253,-73.963296,8.0,4.0,130.0,1076779.0,Upper East Side-Carnegie Hill                                              
2384020.0,1006090001,,,1010632,41,   7 AVENUE         ,MANHATTAN,10011.0,Yes,In Compliance ,85.2,85.1,132.8,132.5,Not Available,No,None,Not Available,852.2,17.7,834.5,144776,137882,Multifamily Housing,1,40.737965,-74.000101,2.0,3.0,71.0,1010632.0,West Village                                                               
2384128.0,1014870039,,,1046307,520,EAST   76 STREET    ,MANHATTAN,10021.0,Yes,In Compliance ,134.5,Not Available,186.8,Not Available,Not Available,No,None,10,887.5,715.9,171.6,86786,81000,Multifamily Housing,1,40.769146,-73.95117900000001,8.0,5.0,132.0,1046307.0,Lenox Hill-Roosevelt Island                                                
2384164.0,1015187501,,,1048139,120,EAST   90 STREET    ,MANHATTAN,10128.0,Yes,In Compliance ,96.8,95.7,173,169.8,Not Available,No,None,25,644.9,390.7,254.2,86892,98516,Multifamily Housing,1,40.782344,-73.954419,8.0,4.0,14802.0,1048139.0,Upper East Side-Carnegie Hill                                              
2384168.0,1013780048,,,1041044,721,MADISON AVENUE      ,MANHATTAN,10065.0,Yes,In Compliance ,77.8,Not Available,154.1,Not Available,Not Available,No,None,4,712.3,369.2,343.1,116779,106163,Multifamily Housing,1,40.766424,-73.96933299999999,8.0,4.0,122.0,1041044.0,Upper East Side-Carnegie Hill                                              
2384169.0,1008670033,,,1017205,31,EAST   37 STREET    ,MANHATTAN,10016.0,Yes,In Compliance ,65.4,Not Available,102.5,Not Available,Not Available,No,None,78,669.2,478.4,190.9,134565,127089,Multifamily Housing,1,40.749511,-73.981178,6.0,4.0,82.0,1017205.0,Murray Hill-Kips Bay                                                       
2384172.0,1015100030,,,1047567,163,EAST   81 STREET    ,MANHATTAN,10028.0,Yes,In Compliance ,76.3,Not Available,103.3,Not Available,Not Available,Yes,None,77,378.3,311.4,66.9,65721,59149,Multifamily Housing,1,40.776005,-73.957265,8.0,5.0,140.0,1047567.0,Upper East Side-Carnegie Hill                                              
2386047.0,4064010019,,,4861615,   139-22,BOOTH MEMORIAL AVE  ,QUEENS,11355.0,Yes,In Compliance ,253.1,253.9,549.8,552.2,Not Available,No,None,9,3005.7,1069.9,1935.8,171780,164873,Hospital (General Medical & Surgical),1,,,,,,,
2386534.0,1015320022,,,1048799,1659,   2 AVENUE         ,MANHATTAN,10028.0,Yes,In Compliance ,80.8,78.5,129.7,127.5,Not Available,Yes,None,53,1563.2,999.4,563.8,316892,363389,Multifamily Housing,1,40.777978999999995,-73.951678,8.0,5.0,14602.0,1048799.0,Yorkville                                                                  
