record_number,nyc_borough_block_and_lot_bbl,co_reported_bbl_status,bbls_co_reported,reported_nyc_building_identificaiton_numbers_bins,street_number,street_name,borough,zip_code,dof_benchmarking_submission_status,site_eui_kbtu_ft2,weather_normalized_site_eui_kbtu_ft2,source_eui_kbtu_ft2,weather_normalized_source_eui_kbtu_ft2,municipally_supplied_potable_water_indoor_intensity_gal_ft,automatic_water_benchmarking_eligible,reported_water_method,energy_star_score,total_ghg_emissions_mtco2e,direct_ghg_emissions_mtco2e,indirect_ghg_emissions_mtco2e,reported_property_floor_area_building_s_ft,dof_property_floor_area_buildngs_and_parking_ft2,primary_property_type_self_selected,dof_number_of_buildings,latitude,longitude,community_board,community_council,census_tract,bin,nta
777,1006207501.0,,1006207501,1011185,534,HUDSON STREET,Manhattan,10014.0,Filed,71.6,71.3,175.9,175.3,Not Available,No,None,Not Available,359.4,86.5,272.9,69617,63288.0,Multifamily Housing,1.0,40.734272999999995,-74.00619499999999,2.0,3.0,73.0,1011185.0,West Village                                                               
776,1006200019.0,,1-00620-0019,1011189,350,BLEECKER STREET,Manhattan,10014.0,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,407.9,224.4,183.5,Not Available,92998.0,Multifamily Housing,1.0,40.734106,-74.004601,2.0,3.0,73.0,1011189.0,West Village                                                               
778,1006240001.0,,1-00624-0001,1011368,771,GREENWICH STREET,Manhattan,10014.0,Filed,68.7,68.7,128.4,128.4,Not Available,No,None,Not Available,464.2,233.6,230.6,105320,90450.0,Multifamily Housing,1.0,40.736509999999996,-74.00659300000001,2.0,3.0,79.0,1011368.0,West Village                                                               
780,1006247504.0,,1006247504,1011377,419,BLEECKER STREET,Manhattan,10014.0,Filed,63.3,63.2,139.7,139.4,52.97,Yes,ABS,Not Available,299.3,103.4,195.9,68800,79065.0,Multifamily Housing,1.0,40.736661,-74.00532199999999,2.0,3.0,77.0,1011377.0,West Village                                                               
817,1006910043.0,,1-00691-0043,1012290,516,WEST   20 STREET,Manhattan,10011.0,Filed,159.4,159.2,244,243.8,Not Available,No,None,Not Available,115.9,84.6,31.3,10000,61184.0,Retail Store,1.0,40.746213,-74.006493,4.0,3.0,99.0,1012290.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
781,1006257501.0,,1-00625-7501,1011455,299,WEST   12 STREET,Manhattan,10014.0,Filed,756.3,756.9,839.1,839.3,Not Available,No,None,Not Available,5547.7,5305.4,242.3,132846,159790.0,Multifamily Housing,1.0,40.737556,-74.005041,2.0,3.0,77.0,1011455.0,West Village                                                               
782,1006260012.0,,1-00626-0012,1011645,631,HUDSON STREET,Manhattan,10014.0,Filed,70.8,70.3,109.5,108.8,Not Available,Yes,ABS,Not Available,1495.3,1094.2,401.1,277188,262297.0,Multifamily Housing,1.0,40.738521999999996,-74.005543,2.0,3.0,79.0,1011645.0,West Village                                                               
784,1006280017.0,,1-00628-0017,1011690,652,HUDSON STREET,Manhattan,10014.0,Filed,89,88.8,177.8,177.3,Not Available,No,None,Not Available,354.5,171.9,182.6,54950,50962.0,Multifamily Housing,1.0,40.739502,-74.00536600000001,2.0,3.0,77.0,1011690.0,West Village                                                               
786,1006297503.0,,1-00629-7503,1011692,345,WEST   13 STREET,Manhattan,10014.0,Filed,70.6,69.8,175.5,173.9,Not Available,No,None,Not Available,640.7,146.8,493.9,125185,126230.0,Multifamily Housing,3.0,40.739881,-74.004929,2.0,3.0,77.0,1011692.0,West Village                                                               
785,1006290044.0,,1-00629-0044,1011714,305,WEST   13 STREET,Manhattan,10014.0,Filed,93.3,92.5,130.5,129.2,Not Available,No,None,Not Available,536.8,431.6,105.2,76125,56508.0,Multifamily Housing,1.0,40.739191999999996,-74.003316,2.0,3.0,77.0,1011714.0,West Village                                                               
787,1006310001.0,,1-00631-0001,1011743,669,WASHINGTON STREET,Manhattan,10014.0,Filed,38.7,38.6,78.1,77.9,Not Available,No,None,Not Available,428.1,215.4,212.7,142546,137589.0,Multifamily Housing,1.0,40.733565000000006,-74.00853000000001,2.0,3.0,75.0,1011743.0,West Village                                                               
788,1006310030.0,,1006310030,1011753,697,GREENWICH STREET,Manhattan,10014.0,Filed,115.6,114.6,178,176,54.35,No,Manual,Not Available,353.5,240.6,112.9,51200,51200.0,Multifamily Housing,1.0,40.733694,-74.007307,2.0,3.0,75.0,1011753.0,West Village                                                               
789,1006317502.0,,1-00631-7502,1011761,677,WASHINGTON STREET,Manhattan,10014.0,Filed,121.2,120.9,211,210.8,Not Available,Yes,None,Not Available,723.2,411.6,311.6,95573,95573.0,Multifamily Housing,1.0,40.733806,-74.008505,2.0,3.0,75.0,1011761.0,West Village                                                               
790,1006320017.0,,1-00632-0017,1011843,726,GREENWICH STREET,Manhattan,10014.0,Filed,64.5,64.1,102.2,101.9,27.25,Yes,ABS,Not Available,601.6,399.4,202.2,149324,141000.0,Multifamily Housing,1.0,40.734737,-74.007062,2.0,3.0,75.0,1011843.0,West Village                                                               
791,1006340047.0,,1006340047,1011908,337,WEST   11 STREET,Manhattan,10014.0,Filed,84.5,83.7,142.4,140.5,45.29,Yes,None,Not Available,278.9,167.1,111.8,53500,53500.0,Multifamily Housing,1.0,40.735588,-74.00784499999999,2.0,3.0,75.0,1011908.0,West Village                                                               
792,1006360022.0,,1-00636-0022,1011980,650,WASHINGTON STREET,Manhattan,10014.0,Filed,85.1,Not Available,125.1,Not Available,Not Available,No,None,Not Available,1060.4,814.5,245.9,165435,165436.0,Multifamily Housing,1.0,40.732824,-74.008627,2.0,3.0,75.0,1011980.0,West Village                                                               
794,1006370081.0,,1006370081,1012011,167,PERRY STREET,Manhattan,10014.0,Filed,79.2,78.7,139.2,138.3,Not Available,Yes,ABS,Not Available,297.8,166.8,131,60000,60000.0,Multifamily Housing,1.0,40.73469,-74.009371,2.0,3.0,75.0,1012011.0,West Village                                                               
798,1006380001.0,,1-00638-0001,1012044,427,WEST STREET,Manhattan,10014.0,Filed,88,85.6,144.8,141.9,Not Available,No,None,Not Available,305.6,189.6,116,56820,69755.0,Multifamily Housing,1.0,40.735412,-74.010082,2.0,3.0,75.0,1012044.0,West Village                                                               
803,1006407501.0,,1-00640-7501,1012048,400,WEST   12 STREET,Manhattan,10014.0,Filed,45.4,45.3,110.8,110.6,Not Available,Yes,None,Not Available,687.2,170.4,516.8,210440,191094.0,Multifamily Housing,8.0,40.737556,-74.009573,2.0,3.0,79.0,1012048.0,West Village                                                               
801,1006400012.0,,1-00640-0012,1012049,380,WEST   12 STREET,Manhattan,10014.0,Filed,56.4,56,102.1,101.1,Not Available,No,Manual,Not Available,409.9,218.7,191.2,114651,100320.0,Multifamily Housing,1.0,40.73755,-74.008769,2.0,3.0,79.0,1012049.0,West Village                                                               
804,1006410010.0,,1006410010,1012075,128,JANE STREET,Manhattan,10014.0,Filed,77.4,76.9,131.9,131,26.67,Yes,ABS,Not Available,243.5,143.4,100.1,50820,50820.0,Multifamily Housing,1.0,40.738137,-74.009047,2.0,3.0,79.0,1012075.0,West Village                                                               
806,1006420004.0,,1006420004,1012126,114,HORATIO STREET,Manhattan,10014.0,Filed,39.5,39.5,61.6,61.6,Not Available,No,Manual,Not Available,263.5,175.9,87.6,111280,85030.0,Multifamily Housing,1.0,40.738735999999996,-74.009061,2.0,3.0,79.0,,West Village                                                               
808,1006430001.0,,1-00643-0001,1012154,521,WEST STREET,Manhattan,10014.0,Filed,77.7,77.1,155,153.7,Not Available,No,None,Not Available,1840.4,814.5,1025.9,358600,389376.0,Multifamily Housing,1.0,40.738771,-74.009866,2.0,3.0,79.0,1012154.0,West Village                                                               
14897,1006430027.0,,1-00643-0027,1012155,,,Manhattan,,Not on Covered Buildings List,18.1,17.9,52.3,51.8,Not Available,,None,Not Available,115.6,9.9,105.7,81400,,Multifamily Housing,,,,,,,,
813,1006870029.0,,1-00687-0029,1012277,85,10 AVENUE,Manhattan,10011.0,Filed,242.1,242,687.3,687.3,31.82,Yes,ABS,1,11322.9,1121.9,10201,605100,540299.0,Office,1.0,40.743059,-74.00754599999999,4.0,3.0,99.0,1012277.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
814,1006887501.0,,1-00688-7501,1012278,99,10 AVENUE,Manhattan,10011.0,Filed,118.6,118.4,332.3,332,Not Available,No,None,Not Available,3911.7,439.1,3472.6,429510,708000.0,Office,1.0,40.743596999999994,-74.00715600000001,4.0,3.0,99.0,1012278.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
815,1006900012.0,,1006900012,1012280,555,WEST   18 STREET,Manhattan,10011.0,Filed,136.8,136.3,306.2,305.6,17.96,No,Manual,42,1651.6,546.7,1104.9,174611,195000.0,Office,1.0,40.745134,-74.007525,4.0,3.0,99.0,1012280.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
816,1006907501.0,,1-00690-7501,1012282,520,WEST   19 STREET,Manhattan,10011.0,Filed,58.4,58.4,125.6,125.7,Not Available,No,None,Not Available,233,86,147,58690,73107.0,Multifamily Housing,1.0,40.745601,-74.006853,4.0,3.0,99.0,1012282.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
819,1006920015.0,,1006920015,1012294,529,WEST   20 STREET,Manhattan,10011.0,Filed,39.4,39.3,93.1,92.8,10,No,Manual,Not Available,345.3,118.8,226.5,111329,111329.0,Other,1.0,40.746295,-74.006644,4.0,3.0,99.0,1012294.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
820,1006920019.0,,1006920019,1012295,525,WEST   20 STREET,Manhattan,10011.0,Filed,56,55,169.6,166.3,3.05,Yes,None,7,423.3,15.2,408.1,94622,94622.0,Non-Refrigerated Warehouse,1.0,40.74627,-74.00659,4.0,3.0,99.0,1012295.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
821,1006920023.0,,1006920023,1012296,513,WEST   20 STREET,Manhattan,10011.0,Filed,39.5,39.3,106.1,105.5,35.37,Yes,None,Not Available,233.4,46.1,187.3,74040,83240.0,Other,1.0,40.746202000000004,-74.006428,4.0,3.0,99.0,1012296.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
822,1006920041.0,,1-00692-0041,1012299,510,WEST   21 STREET,Manhattan,10011.0,Filed,16.2,Not Available,29.4,Not Available,0.44,Yes,None,Not Available,143.2,85.8,57.4,115123,124385.0,Self-Storage Facility,1.0,40.746767,-74.00599100000001,4.0,3.0,99.0,1012299.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
823,1006930014.0,,1-00693-0014,1012309,531,WEST   21 STREET,Manhattan,10011.0,Filed,18.2,Not Available,44.4,Not Available,Not Available,No,Manual,Not Available,117.4,29.1,88.3,89628,91591.0,Self-Storage Facility,1.0,40.746918,-74.00630100000001,4.0,3.0,99.0,1012309.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
827,1006947501.0,,1-00694-7501,1012329,525,WEST   22 STREET,Manhattan,10011.0,Filed,49.8,49.7,100.5,100.3,Not Available,No,None,Not Available,373.6,161,212.6,113358,88686.0,Multifamily Housing,1.0,40.747459,-74.005673,4.0,3.0,99.0,1012329.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
825,1006940042.0,,1-00694-0042,1012335,520,WEST   23 STREET,Manhattan,10011.0,Filed,78.9,78.5,147.8,146.9,Not Available,Yes,None,Not Available,517.1,259.4,257.7,102033,95656.0,Multifamily Housing,1.0,40.748129,-74.00523299999999,4.0,3.0,99.0,1012335.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
826,1006940047.0,,1-00694-0047,1012336,524,WEST   23 STREET,Manhattan,10011.0,Filed,44.6,44.2,80.4,79.9,Not Available,No,None,Not Available,371.9,199.3,172.6,131835,141934.0,Self-Storage Facility,1.0,40.748159,-74.005305,4.0,3.0,99.0,1012336.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
829,1006957503.0,,1006957503,1012345,555,WEST   23 STREET,Manhattan,10011.0,Filed,88.3,88.3,159.7,159.9,31.32,Yes,ABS,Not Available,1736.7,926,810.7,310612,298794.0,Multifamily Housing,1.0,40.7484,-74.005836,4.0,3.0,99.0,1012345.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
828,1006950015.0,,1-00695-0015,1012347,527,WEST   23 STREET,Manhattan,10011.0,Filed,94.3,93.5,160.2,158.8,Not Available,No,Manual,Not Available,1866,1104.5,761.5,319793,300000.0,Multifamily Housing,1.0,40.748175,-74.005302,4.0,3.0,99.0,1012347.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
15617,3005830001.0,,3005830001,3008671,,,Brooklyn,,Not on Covered Buildings List,150.2,150.3,168.2,168.4,Not Available,,None,Not Available,614.1,583.2,30.9,75677,,Manufacturing/Industrial Plant,,,,,,,,
833,1006960065.0,,1006960065,1012378,210,11 AVENUE,Manhattan,10001.0,Filed,76.1,75.6,129.7,129.4,17.17,No,Manual,Not Available,629.1,411,218.1,108000,108081.0,Office,1.0,40.74986,-74.006291,4.0,3.0,99.0,1012378.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
835,1006970031.0,,1-00697-0031,1012384,259,10 AVENUE,Manhattan,10001.0,Filed,77.1,76.9,182.6,182.5,11.71,No,Manual,45,1175.3,323.8,851.5,215000,214780.0,K-12 School,1.0,40.749065,-74.00318299999999,4.0,3.0,99.0,1012384.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
14903,1006980054.0,,1-00698-0054,1012398;1012399;1012400,,,Manhattan,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,,None,Not Available,,,,83349,,Other - Entertainment/Public Assembly,,,,,,,,
842,1006990033.0,,1-00699-0033,1012415,303,10 AVENUE,Manhattan,10001.0,Filed,67.8,67.4,129.8,128.8,Not Available,Yes,ABS,Not Available,395.5,190.3,205.2,90044,101000.0,Multifamily Housing,1.0,40.750492,-74.00214,4.0,3.0,99.0,1012415.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
846,1007060020.0,,1007060020,1012472,509,WEST   34 STREET,Manhattan,10001.0,Filed,77.5,76,147.8,146.2,Not Available,Yes,None,Not Available,375.9,181.8,194.1,75000,100630.0,Office,1.0,40.754946999999994,-73.999978,4.0,3.0,99.0,1012472.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
847,1007080031.0,,1-00708-0031,1012493,469,10 AVENUE,Manhattan,10018.0,Filed,45.1,44.8,141.5,140.3,Not Available,No,None,91,946.6,2.1,944.5,257793,241508.0,Office,1.0,40.755967999999996,-73.99815600000001,4.0,3.0,99.0,1012493.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
849,1007120029.0,,1007120029,1012535,47,9 AVENUE,Manhattan,10011.0,Filed,121.7,121.6,353.9,353.9,31.89,No,Manual,23,592,44.3,547.7,62199,53186.0,Office,1.0,40.741071999999996,-74.005287,4.0,3.0,83.0,1012535.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
851,1007130001.0,,1007130001,1012541,401,WEST   15 STREET,Manhattan,10011.0,Filed,122.7,122.6,305.9,306,Not Available,No,Manual,Not Available,9924,2242.2,7681.8,1114087,1100533.0,Office,1.0,40.74184,-74.005308,4.0,3.0,83.0,1012541.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
856,1007167501.0,,1-00716-7501,1012565,444,WEST   19 STREET,Manhattan,10011.0,Filed,71,69.8,154.3,152.1,28.47,Yes,ABS,Not Available,245.4,88.1,157.3,50652,52646.0,Multifamily Housing,1.0,40.744695,-74.004706,4.0,3.0,89.0,1012565.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
852,1007140031.0,Primary,1007140031;1007150010;1007160017;1007170019,1012576;1078408;1078409;1078410;1078411;1078418;1078419;1078420;1078443;1078444;1078445;1087110,430,WEST   17 STREET,Manhattan,10011.0,Filed,137.7,137.2,219.5,218.9,Not Available,No,None,Not Available,11056.6,188.3,10868.3,932450,298470.0,Multifamily Housing,4.0,40.74343,-74.005337,4.0,3.0,83.0,1078410.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
854,1007150010.0,Secondary,1007140031;1007150010;1007160017;1007170019,1012576;1078408;1078409;1078410;1078411;1078418;1078419;1078420;1078443;1078444;1078445;1087110,427,WEST   17 STREET,Manhattan,10011.0,Filed,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,253070.0,,3.0,40.743361,-74.005128,4.0,3.0,83.0,1078420.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
855,1007160017.0,Secondary,1007140031;1007150010;1007160017;1007170019,1012576;1078408;1078409;1078410;1078411;1078418;1078419;1078420;1078443;1078444;1078445;1087110,401,WEST   18 STREET,Manhattan,10011.0,Filed,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,253070.0,,3.0,40.743474,-74.003576,4.0,3.0,89.0,1078443.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
880,1007310060.0,,1-00731-0060,1012853,430,WEST   34 STREET,Manhattan,10001.0,Filed,92.4,92.5,131.9,132,Not Available,Yes,None,Not Available,801.9,633.4,168.5,114778,108402.0,Multifamily Housing,1.0,40.753816,-73.997354,4.0,3.0,103.0,1012853.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
14908,1007170019.0,Secondary,1007140031;1007150010;1007160017;1007170019,1012576;1078408;1078409;1078410;1078411;1078418;1078419;1078420;1078443;1078444;1078445;1087110,,,Manhattan,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,,,,,,,,
860,1007190020.0,,1-00719-0020,1012626,433,WEST   21 STREET,Manhattan,10011.0,Filed,101.8,100.9,137.5,136.3,49.61,Yes,ABS,Not Available,379.3,301.6,77.7,65235,63956.0,Multifamily Housing,1.0,40.745667,-74.003338,4.0,3.0,89.0,1012626.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
12128,1072007501.0,,1-07200-7501,1012691,,,Manhattan,,BBL not valid,686.9,685.3,1179.1,1174,269.3,,,Not Available,322.2,187.6,134.6,7554,,Multifamily Housing,,,,,,,,
864,1007227501.0,,1-00722-7501,1012810;1087713,420,WEST   25 STREET,Manhattan,10001.0,Filed,77.7,76.7,168.4,166.3,Not Available,No,None,Not Available,501.1,181.2,319.9,94597,97500.0,Multifamily Housing,1.0,40.74811,-74.001223,4.0,3.0,93.0,1087713.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
14630,4107410184.0,,,,93-45,222 STREET,Queens,11428.0,No Submission Matched to BBL,,,,,,No,None,,,,,,76800.0,,1.0,,,,,,,
868,1007237501.0,,1-00723-7501,1012826,263,9 AVENUE,Manhattan,10001.0,Filed,68.7,68.1,141.6,140.2,Not Available,No,Manual,Not Available,439.4,180.3,259.1,95844,97563.0,Multifamily Housing,1.0,40.748178,-74.000112,4.0,3.0,93.0,1012826.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
871,1007240010.0,,1007240010,1012827,441,WEST   26 STREET,Manhattan,10001.0,Filed,22.6,22.6,66.6,66.7,Not Available,Yes,None,Not Available,234.6,14.2,220.4,131916,108426.0,Multifamily Housing,1.0,40.749196000000005,-74.00181500000001,4.0,3.0,97.0,1012827.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
865,1007230001.0,Primary,1007230001;1007240001;1007240015,1012828;1083578;1083579;1083582;1083583,264,10 AVENUE,Manhattan,10001.0,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,,1157,515848,325140.0,Multifamily Housing,2.0,40.749095000000004,-74.003136,4.0,3.0,93.0,1083578.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
869,1007240001.0,Secondary,1007230001;1007240001;1007240015,1012828;1083578;1083579;1083582;1083583,278,10 AVENUE,Manhattan,10001.0,Filed,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,159200.0,,2.0,40.749787,-74.00263100000001,4.0,3.0,97.0,,Hudson Yards-Chelsea-Flatiron-Union Square                                 
873,1007240015.0,Secondary,1007230001;1007240001;1007240015,1012828;1083578;1083579;1083582;1083583,427,WEST   26 STREET,Manhattan,10001.0,Filed,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,187330.0,,1.0,40.749056,-74.00148,4.0,3.0,97.0,1012828.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
872,1007240010.0,Primary,1007240010;1007230001;1007240001;1007240015,1012828;1083578;1083579;1083582;1083583;1012827,441,WEST   26 STREET,Manhattan,10001.0,Filed,36.6,36.6,38.4,38.4,Not Available,Yes,None,Not Available,1258.1,1258.1,0,647764,108426.0,Multifamily Housing,1.0,40.749196000000005,-74.00181500000001,4.0,3.0,97.0,1012827.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
866,1007230001.0,Secondary,1007240010;1007230001;1007240001;1007240015,1012828;1083578;1083579;1083582;1083583;1012827,264,10 AVENUE,Manhattan,10001.0,Filed,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,325140.0,,2.0,40.749095000000004,-74.003136,4.0,3.0,93.0,1083578.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
870,1007240001.0,Secondary,1007240010;1007230001;1007240001;1007240015,1012828;1083578;1083579;1083582;1083583;1012827,278,10 AVENUE,Manhattan,10001.0,Filed,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,159200.0,,2.0,40.749787,-74.00263100000001,4.0,3.0,97.0,,Hudson Yards-Chelsea-Flatiron-Union Square                                 
874,1007240015.0,Secondary,1007240010;1007230001;1007240001;1007240015,1012828;1083578;1083579;1083582;1083583;1012827,427,WEST   26 STREET,Manhattan,10001.0,Filed,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,187330.0,,1.0,40.749056,-74.00148,4.0,3.0,97.0,1012828.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
875,1007280042.0,,1-00728-0042,1012834,406,WEST   31 STREET,Manhattan,10001.0,Filed,116.6,Not Available,205.4,Not Available,64.19,Yes,None,41,2568.1,1437.3,1130.8,350000,324885.0,Residence Hall/Dormitory,1.0,40.751672,-73.998141,4.0,3.0,103.0,1012834.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
876,1007280060.0,,1007280060,1012836,442,WEST   31 STREET,Manhattan,10001.0,Filed,63.1,Not Available,124.1,Not Available,Not Available,No,None,91,463.4,210.8,252.6,112146,112146.0,Office,1.0,40.752320000000005,-73.99969,4.0,3.0,103.0,1012836.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
14910,1007297501.0,,1007297501,1012841,,,Manhattan,,Not on Covered Buildings List,66.4,Not Available,166.3,Not Available,Not Available,,None,85,1088.9,300.8,788.1,208000,,Office,,,,,,,,
881,1007310065.0,,1007310065,1012854,440,WEST   34 STREET,Manhattan,10001.0,Filed,17.2,17.2,51,51.1,Not Available,Yes,None,Not Available,161.9,8.8,153.1,119194,119194.0,Multifamily Housing,1.0,40.754022,-73.997842,4.0,3.0,103.0,1012854.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
882,1007320007.0,,1007320007,1012857,455,WEST   34 STREET,Manhattan,10001.0,Filed,108.2,108.2,154.6,154.6,Not Available,Yes,None,Not Available,796.2,627.7,168.5,97857,97867.0,Multifamily Housing,1.0,40.754321000000004,-73.998517,4.0,3.0,111.0,1012857.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
883,1007320016.0,,1-00732-0016,1012858,433,WEST   34 STREET,Manhattan,10001.0,Filed,97.6,96.7,143.2,142.3,Not Available,No,Manual,Not Available,872.1,633.5,238.6,150119,142971.0,Multifamily Housing,1.0,40.753991,-73.997726,4.0,3.0,111.0,1012858.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
884,1007320025.0,,1-00732-0025,1012859,413,WEST   34 STREET,Manhattan,10001.0,Filed,100.4,Not Available,156,Not Available,67.1,No,Manual,68,1047.6,31.2,1016.4,122073,122073.0,Residence Hall/Dormitory,1.0,40.753637,-73.996882,4.0,3.0,111.0,1012859.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
885,1007320036.0,,1-00732-0036,1012860,433,9 AVENUE,Manhattan,10001.0,Filed,82.1,82.1,237.1,237.1,Not Available,No,None,53,2312.8,251.6,2061.2,350000,350000.0,Office,1.0,40.753492,-73.996239,4.0,3.0,111.0,1012860.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
888,1007347501.0,,1-00734-7501,1012896;1087721,438,WEST   37 STREET,Manhattan,10018.0,Filed,75.1,74.7,99,98.4,25.04,Yes,ABS,Not Available,859.8,726.8,133,150847,163174.0,Multifamily Housing,1.0,40.755978999999996,-73.996571,4.0,3.0,111.0,1012896.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
893,1007390001.0,,1007390001,1013043,103,8 AVENUE,Manhattan,10011.0,Filed,17658,17496.1,21789.6,21595,26.06,No,Manual,Not Available,4351632.8,87.8,4351545,2787061,2161994.0,Office,1.0,40.740542,-74.001959,4.0,3.0,83.0,1013043.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
894,1007400001.0,,1007400001,1013044,88,9 AVENUE,Manhattan,10011.0,Filed,221.9,221.9,444.3,444.3,Not Available,No,None,3,1393.2,609.9,783.3,95189,90656.0,Hotel,1.0,40.742367,-74.004341,4.0,3.0,83.0,1013044.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
895,1007400001.0,,1-00740-0001,1013044,88,9 AVENUE,Manhattan,10011.0,Filed,88.1,87.9,173.8,173.7,Not Available,No,None,60,1422.5,642.4,780.1,130570,90656.0,Hotel,1.0,40.742367,-74.004341,4.0,3.0,83.0,1013044.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
12098,1007400055.0,,1007400055,1013066,,,Manhattan,,BBL not valid,59161.8,Not Available,71358.1,Not Available,Not Available,,,1,993189.2,258.1,992931.1,189667,,Hotel,,,,,,,,
897,1007410067.0,,1-00741-0067,1013089,112,9 AVENUE,Manhattan,10011.0,Filed,84.3,84.4,115.6,115.7,51.81,Yes,ABS,Not Available,346.3,280.3,66,58206,57706.0,Multifamily Housing,1.0,40.743026,-74.00384,4.0,3.0,83.0,1013089.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
899,1007430038.0,,1-00743-0038,1013219,177,8 AVENUE,Manhattan,10011.0,Filed,13.3,13.4,39.3,39.3,36.71,Yes,ABS,Not Available,112,7.1,104.9,106715,77712.0,Multifamily Housing,1.0,40.74293,-74.00022,4.0,3.0,89.0,1013219.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
900,1007440001.0,,1-00744-0001,1013243,363,WEST   20 STREET,Manhattan,10011.0,Filed,88.5,88.1,130.5,130.1,37.46,Yes,ABS,Not Available,342.5,247.8,94.7,64517,62638.0,Multifamily Housing,1.0,40.744141,-74.001527,4.0,3.0,89.0,1013243.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
