record_number,nyc_borough_block_and_lot_bbl,co_reported_bbl_status,bbls_co_reported,reported_nyc_building_identificaiton_numbers_bins,street_number,street_name,borough,zip_code,dof_benchmarking_submission_status,site_eui_kbtu_ft2,weather_normalized_site_eui_kbtu_ft2,source_eui_kbtu_ft2,weather_normalized_source_eui_kbtu_ft2,municipally_supplied_potable_water_indoor_intensity_gal_ft,automatic_water_benchmarking_eligible,reported_water_method,energy_star_score,total_ghg_emissions_mtco2e,direct_ghg_emissions_mtco2e,indirect_ghg_emissions_mtco2e,reported_property_floor_area_building_s_ft,dof_property_floor_area_buildngs_and_parking_ft2,primary_property_type_self_selected,dof_number_of_buildings,latitude,longitude,community_board,community_council,census_tract,bin,nta
460,1004740030.0,,1-00474-0030,1007048,483,BROADWAY,Manhattan,10013.0,Filed,60,59.8,132.4,132.3,4.23,Yes,ABS,82,291.7,121.3,170.4,62148,51790.0,Office,1.0,40.721543,-74.000076,2.0,1.0,47.0,1007048.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
139,1000627501.0,,1-00062-7501,1001068,1,LIBERTY PLAZA,Manhattan,10006.0,Filed,123.9,123.3,308.6,307.9,17.96,No,Manual,82,24293.2,81.6,24211.6,2346193,2139035.0,Office,1.0,40.70943,-74.01110200000001,1.0,1.0,13.0,1001068.0,Battery Park City-Lower Manhattan                                          
140,1000630012.0,,1-00063-0012,1001071,5,DEY STREET,Manhattan,10007.0,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,0,,64259,66686.0,Office,1.0,40.71058,-74.009862,1.0,1.0,13.0,1001071.0,Battery Park City-Lower Manhattan                                          
141,1000640008.0,,1-00064-0008,1001084,53,LIBERTY STREET,Manhattan,10005.0,Filed,91.8,91.2,160.5,159.2,Not Available,No,None,Not Available,1296.4,50.1,1246.3,167428,167448.0,Multifamily Housing,1.0,40.708642,-74.009407,1.0,1.0,1502.0,1001084.0,Battery Park City-Lower Manhattan                                          
142,1000640012.0,,1-00064-0012,1001087,150,BROADWAY,Manhattan,10038.0,Filed,65.1,64.6,169.7,169.1,Not Available,No,None,79,1497.7,0,1497.7,276000,279669.0,Office,1.0,40.70932,-74.01039200000001,1.0,1.0,1502.0,1001087.0,Battery Park City-Lower Manhattan                                          
144,1000650007.0,,1000650007,1001097,15,MAIDEN LANE,Manhattan,10038.0,Filed,58,57.7,141.6,141,Not Available,No,None,91,702.6,0,702.6,144200,124910.0,Office,1.0,40.709482,-74.00935600000001,1.0,1.0,1502.0,1001097.0,Battery Park City-Lower Manhattan                                          
145,1000650010.0,,1000650010,1001098,9,MAIDEN LANE,Manhattan,10038.0,Filed,187.6,Not Available,245.2,Not Available,Not Available,No,None,Not Available,669.8,551.1,118.7,63146,58354.0,Multifamily Housing,1.0,40.709606,-74.009555,1.0,1.0,1502.0,1001098.0,Battery Park City-Lower Manhattan                                          
146,1000650017.0,,1-00065-0017,1001100,176,BROADWAY,Manhattan,10038.0,Filed,71.8,71.5,131.9,131.7,Not Available,No,None,Not Available,824.4,428.2,396.2,180100,168176.0,Multifamily Housing,1.0,40.709932,-74.009869,1.0,1.0,1502.0,1001100.0,Battery Park City-Lower Manhattan                                          
149,1000670023.0,,1000670023,1001109,56,NASSAU STREET,Manhattan,10038.0,Filed,58.2,57.9,159.9,159.5,Not Available,No,None,84,2976.5,0,2976.5,617356,558327.0,Office,1.0,40.709114,-74.008812,1.0,1.0,1502.0,1001109.0,Battery Park City-Lower Manhattan                                          
150,1000680007.0,,1-00068-0007,1001111,83,MAIDEN LANE,Manhattan,10038.0,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,1491.7,14.8,1476.9,Not Available,155450.0,Office,1.0,40.707443,-74.007607,1.0,1.0,1502.0,1001111.0,Battery Park City-Lower Manhattan                                          
