,dbn,district,school,principal,_school_support_organization,progress_report_type,school_level_,peer_index_,overall_grade,overall_score,environment_category_score,environment_grade,performance_category_score,performance_grade,progress_category_score,progress_grade,additional_credit,_progress_report_grade,_quality_review_score,_federal_accountability_status
514,10X141,10.0,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),Lori O'Mara,ESO,HS,High School,2.57,A,88.3,8.3,B,18.7,A,49.3,A,12.0,A,Proficient,In Good Standing
515,10X159,10.0,P.S. 159 LUIS MUNOZ MARIN BILING,Luis Liz,ESO,ESMS,Elementary School,68.65,A,89.8,12.3,A,22.2,A,49.3,A,6.0,C,Proficient,In Good Standing
516,10X205,10.0,P.S. 205 FIORELLO LAGUARDIA,Maria Pietrosanti,CEI-PEA,ESMS,Elementary School,62.03,A,77.0,12.0,A,20.9,A,34.3,A,9.75,B,Well Developed,In Need of Improvement - Year 1
517,10X206,10.0,I.S. 206 ANN MERSEREAU,David Neering,ESO,ESMS,Middle School,2.95,A,77.6,9.2,B,17.5,B,44.1,A,6.75,D,Proficient,In Need of Improvement - Year 1
518,10X213,10.0,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,Rashid F. Davis,New Visions,HS,High School,2.2,A,67.4,9.4,A,25.0,A,28.0,B,5.0,,Well Developed,In Good Standing
519,10X225,10.0,THEATRE ARTS PRODUCTION COMPANY SCHOOL,Lynn Passarella,New Visions,ESMS,Middle School,3.29,F,27.9,9.5,B,11.3,D,5.6,F,1.5,B,Well Developed,In Good Standing
520,10X225,10.0,THEATRE ARTS PRODUCTION COMPANY SCHOOL,Lynn Passarella,New Visions,HS,High School,2.66,,,,,,,,,,,,
521,,,,,,,,,,,,,,,,,6.0,,Well Developed,In Good Standing
522,10X226,10.0,P.S. 226,Gloria Darden,ESO,ESMS,Elementary School,60.23,B,45.8,8.2,B,11.4,B,26.2,B,0.0,B,Proficient,In Need of Improvement - Year 1
523,10X228,10.0,JONAS BRONCK ACADEMY,Maria Esponda,ESO,ESMS,Middle School,3.08,A,70.0,11.9,A,18.5,A,32.8,B,6.75,A,Proficient,In Good Standing
524,10X237,10.0,MARIE CURIE HIGH SCHOOL FOR NURSING MEDICINE AND ALLIED HEALTH PROFESS,Rodney Fisher,ESO,ESMS,Middle School,3.16,F,27.6,6.3,C,13.9,B,7.4,F,0.0,B,Well Developed,In Good Standing
525,10X237,10.0,"MARIE CURIE HIGH SCHOOL FOR NURSING, MEDICINE, AND ALLIED HEALTH PROFE",Rodney Fisher,ESO,HS,High School,2.28,A,90.3,9.0,A,23.5,A,47.8,A,10.0,,Well Developed,In Good Standing
526,10X241,10.0,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE THE,Kenneth Baum,ESO,ESMS,Middle School,3.12,B,55.7,11.6,A,18.5,A,23.3,C,2.25,A,Well Developed,In Good Standing
527,10X241,10.0,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",Kenneth Baum,ESO,HS,High School,2.87,,,,,,,,,,,,
528,,,,,,,,,,,,,,,,,0.0,,Well Developed,In Good Standing
529,,,,,,,,,,,,,,,,,,,,In Good Standing
530,10X243,10.0,WEST BRONX ACADEMY FOR THE FUTURE,Wilper Morales I.A.,New Visions,ESMS,Middle School,2.93,C,41.2,5.8,C,13.8,B,20.8,C,0.75,B,Proficient,In Need of Improvement - Year 1
531,10X243,10.0,WEST BRONX ACADEMY FOR THE FUTURE,"Wilper Morales, I.A.",New Visions,HS,High School,1.98,C,36.0,7.2,B,3.2,F,25.6,B,0.0,,Proficient,In Need of Improvement - Year 1
532,10X244,10.0,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,Dolores Peterson,AED,ESMS,Middle School,2.84,B,55.3,10.8,A,16.5,B,26.5,B,1.5,B,Well Developed,In Good Standing
