,borough,neighborhood,type_of_home,number_of_sales,lowest_sale_price,average_sale_price,median_sale_price,highest_sale_price,year
131,BRONX,SOUNDVIEW,03 THREE FAMILY HOMES,32,250000,433954,445600,630000,2010
132,BRONX,THROGS NECK,01 ONE FAMILY HOMES,50,150000,375518,375000,890000,2010
133,BRONX,THROGS NECK,02 TWO FAMILY HOMES,55,170000,433088,431750,705000,2010
134,BRONX,THROGS NECK,03 THREE FAMILY HOMES,12,250000,498413,545000,655000,2010
135,BRONX,WAKEFIELD,01 ONE FAMILY HOMES,41,158000,316531,335000,505056,2010
136,BRONX,WAKEFIELD,02 TWO FAMILY HOMES,40,165000,369935,361975,576600,2010
137,BRONX,WAKEFIELD,03 THREE FAMILY HOMES,7,200000,373190,380000,509000,2010
138,BRONX,WESTCHESTER,01 ONE FAMILY HOMES,13,170000,309235,300000,530000,2010
139,BRONX,WESTCHESTER,02 TWO FAMILY HOMES,27,150000,365574,380000,534800,2010
140,BRONX,WESTCHESTER,03 THREE FAMILY HOMES,10,315000,552603,530750,713889,2010
141,BRONX,WILLIAMSBRIDGE,01 ONE FAMILY HOMES,39,155000,315818,334250,651235,2010
142,BRONX,WILLIAMSBRIDGE,02 TWO FAMILY HOMES,85,160000,368507,375000,555000,2010
143,BRONX,WILLIAMSBRIDGE,03 THREE FAMILY HOMES,27,237000,495440,484000,678006,2010
144,BRONX,WOODLAWN,01 ONE FAMILY HOMES,6,200000,354567,374500,460000,2010
145,BRONX,WOODLAWN,02 TWO FAMILY HOMES,11,250000,463827,477500,630000,2010
146,BRONX,WOODLAWN,03 THREE FAMILY HOMES,3,300000,471167,550000,563500,2010
147,BROOKLYN,BATH BEACH,01 ONE FAMILY HOMES,17,395000,544790,530000,705000,2010
148,BROOKLYN,BATH BEACH,02 TWO FAMILY HOMES,58,200000,654117,654000,1250000,2010
149,BROOKLYN,BATH BEACH,03 THREE FAMILY HOMES,17,175000,794660,790000,1282995,2010
150,BROOKLYN,BAY RIDGE,01 ONE FAMILY HOMES,106,190000,780849,670000,4650000,2010
151,BROOKLYN,BAY RIDGE,02 TWO FAMILY HOMES,113,150000,769807,765000,2100000,2010
152,BROOKLYN,BAY RIDGE,03 THREE FAMILY HOMES,17,180000,670851,747500,855000,2010
153,BROOKLYN,BEDFORD STUYVESANT,01 ONE FAMILY HOMES,23,159500,314389,327000,495000,2010
154,BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY HOMES,254,150000,405030,369500,1240000,2010
155,BROOKLYN,BEDFORD STUYVESANT,03 THREE FAMILY HOMES,126,150000,492702,487500,1275000,2010
156,BROOKLYN,BENSONHURST,01 ONE FAMILY HOMES,47,310000,626840,590000,1525000,2010
157,BROOKLYN,BENSONHURST,02 TWO FAMILY HOMES,117,175000,668510,680000,1145000,2010
158,BROOKLYN,BENSONHURST,03 THREE FAMILY HOMES,39,245000,755910,799000,1150000,2010
159,BROOKLYN,BERGEN BEACH,01 ONE FAMILY HOMES,34,197774,570106,545000,1285000,2010
160,BROOKLYN,BERGEN BEACH,02 TWO FAMILY HOMES,30,275000,666875,697500,840000,2010
161,BROOKLYN,BERGEN BEACH,03 THREE FAMILY HOMES,6,310000,591583,659250,700000,2010
162,BROOKLYN,BOERUM HILL,01 ONE FAMILY HOMES,8,475000,1263918,1087500,2390000,2010
163,BROOKLYN,BOERUM HILL,02 TWO FAMILY HOMES,13,800000,1241229,1312500,2200000,2010
164,BROOKLYN,BOERUM HILL,03 THREE FAMILY HOMES,3,1100000,1491667,1625000,1750000,2010
165,BROOKLYN,BOROUGH PARK,01 ONE FAMILY HOMES,50,233333,582215,557500,1850000,2010
166,BROOKLYN,BOROUGH PARK,02 TWO FAMILY HOMES,162,160000,677339,672500,2450000,2010
167,BROOKLYN,BOROUGH PARK,03 THREE FAMILY HOMES,57,175000,809075,818000,1800000,2010
