,yearmonth,incidentclassification,incidentborough,incidentcount,averageresponsetime
600,2010/09,Medical Emergencies,Citywide,18093,04:18
601,2010/09,Medical Emergencies,Manhattan,4853,04:24
602,2010/09,Medical Emergencies,Bronx,3283,04:25
603,2010/09,Medical Emergencies,Staten Island,835,04:25
604,2010/09,Medical Emergencies,Brooklyn,5265,03:56
605,2010/09,Medical Emergencies,Queens,3857,04:34
606,2010/09,Medical False Alarm,Citywide,462,04:15
607,2010/09,Medical False Alarm,Manhattan,118,04:20
608,2010/09,Medical False Alarm,Bronx,77,04:39
609,2010/09,Medical False Alarm,Staten Island,25,04:00
610,2010/09,Medical False Alarm,Brooklyn,157,03:46
611,2010/09,Medical False Alarm,Queens,85,04:47
612,2010/09,NonMedical Emergencies,Citywide,18634,05:12
613,2010/09,NonMedical Emergencies,Manhattan,4652,05:02
614,2010/09,NonMedical Emergencies,Bronx,3395,05:13
615,2010/09,NonMedical Emergencies,Staten Island,1111,05:31
616,2010/09,NonMedical Emergencies,Brooklyn,4855,04:31
617,2010/09,NonMedical Emergencies,Queens,4621,06:02
618,2010/09,NonStructural Fires,Citywide,1520,04:31
619,2010/09,NonStructural Fires,Manhattan,338,04:18
620,2010/09,NonStructural Fires,Bronx,241,04:51
621,2010/09,NonStructural Fires,Staten Island,119,05:58
622,2010/09,NonStructural Fires,Brooklyn,413,03:52
623,2010/09,NonStructural Fires,Queens,409,04:52
624,2010/09,Structural Fires,Citywide,2100,04:03
625,2010/09,Structural Fires,Manhattan,480,04:07
626,2010/09,Structural Fires,Bronx,418,04:08
627,2010/09,Structural Fires,Staten Island,115,04:36
628,2010/09,Structural Fires,Brooklyn,698,03:33
629,2010/09,Structural Fires,Queens,389,04:40
630,2010/10,All Fire/Emergency Incidents,Citywide,42655,04:34
631,2010/10,All Fire/Emergency Incidents,Manhattan,11249,04:41
632,2010/10,All Fire/Emergency Incidents,Bronx,8131,04:44
633,2010/10,All Fire/Emergency Incidents,Staten Island,2171,04:41
634,2010/10,All Fire/Emergency Incidents,Brooklyn,12254,04:05
635,2010/10,All Fire/Emergency Incidents,Queens,8850,04:57
636,2010/10,False Alarm,Citywide,2131,04:28
637,2010/10,False Alarm,Manhattan,448,04:40
638,2010/10,False Alarm,Bronx,461,04:37
639,2010/10,False Alarm,Staten Island,142,04:06
640,2010/10,False Alarm,Brooklyn,431,03:58
641,2010/10,False Alarm,Queens,649,04:37
642,2010/10,Medical Emergencies,Citywide,18731,04:18
643,2010/10,Medical Emergencies,Manhattan,5162,04:25
644,2010/10,Medical Emergencies,Bronx,3389,04:26
645,2010/10,Medical Emergencies,Staten Island,880,04:28
646,2010/10,Medical Emergencies,Brooklyn,5411,03:54
647,2010/10,Medical Emergencies,Queens,3889,04:34
648,2010/10,Medical False Alarm,Citywide,413,04:18
649,2010/10,Medical False Alarm,Manhattan,112,04:07
650,2010/10,Medical False Alarm,Bronx,90,04:45
651,2010/10,Medical False Alarm,Staten Island,15,04:50
652,2010/10,Medical False Alarm,Brooklyn,112,03:57
653,2010/10,Medical False Alarm,Queens,84,04:23
654,2010/10,NonMedical Emergencies,Citywide,17844,04:55
655,2010/10,NonMedical Emergencies,Manhattan,4713,04:59
656,2010/10,NonMedical Emergencies,Bronx,3456,05:03
657,2010/10,NonMedical Emergencies,Staten Island,939,04:56
658,2010/10,NonMedical Emergencies,Brooklyn,5216,04:21
659,2010/10,NonMedical Emergencies,Queens,3520,05:29
660,2010/10,NonStructural Fires,Citywide,1229,04:19
661,2010/10,NonStructural Fires,Manhattan,303,04:18
662,2010/10,NonStructural Fires,Bronx,199,04:37
663,2010/10,NonStructural Fires,Staten Island,87,04:44
664,2010/10,NonStructural Fires,Brooklyn,368,03:53
665,2010/10,NonStructural Fires,Queens,272,04:34
666,2010/10,Structural Fires,Citywide,2307,04:03
667,2010/10,Structural Fires,Manhattan,511,04:05
668,2010/10,Structural Fires,Bronx,536,04:12
669,2010/10,Structural Fires,Staten Island,108,04:37
670,2010/10,Structural Fires,Brooklyn,716,03:33
671,2010/10,Structural Fires,Queens,436,04:26
672,2010/11,All Fire/Emergency Incidents,Citywide,39277,04:33
673,2010/11,All Fire/Emergency Incidents,Manhattan,10084,04:42
