,neighborhood,type_of_home,number_of_sales,lowest_sale_price,average_sale_price,median_sale_price,highest_sale_price
118,RICHMOND HILL            ,02 TWO FAMILY HOMES                        ,189,150000,518755,515000,1900000
119,RICHMOND HILL            ,03 THREE FAMILY HOMES                      ,26,305000,584751,592000,765758
120,RIDGEWOOD                ,01 ONE FAMILY HOMES                        ,9,310000,404290,410000,465000
121,RIDGEWOOD                ,02 TWO FAMILY HOMES                        ,103,185000,547721,550000,999500
122,RIDGEWOOD                ,03 THREE FAMILY HOMES                      ,21,258570,575541,560000,935000
123,ROCKAWAY PARK            ,01 ONE FAMILY HOMES                        ,4,160000,366250,332500,640000
124,ROCKAWAY PARK            ,02 TWO FAMILY HOMES                        ,11,235000,523028,499999,725000
125,ROCKAWAY PARK            ,03 THREE FAMILY HOMES                      ,1,558000,558000,558000,558000
126,ROSEDALE                 ,01 ONE FAMILY HOMES                        ,126,150000,406895,390000,700000
127,ROSEDALE                 ,02 TWO FAMILY HOMES                        ,141,150305,521849,560000,858689
128,ROSEDALE                 ,03 THREE FAMILY HOMES                      ,7,150000,484299,530000,605000
129,SO. JAMAICA-BAISLEY PARK ,01 ONE FAMILY HOMES                        ,278,150000,343656,350000,735000
130,SO. JAMAICA-BAISLEY PARK ,02 TWO FAMILY HOMES                        ,132,180000,471544,474400,700000
131,SO. JAMAICA-BAISLEY PARK ,03 THREE FAMILY HOMES                      ,3,240000,484628,588883,625000
132,SOUTH JAMAICA            ,01 ONE FAMILY HOMES                        ,185,160000,360744,365000,670000
133,SOUTH JAMAICA            ,02 TWO FAMILY HOMES                        ,183,180000,468510,494268,1245970
134,SOUTH JAMAICA            ,03 THREE FAMILY HOMES                      ,27,250000,509965,550000,717000
135,SOUTH OZONE PARK         ,01 ONE FAMILY HOMES                        ,180,189000,403346,385000,880000
136,SOUTH OZONE PARK         ,02 TWO FAMILY HOMES                        ,136,150000,509203,532469,810000
137,SOUTH OZONE PARK         ,03 THREE FAMILY HOMES                      ,4,400000,540000,555000,650000
138,SPRINGFIELD GARDENS      ,01 ONE FAMILY HOMES                        ,211,159250,367621,367500,700000
139,SPRINGFIELD GARDENS      ,02 TWO FAMILY HOMES                        ,177,155000,497670,535000,850000
140,ST. ALBANS               ,01 ONE FAMILY HOMES                        ,275,150000,361105,365000,832000
141,ST. ALBANS               ,02 TWO FAMILY HOMES                        ,112,200000,468047,463500,690000
142,ST. ALBANS               ,03 THREE FAMILY HOMES                      ,5,360000,510400,559000,600000
143,SUNNYSIDE                ,01 ONE FAMILY HOMES                        ,16,300000,526720,537500,730000
144,SUNNYSIDE                ,02 TWO FAMILY HOMES                        ,23,179600,597330,680000,925000
145,SUNNYSIDE                ,03 THREE FAMILY HOMES                      ,6,325000,628750,652500,950000
146,WHITESTONE               ,01 ONE FAMILY HOMES                        ,117,170000,665541,620000,3200000
147,WHITESTONE               ,02 TWO FAMILY HOMES                        ,49,250000,745353,780000,1288086
148,WHITESTONE               ,03 THREE FAMILY HOMES                      ,3,300000,660000,770000,910000
149,WOODHAVEN                ,01 ONE FAMILY HOMES                        ,82,220500,405206,385625,1250000
150,WOODHAVEN                ,02 TWO FAMILY HOMES                        ,101,200000,500715,508247,723500
151,WOODHAVEN                ,03 THREE FAMILY HOMES                      ,21,217500,483278,500000,750000
152,WOODSIDE                 ,01 ONE FAMILY HOMES                        ,27,200664,512454,515000,900000
153,WOODSIDE                 ,02 TWO FAMILY HOMES                        ,33,200000,651098,633356,1350000
154,WOODSIDE                 ,03 THREE FAMILY HOMES                      ,23,330000,770708,780000,1250000
