,uniqueid,dateofbite,species,breed,age,gender,spayneuter,borough,zipcode
148,149,2015-04-09T00:00:00.000,DOG,,,U,False,Brooklyn,
149,150,2015-04-13T00:00:00.000,DOG,Pit Bull,9,M,False,Brooklyn,11207.0
150,151,2015-04-13T00:00:00.000,DOG,Chihuahua,9M,M,False,Brooklyn,11208.0
151,152,2015-04-14T00:00:00.000,DOG,American Pit Bull Mix / Pit Bull Mix,2,F,True,Brooklyn,11216.0
152,153,2015-04-10T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,3,M,True,Brooklyn,
153,154,2015-04-10T00:00:00.000,DOG,Siberian Husky,,U,False,Brooklyn,11226.0
154,155,2015-04-14T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,
155,156,2015-04-16T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,1,F,False,Brooklyn,11208.0
156,157,2015-04-16T00:00:00.000,DOG,Rottweiler,1,M,True,Brooklyn,11228.0
157,158,2015-04-14T00:00:00.000,DOG,Beagle Crossbreed,19,M,False,Brooklyn,11214.0
158,159,2015-04-20T00:00:00.000,DOG,,,U,False,Brooklyn,
159,160,2015-04-18T00:00:00.000,DOG,AUSTRALIAN CATTLE,,F,False,Brooklyn,
160,161,2015-04-13T00:00:00.000,DOG,,,U,False,Brooklyn,11221.0
161,162,2015-04-11T00:00:00.000,DOG,Pit Bull,,U,False,Brooklyn,11207.0
162,163,2015-04-15T00:00:00.000,DOG,Pit Bull,,U,False,Brooklyn,
163,164,2015-04-19T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11221.0
164,165,2015-04-19T00:00:00.000,DOG,German Shepherd Crossbreed,15,F,True,Brooklyn,11222.0
165,166,2015-04-17T00:00:00.000,DOG,Border Terrier,3,M,True,Brooklyn,
166,167,2015-04-17T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,3,M,False,Brooklyn,11231.0
167,168,2015-04-20T00:00:00.000,DOG,,4M,U,False,Brooklyn,11224.0
168,169,2015-04-18T00:00:00.000,DOG,,,U,False,Brooklyn,11220.0
169,170,2015-04-19T00:00:00.000,DOG,ITALIAN MASTIFF,3,F,False,Brooklyn,11221.0
170,171,2015-04-12T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11235.0
171,172,2015-04-19T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11221.0
172,173,2015-04-17T00:00:00.000,DOG,BEAGLE/JACK RUSS,4,M,True,Brooklyn,11224.0
173,174,2015-04-16T00:00:00.000,DOG,,,U,False,Brooklyn,
174,175,2015-04-19T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,5,M,True,Brooklyn,11218.0
175,176,2015-04-12T00:00:00.000,DOG,,,U,False,Brooklyn,
176,177,2015-04-22T00:00:00.000,DOG,Maltese,7,F,True,Brooklyn,11237.0
177,178,2015-04-23T00:00:00.000,DOG,Cane Corso,15,F,False,Brooklyn,11238.0
178,179,2015-04-22T00:00:00.000,DOG,,,U,False,Brooklyn,
179,180,2015-04-23T00:00:00.000,DOG,PARSON RUSSELLTERR,2,M,True,Brooklyn,11231.0
180,181,2015-04-24T00:00:00.000,DOG,"Poodle, Standard",,U,False,Brooklyn,11221.0
181,182,2015-04-25T00:00:00.000,DOG,Shih Tzu,5,M,True,Brooklyn,11219.0
182,183,2015-04-26T00:00:00.000,DOG,American Staffordshire Terrier,2,M,False,Brooklyn,11212.0
183,184,2015-04-25T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,3,M,False,Brooklyn,11221.0
184,185,2015-04-25T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,3,M,False,Brooklyn,11221.0
185,186,2015-04-27T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,2,M,False,Brooklyn,11218.0
186,187,2015-04-20T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11218.0
187,188,2015-04-25T00:00:00.000,DOG,UNKNOWN,,U,False,Brooklyn,11201.0
188,189,2015-04-25T00:00:00.000,DOG,German Shepherd,7,M,True,Brooklyn,11234.0
189,190,2015-04-11T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,3,F,True,Brooklyn,11220.0
190,191,2015-04-29T00:00:00.000,DOG,Pug,3,M,True,Brooklyn,11223.0
191,192,2015-04-29T00:00:00.000,DOG,POINTER/BEAGLE X,7,F,False,Brooklyn,11249.0
192,193,2015-04-29T00:00:00.000,DOG,SHIBA INU,5,M,True,Brooklyn,11221.0
193,194,2015-04-30T00:00:00.000,DOG,,,U,False,Brooklyn,11220.0
194,195,2015-04-26T00:00:00.000,DOG,Chihuahua,2,F,False,Brooklyn,11220.0
195,196,2015-04-30T00:00:00.000,DOG,GERMAN SHEPHERD/RIDGEBACK,5,M,True,Brooklyn,11231.0
196,197,2015-05-01T00:00:00.000,DOG,Bichon Frise,8,M,True,Brooklyn,11223.0
197,198,2015-05-01T00:00:00.000,DOG,STAFFORDSHIRE TERR,7,F,True,Brooklyn,11221.0
198,199,2015-04-19T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11223.0
199,200,2015-05-02T00:00:00.000,DOG,Chihuahua Crossbreed,,U,False,Brooklyn,11214.0
200,201,2015-05-02T00:00:00.000,DOG,"Collie, Border",14,M,True,Brooklyn,11234.0
201,202,2015-05-04T00:00:00.000,DOG,American Pit Bull Mix / Pit Bull Mix,8M,M,False,Brooklyn,11204.0
202,203,2015-05-04T00:00:00.000,DOG,Belgian Malinois,,U,False,Brooklyn,11213.0
203,204,2015-05-01T00:00:00.000,DOG,Boxer,2,M,True,Brooklyn,11237.0
204,205,2015-05-03T00:00:00.000,DOG,,,U,False,Brooklyn,11216.0
205,206,2015-05-01T00:00:00.000,DOG,MALTESE - X,3,F,False,Brooklyn,11209.0
206,207,2015-05-05T00:00:00.000,DOG,German Shepherd,,U,False,Brooklyn,11220.0
207,208,2015-05-01T00:00:00.000,DOG,Pit Bull,,U,False,Brooklyn,
208,209,2015-05-06T00:00:00.000,DOG,"Collie, Smooth Coat",10,F,True,Brooklyn,11220.0
209,210,2015-04-29T00:00:00.000,DOG,,7,M,False,Brooklyn,11204.0
210,211,2015-05-06T00:00:00.000,DOG,CHIHUAHUA/BOSTON TERR X,5,M,True,Brooklyn,11222.0
211,212,2015-04-08T00:00:00.000,DOG,HUSKY/CATTLE DOG MIX,4,M,True,Brooklyn,
212,213,2015-04-08T00:00:00.000,DOG,HUSKY/CATTLE MIX,4,M,True,Brooklyn,
213,214,2015-05-10T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,13,M,True,Brooklyn,11234.0
214,215,2015-05-10T00:00:00.000,DOG,American Staffordshire Terrier,2,M,False,Brooklyn,11228.0
215,216,2015-05-09T00:00:00.000,DOG,Siberian Husky,14,M,True,Brooklyn,11231.0
216,217,2015-05-09T00:00:00.000,DOG,American Pit Bull Mix / Pit Bull Mix,5,F,True,Brooklyn,11208.0
217,218,2015-05-01T00:00:00.000,DOG,American Staffordshire Terrier,8,M,True,Brooklyn,11217.0
218,219,2015-05-09T00:00:00.000,DOG,,,U,False,Brooklyn,
219,220,2015-05-03T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,F,False,Brooklyn,11231.0
220,221,2015-05-11T00:00:00.000,DOG,,,U,False,Brooklyn,
221,222,2015-05-07T00:00:00.000,DOG,Australian Shepherd,5,M,True,Brooklyn,11238.0
222,223,2015-05-08T00:00:00.000,DOG,,,U,False,Brooklyn,11209.0
223,224,2015-05-09T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,8,M,True,Brooklyn,11219.0
224,225,2015-05-11T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,2,F,False,Brooklyn,11218.0
225,226,2015-04-25T00:00:00.000,DOG,Shih Tzu,4,M,True,Brooklyn,11226.0
226,227,2015-05-03T00:00:00.000,DOG,Pit Bull,,U,False,Brooklyn,11235.0
227,228,2015-05-10T00:00:00.000,DOG,American Pit Bull Mix / Pit Bull Mix,3,F,False,Brooklyn,
228,229,2015-05-12T00:00:00.000,DOG,American Pit Bull Mix / Pit Bull Mix,5,M,True,Brooklyn,11213.0
