,im_incident_key,fire_box,incident_type_desc,incident_date_time,arrival_date_time,units_onscene,last_unit_cleared_date_time,highest_level_desc,total_incident_duration,action_taken1_desc,action_taken2_desc,action_taken3_desc,property_use_desc,street_highway,zip_code,borough_desc,floor,co_detector_present_desc,story_fire_origin_count,fire_spread_desc,detector_presence_desc,aes_presence_desc,standpipe_sys_present_flag
564,63474800,1483,512 - Ring or jewelry removal,2018-06-30 17:29:30,2018-06-30 17:32:41,1.0,2018-06-30 18:52:49,11 - First Alarm,4999,"70 - Assistance, other",,,331 - Hospital - medical or psychiatric,10 AVE,11219,4 - Brooklyn,,,,,,,
565,63474791,865,"300 - Rescue, EMS incident, other",2018-06-30 17:28:31,2018-06-30 17:33:35,1.0,2018-06-30 17:40:57,11 - First Alarm,746,"00 - Action taken, other",,,UUU - Undetermined,W 51 ST,10019,1 - Manhattan,,,,,,,
566,63474789,1480,"300 - Rescue, EMS incident, other",2018-06-30 17:28:24,2018-06-30 17:31:49,1.0,2018-06-30 17:56:02,11 - First Alarm,1658,"00 - Action taken, other",,,UUU - Undetermined,RIIS PARK,11697,5 - Queens,,,,,,,
567,63474781,1465,"300 - Rescue, EMS incident, other",2018-06-30 17:27:29,2018-06-30 17:31:15,1.0,2018-06-30 17:54:15,11 - First Alarm,1606,"00 - Action taken, other",,,UUU - Undetermined,E 124 ST,10035,1 - Manhattan,,,,,,,
568,63474779,3635,"651 - Smoke scare, odor of smoke",2018-06-30 17:27:07,2018-06-30 17:31:23,4.0,2018-06-30 17:41:58,11 - First Alarm,891,"00 - Action taken, other",,,UUU - Undetermined,E 214 ST,10469,2 - Bronx,,,,,,,
569,63474788,1095,"311 - Medical assist, assist EMS crew",2018-06-30 17:27:04,2018-06-30 17:41:41,1.0,2018-06-30 17:42:14,11 - First Alarm,910,302 - Provide Patient Care,31 - Provide first aid & check for injuries,,419 - 1 or 2 family dwelling,DIX AVE,11691,5 - Queens,1st,,,,,,
570,63474773,388,735A - Unwarranted alarm/defective condition of alarm system,2018-06-30 17:26:44,2018-06-30 17:30:45,5.0,2018-06-30 17:44:54,11 - First Alarm,1090,86 - Investigate,,,UUU - Undetermined,WASHINGTON PL,10003,1 - Manhattan,,,,,,,
571,63474769,292,353 - Removal of victim(s) from stalled elevator,2018-06-30 17:26:38,2018-06-30 17:32:17,1.0,2018-06-30 17:44:11,11 - First Alarm,1053,64 - Shut down system,,,429 - Multifamily dwelling,COLUMBIA ST,10002,1 - Manhattan,4,,,,,,
572,63474767,3541,"300 - Rescue, EMS incident, other",2018-06-30 17:26:37,2018-06-30 17:28:58,1.0,2018-06-30 17:35:34,11 - First Alarm,537,"00 - Action taken, other",,,UUU - Undetermined,W 23 ST,11224,4 - Brooklyn,,,,,,,
573,63474764,937,323 - Motor vehicle/pedestrian accident (MV Ped),2018-06-30 17:25:56,2018-06-30 17:31:24,1.0,2018-06-30 17:44:30,11 - First Alarm,1114,48 - Remove hazardous materials,78 - Control traffic,86 - Investigate,"960 - Street, other",GATES AVE and MARCY AVE INTERSECTION,11216,4 - Brooklyn,,,,,,,
574,63474757,2244,611 - Dispatched & canceled en route,2018-06-30 17:25:29,,,2018-06-30 17:27:12,11 - First Alarm,103,93 - Cancelled en route,,,UUU - Undetermined,BRONXTERMINALMKT,10451,2 - Bronx,,,,,,,
575,63474749,4818,"300 - Rescue, EMS incident, other",2018-06-30 17:24:52,2018-06-30 17:28:10,1.0,2018-06-30 17:41:34,11 - First Alarm,1002,"00 - Action taken, other",,,UUU - Undetermined,SUTPHIN BLVD,11435,5 - Queens,,,,,,,
576,63474747,4738,"300 - Rescue, EMS incident, other",2018-06-30 17:24:26,2018-06-30 17:29:59,1.0,2018-06-30 18:35:53,11 - First Alarm,4287,"00 - Action taken, other",,,UUU - Undetermined,E 170 ST,10452,2 - Bronx,,,,,,,
577,63474742,3124,"300 - Rescue, EMS incident, other",2018-06-30 17:23:52,2018-06-30 17:28:31,1.0,2018-06-30 17:37:51,11 - First Alarm,839,"00 - Action taken, other",,,UUU - Undetermined,ANTHONY AVE,10457,2 - Bronx,,,,,,,
578,63474740,2798,"445 - Arcing, shorted electrical equipment",2018-06-30 17:22:58,2018-06-30 17:27:37,1.0,2018-06-30 17:41:02,11 - First Alarm,1084,82 - Notify other agencies.,,,"962 - Residential street, road or residential driveway",DRAPER PL,10314,3 - Staten Island,,,,,,,
579,63474737,7845,"300 - Rescue, EMS incident, other",2018-06-30 17:22:11,2018-06-30 17:28:35,1.0,2018-06-30 17:46:52,11 - First Alarm,1481,"00 - Action taken, other",,,UUU - Undetermined,74 ST,11373,5 - Queens,,,,,,,
580,63474736,1841,"300 - Rescue, EMS incident, other",2018-06-30 17:22:02,2018-06-30 17:23:51,1.0,2018-06-30 17:43:21,11 - First Alarm,1279,"00 - Action taken, other",,,UUU - Undetermined,PITKIN AVE,11208,4 - Brooklyn,,,,,,,
581,63474732,2262,"300 - Rescue, EMS incident, other",2018-06-30 17:21:18,2018-06-30 17:25:36,1.0,2018-06-30 17:38:16,11 - First Alarm,1018,"00 - Action taken, other",,,UUU - Undetermined,REMSEN AVE,11236,4 - Brooklyn,,,,,,,
582,63474730,4930,522 - Water or steam leak,2018-06-30 17:20:41,2018-06-30 17:43:31,1.0,2018-06-30 17:44:00,11 - First Alarm,1399,64 - Shut down system,,,429 - Multifamily dwelling,ROCHAMBEAU AVE,10467,2 - Bronx,1,,,,,,
583,63474729,4098,"300 - Rescue, EMS incident, other",2018-06-30 17:20:33,2018-06-30 17:25:22,1.0,2018-06-30 17:51:21,11 - First Alarm,1848,"00 - Action taken, other",,,UUU - Undetermined,LOCUST POINT DR,10465,2 - Bronx,,,,,,,
584,63474727,725,"300 - Rescue, EMS incident, other",2018-06-30 17:20:16,2018-06-30 17:23:32,1.0,2018-06-30 17:31:33,11 - First Alarm,677,"00 - Action taken, other",,,UUU - Undetermined,KNICKERBOCKER AVE,11237,4 - Brooklyn,,,,,,,
585,63474725,1809,522 - Water or steam leak,2018-06-30 17:19:24,2018-06-30 17:26:39,1.0,2018-06-30 17:43:19,11 - First Alarm,1435,64 - Shut down system,,,"519 - Food and beverage sales, grocery store",W 207 ST,10034,1 - Manhattan,,,,,,,
586,63474722,3012,353 - Removal of victim(s) from stalled elevator,2018-06-30 17:18:51,2018-06-30 17:23:01,1.0,2018-06-30 18:21:00,11 - First Alarm,3729,64 - Shut down system,,,429 - Multifamily dwelling,E 16 ST,11230,4 - Brooklyn,2,,,,,,
587,63474719,757,735A - Unwarranted alarm/defective condition of alarm system,2018-06-30 17:17:35,2018-06-30 17:23:08,1.0,2018-06-30 17:32:44,11 - First Alarm,909,86 - Investigate,,,UUU - Undetermined,MADISON AVE,10016,1 - Manhattan,,,,,,,
588,63474711,4783,"710 - Malicious, mischievous false call, other",2018-06-30 17:16:04,2018-06-30 17:19:21,3.0,2018-06-30 17:20:47,11 - First Alarm,283,"00 - Action taken, other",,,UUU - Undetermined,JAMAICA AVE,11433,5 - Queens,,,,,,,
589,63474705,8372,323 - Motor vehicle/pedestrian accident (MV Ped),2018-06-30 17:15:53,2018-06-30 17:22:07,3.0,2018-06-30 17:33:29,11 - First Alarm,1056,48 - Remove hazardous materials,78 - Control traffic,86 - Investigate,961 - Highway or divided highway,GRAND CENTRAL PKWY,11426,5 - Queens,,,,,,,
590,63474706,3951,5001 - Cable / Telephone Wires Down,2018-06-30 17:15:43,2018-06-30 17:24:27,1.0,2018-06-30 17:29:25,11 - First Alarm,822,45 - Remove hazard,55 - Establish safe area,,"962 - Residential street, road or residential driveway",LIEBIG AVE,10471,2 - Bronx,,,,,,,
591,63474702,3525,"300 - Rescue, EMS incident, other",2018-06-30 17:15:42,2018-06-30 17:18:40,1.0,2018-06-30 17:25:28,11 - First Alarm,586,"00 - Action taken, other",,,UUU - Undetermined,NEPTUNE AVE,11224,4 - Brooklyn,,,,,,,
592,63474703,7295,"555 - Defective elevator, no occupants",2018-06-30 17:15:25,2018-06-30 17:19:17,1.0,2018-06-30 17:27:21,11 - First Alarm,716,45 - Remove hazard,,,174 - Rapid transit station,IRT-1-231 ST,99999,2 - Bronx,,,,,,,
593,63474704,2579,353 - Removal of victim(s) from stalled elevator,2018-06-30 17:15:06,2018-06-30 17:22:11,1.0,2018-06-30 17:31:25,11 - First Alarm,979,64 - Shut down system,86 - Investigate,45 - Remove hazard,429 - Multifamily dwelling,UNIVERSITY AVE,10452,2 - Bronx,9th,,,,,,
594,63474701,3203,"651 - Smoke scare, odor of smoke",2018-06-30 17:14:45,2018-06-30 17:29:52,1.0,2018-06-30 17:31:01,11 - First Alarm,976,86 - Investigate,,,429 - Multifamily dwelling,VAN NEST AVE,10460,2 - Bronx,roof,,,,,,
