,x,y,unique_squirrel_id,hectare,shift,date,hectare_squirrel_number,combination_of_primary_and,running,chasing,climbing,eating,foraging,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from,geocoded_column,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,age,primary_fur_color,highlight_fur_color,location,above_ground_sighter,other_interactions,other_activities,color_notes,specific_location,:@computed_region_efsh_h5xi
339,-73.9744960829844,40.7652585501959,1H-AM-1012-01,01H,AM,10122018,1,"Gray+Cinnamon, White",False,False,False,False,True,False,False,False,False,False,True,False,True,"{'type': 'Point', 'coordinates': [-73.9744960829844, 40.7652585501959]}",19,4,19,13,Adult,Gray,"Cinnamon, White",Ground Plane,FALSE,first approaches then runs from - he was less than 1 yd. away from me.,,,,
340,-73.9703161745884,40.7702610461336,8H-PM-1014-05,08H,PM,10142018,5,Gray+,False,False,True,False,False,False,False,False,False,False,False,False,True,"{'type': 'Point', 'coordinates': [-73.9703161745884, 40.7702610461336]}",19,4,19,13,Juvenile,Gray,,Above Ground,2,,,,,
341,-73.9605966636226,40.7889849108637,30E-AM-1008-01,30E,AM,10082018,1,Gray+White,False,False,False,False,True,False,False,False,False,True,False,False,True,"{'type': 'Point', 'coordinates': [-73.9605966636226, 40.7889849108637]}",19,4,19,13,Adult,Gray,White,Ground Plane,FALSE,scurried into bushes when jogger ran by,,,,
342,-73.9730224561601,40.7796833353894,16A-PM-1019-04,16A,PM,10192018,4,Gray+Cinnamon,False,False,False,False,True,False,False,False,False,True,False,True,False,"{'type': 'Point', 'coordinates': [-73.9730224561601, 40.7796833353894]}",19,4,19,13,Adult,Gray,Cinnamon,Ground Plane,FALSE,,,,,
343,-73.9759432151552,40.7733240612552,8B-PM-1012-06,08B,PM,10122018,6,"Gray+Cinnamon, White",False,False,False,True,True,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9759432151552, 40.7733240612552]}",19,4,19,13,Adult,Gray,"Cinnamon, White",Above Ground,2,,,,on a bench,
344,-73.9724452296309,40.7715792113505,8F-PM-1012-03,08F,PM,10122018,3,Gray+Cinnamon,False,False,False,False,True,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9724452296309, 40.7715792113505]}",19,4,19,13,Adult,Gray,Cinnamon,Ground Plane,FALSE,,buried an acorn,,,
345,-73.9712971568288,40.7745520717065,11E-AM-1013-02,11E,AM,10132018,2,Gray+Black,False,False,False,True,True,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9712971568288, 40.7745520717065]}",19,4,19,13,Adult,Gray,Black,Ground Plane,FALSE,,,,,
346,-73.9611696144784,40.7816692895155,22I-AM-1007-03,22I,AM,10072018,3,Gray+,False,False,True,False,False,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9611696144784, 40.7816692895155]}",19,4,19,13,Adult,Gray,,Above Ground,30,,,,,
347,-73.9542990150586,40.7940915300678,37G-PM-1007-09,37G,PM,10072018,9,Cinnamon+White,False,False,False,False,True,False,False,False,False,False,False,False,False,"{'type': 'Point', 'coordinates': [-73.9542990150586, 40.7940915300678]}",19,4,19,13,Adult,Cinnamon,White,,,,,,,
348,-73.9689657039917,40.7767834276767,15F-AM-1007-04,15F,AM,10072018,4,Cinnamon+White,False,False,False,True,True,False,False,False,False,False,False,False,False,"{'type': 'Point', 'coordinates': [-73.9689657039917, 40.7767834276767]}",19,4,19,13,Adult,Cinnamon,White,Ground Plane,FALSE,,,,,
