,bn,school_year,start_date,overall_rating,indicator_1_1,indicator_1_2,indicator_1_3,indicator_1_4,indicator_1_5,indicator_1_6,indicator_1_7,indicatoroverall_1,indicator_2_1,indicator_2_2,indicator_2_3,indicator_2_4,indicator_2_5,indicator_2_6,indicator_2_7,indicatoroverall_2,indicator_3_1,indicator_3_2,indicator_3_3,indicator_3_4,indicator_3_5,indicator_3_6,indicator_3_7,indicator_3_8,indicatoroverall_3,indicator_4_1,indicator_4_2,indicator_4_3,indicator_4_4,indicator_4_5,indicator_4_6,indicator_4_7,indicatoroverall_4,indicator_5_1,indicator_5_2,indicator_5_3,indicator_5_4,indicator_5_5,indicator_5_6,indicator_5_7,indicatoroverall_5
259,X542,2006-07-01T00:00:00.000,2006-11-03T00:00:00.000,WD,WD,P,WD,P,No Data,No Data,No Data,WD,WD,WD,WD,P,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
260,Q250,2006-07-01T00:00:00.000,2006-11-06T00:00:00.000,P,P,U,P,U,No Data,No Data,No Data,P,U,P,WD,P,P,No Data,No Data,P,P,U,P,P,P,P,WD,WD,P,P,P,U,P,WD,WD,P,P,P,P,P,U,No Data,No Data,No Data,P
261,X160,2006-07-01T00:00:00.000,2006-11-06T00:00:00.000,P,WD,P,P,P,No Data,No Data,No Data,P,P,P,P,P,WD,No Data,No Data,P,WD,WD,WD,P,P,P,WD,P,WD,WD,WD,P,P,WD,WD,P,WD,P,P,P,P,No Data,No Data,No Data,P
262,K012,2006-07-01T00:00:00.000,2006-11-08T00:00:00.000,U,P,U,U,U,No Data,No Data,No Data,U,U,U,P,P,U,No Data,No Data,U,U,U,P,P,P,U,P,P,U,P,P,P,P,WD,P,P,P,P,U,U,U,No Data,No Data,No Data,U
263,Q021,2006-07-01T00:00:00.000,2006-11-08T00:00:00.000,WD,P,WD,P,P,No Data,No Data,No Data,P,P,WD,WD,P,WD,No Data,No Data,WD,WD,P,WD,P,WD,P,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
264,Q206,2006-07-01T00:00:00.000,2006-11-08T00:00:00.000,WD,P,WD,WD,WD,No Data,No Data,No Data,WD,P,P,WD,WD,WD,No Data,No Data,WD,P,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
265,X067,2006-07-01T00:00:00.000,2006-11-08T00:00:00.000,WD,WD,WD,WD,P,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
266,X131,2006-07-01T00:00:00.000,2006-11-08T00:00:00.000,P,WD,WD,WD,WD,No Data,No Data,No Data,WD,P,WD,WD,P,P,No Data,No Data,P,WD,P,P,WD,WD,WD,WD,WD,WD,P,P,WD,P,WD,WD,P,P,P,P,WD,P,No Data,No Data,No Data,P
267,X144,2006-07-01T00:00:00.000,2006-11-08T00:00:00.000,P,WD,WD,WD,P,No Data,No Data,No Data,WD,P,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,P,WD,P,P,WD,WD,P,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
268,X192,2006-07-01T00:00:00.000,2006-11-08T00:00:00.000,U,U,U,U,U,No Data,No Data,No Data,U,U,U,P,U,U,No Data,No Data,U,P,U,U,U,P,U,P,P,U,U,U,U,U,P,P,P,U,U,U,U,U,No Data,No Data,No Data,U
269,X197,2006-07-01T00:00:00.000,2006-11-08T00:00:00.000,WD,WD,WD,P,P,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
270,X217,2006-07-01T00:00:00.000,2006-11-08T00:00:00.000,WD,WD,WD,P,WD,No Data,No Data,No Data,WD,WD,WD,P,WD,WD,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,No Data,No Data,No Data,WD
271,X219,2006-07-01T00:00:00.000,2006-11-08T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,U,P,No Data,No Data,P,P,U,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,U,P,P,U,No Data,No Data,No Data,U
272,X232,2006-07-01T00:00:00.000,2006-11-08T00:00:00.000,P,P,WD,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,WD,WD,P,P,P,P,P,WD,P,P,WD,WD,WD,P,P,P,P,P,No Data,No Data,No Data,P
273,X304,2006-07-01T00:00:00.000,2006-11-08T00:00:00.000,WD,WD,P,WD,P,No Data,No Data,No Data,P,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,No Data,No Data,WD
274,X415,2006-07-01T00:00:00.000,2006-11-08T00:00:00.000,P,WD,WD,WD,P,No Data,No Data,No Data,WD,P,P,WD,P,P,No Data,No Data,P,WD,P,WD,P,WD,P,WD,P,P,P,P,WD,P,WD,WD,WD,WD,WD,P,WD,P,No Data,No Data,No Data,P
275,X450,2006-07-01T00:00:00.000,2006-11-08T00:00:00.000,U,U,U,U,U,No Data,No Data,No Data,U,U,P,P,U,U,No Data,No Data,U,U,U,U,U,U,P,P,P,U,U,U,U,U,P,P,P,U,U,U,U,U,No Data,No Data,No Data,U
276,X540,2006-07-01T00:00:00.000,2006-11-08T00:00:00.000,P,P,P,P,U,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,U,U,P,P,P,P,P,U,P,P,P,WD,P,WD,WD,WD,P,U,U,P,P,No Data,No Data,No Data,P
277,X686,2006-07-01T00:00:00.000,2006-11-08T00:00:00.000,P,P,P,P,U,No Data,No Data,No Data,P,U,P,P,U,P,No Data,No Data,P,P,P,P,U,P,P,P,U,P,U,U,P,U,P,P,P,U,P,P,P,U,No Data,No Data,No Data,P
278,Q670,2006-07-01T00:00:00.000,2006-11-09T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,P,WD,WD,WD,WD,No Data,No Data,WD,WD,P,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,No Data,No Data,WD
279,X425,2006-07-01T00:00:00.000,2006-11-09T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,P,P,No Data,No Data,WD,P,WD,P,P,P,P,WD,P,WD,P,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
280,Q067,2006-07-01T00:00:00.000,2006-11-10T00:00:00.000,P,WD,WD,WD,WD,No Data,No Data,No Data,WD,P,P,WD,P,P,No Data,No Data,P,P,P,P,P,P,P,WD,WD,P,P,WD,P,P,P,P,P,P,P,P,P,P,No Data,No Data,No Data,P
281,X036,2006-07-01T00:00:00.000,2006-11-10T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,P,WD,WD,WD,No Data,No Data,WD,WD,P,WD,P,WD,P,WD,WD,WD,P,P,P,WD,WD,WD,P,P,P,P,P,P,No Data,No Data,No Data,P
282,X113,2006-07-01T00:00:00.000,2006-11-10T00:00:00.000,U,P,P,U,U,No Data,No Data,No Data,P,U,U,P,U,U,No Data,No Data,U,P,U,P,U,P,U,P,U,U,U,P,U,U,WD,P,P,P,U,U,U,U,No Data,No Data,No Data,U
283,X135,2006-07-01T00:00:00.000,2006-11-10T00:00:00.000,P,WD,P,WD,P,No Data,No Data,No Data,P,WD,P,WD,P,P,No Data,No Data,P,WD,P,WD,WD,WD,P,P,WD,P,WD,P,P,P,P,P,P,P,WD,P,P,WD,No Data,No Data,No Data,P
284,X181,2006-07-01T00:00:00.000,2006-11-10T00:00:00.000,P,P,P,WD,P,No Data,No Data,No Data,P,P,P,P,WD,P,No Data,No Data,P,P,P,P,WD,WD,P,WD,WD,P,P,P,P,P,WD,WD,P,P,P,P,P,P,No Data,No Data,No Data,P
285,X216,2006-07-01T00:00:00.000,2006-11-10T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,U,P,P,U,P,No Data,No Data,P,P,U,P,P,P,P,P,P,P,P,P,P,U,P,P,P,P,U,P,U,U,No Data,No Data,No Data,U
286,X302,2006-07-01T00:00:00.000,2006-11-10T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,P,WD,P,WD,No Data,No Data,No Data,P
287,Q209,2006-07-01T00:00:00.000,2006-11-13T00:00:00.000,WD,WD,P,P,P,No Data,No Data,No Data,P,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,WD,WD,WD,WD,P,WD,P,P,No Data,No Data,No Data,P
288,X288,2006-07-01T00:00:00.000,2006-11-13T00:00:00.000,WD,WD,WD,WD,P,No Data,No Data,No Data,WD,P,P,P,WD,WD,No Data,No Data,P,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,WD,WD,WD,P,WD,WD,P,No Data,No Data,No Data,P
289,X295,2006-07-01T00:00:00.000,2006-11-13T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,WD,WD,No Data,No Data,P,P,P,P,P,P,P,WD,WD,P,P,P,P,P,WD,WD,P,P,P,P,P,P,No Data,No Data,No Data,P
290,X299,2006-07-01T00:00:00.000,2006-11-13T00:00:00.000,P,WD,WD,P,P,No Data,No Data,No Data,P,WD,WD,P,WD,P,No Data,No Data,WD,WD,P,WD,P,WD,P,WD,WD,WD,P,P,P,WD,WD,WD,WD,P,WD,WD,P,P,No Data,No Data,No Data,P
291,Q034,2006-07-01T00:00:00.000,2006-11-14T00:00:00.000,WD,WD,WD,P,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
292,Q035,2006-07-01T00:00:00.000,2006-11-14T00:00:00.000,P,P,P,U,U,No Data,No Data,No Data,P,P,P,WD,P,P,No Data,No Data,P,P,P,WD,WD,WD,P,P,P,P,P,P,P,P,WD,WD,WD,P,U,P,P,P,No Data,No Data,No Data,P
293,Q094,2006-07-01T00:00:00.000,2006-11-14T00:00:00.000,WD,WD,P,WD,P,No Data,No Data,No Data,WD,P,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,P,P,No Data,No Data,No Data,P
294,Q115,2006-07-01T00:00:00.000,2006-11-14T00:00:00.000,WD,WD,WD,P,WD,No Data,No Data,No Data,WD,WD,P,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
295,Q129,2006-07-01T00:00:00.000,2006-11-14T00:00:00.000,WD,WD,WD,P,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,No Data,No Data,WD
296,Q184,2006-07-01T00:00:00.000,2006-11-14T00:00:00.000,WD,WD,WD,WD,P,No Data,No Data,No Data,WD,WD,WD,WD,P,WD,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,P,WD,No Data,No Data,No Data,WD
297,Q186,2006-07-01T00:00:00.000,2006-11-14T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,WD,WD,P,No Data,No Data,P,P,P,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,P,WD,WD,WD,No Data,No Data,No Data,WD
298,Q201,2006-07-01T00:00:00.000,2006-11-14T00:00:00.000,WD,WD,WD,WD,P,No Data,No Data,No Data,WD,P,WD,WD,P,WD,No Data,No Data,WD,WD,P,WD,WD,WD,P,P,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,P,P,P,P,No Data,No Data,No Data,P
299,Q266,2006-07-01T00:00:00.000,2006-11-14T00:00:00.000,WD,WD,P,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,No Data,No Data,No Data,WD
300,X050,2006-07-01T00:00:00.000,2006-11-14T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,WD,P,WD,No Data,No Data,P,P,P,P,P,P,P,WD,WD,P,WD,P,WD,P,WD,P,WD,WD,P,P,P,P,No Data,No Data,No Data,P
301,X134,2006-07-01T00:00:00.000,2006-11-14T00:00:00.000,P,WD,U,WD,P,No Data,No Data,No Data,P,P,P,WD,WD,WD,No Data,No Data,P,P,P,WD,WD,P,WD,WD,P,P,P,WD,P,P,WD,WD,P,P,U,U,P,U,No Data,No Data,No Data,U
302,X212,2006-07-01T00:00:00.000,2006-11-14T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,P,WD,WD,WD,WD,No Data,No Data,WD,WD,P,WD,WD,WD,P,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,P,WD,P,P,No Data,No Data,No Data,P
303,Q032,2006-07-01T00:00:00.000,2006-11-15T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
304,Q079,2006-07-01T00:00:00.000,2006-11-15T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,No Data,No Data,No Data,WD
305,Q098,2006-07-01T00:00:00.000,2006-11-15T00:00:00.000,WD,P,P,P,P,No Data,No Data,No Data,P,WD,WD,WD,WD,WD,No Data,No Data,WD,P,P,P,P,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,P,WD,WD,P,WD,WD,WD,No Data,No Data,No Data,WD
306,Q107,2006-07-01T00:00:00.000,2006-11-15T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,P,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,P,WD,P,P,No Data,No Data,No Data,P
307,Q165,2006-07-01T00:00:00.000,2006-11-15T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
308,Q214,2006-07-01T00:00:00.000,2006-11-15T00:00:00.000,WD,WD,P,P,P,No Data,No Data,No Data,P,WD,WD,WD,P,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
309,X098,2006-07-01T00:00:00.000,2006-11-15T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,WD,WD,P,No Data,No Data,P,WD,P,WD,P,P,WD,WD,P,P,P,P,WD,P,WD,P,WD,P,U,P,P,U,No Data,No Data,No Data,P
310,X101,2006-07-01T00:00:00.000,2006-11-15T00:00:00.000,WD,WD,P,WD,WD,No Data,No Data,No Data,WD,WD,P,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,No Data,No Data,No Data,WD
311,X102,2006-07-01T00:00:00.000,2006-11-15T00:00:00.000,P,P,P,U,WD,No Data,No Data,No Data,P,P,U,WD,U,P,No Data,No Data,P,P,P,WD,WD,WD,P,WD,WD,WD,WD,P,P,P,P,WD,P,P,P,U,P,U,No Data,No Data,No Data,P
312,X119,2006-07-01T00:00:00.000,2006-11-15T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,No Data,No Data,No Data,WD
313,X267,2006-07-01T00:00:00.000,2006-11-15T00:00:00.000,WD,WD,WD,WD,P,No Data,No Data,No Data,WD,WD,WD,P,WD,P,No Data,No Data,WD,WD,P,P,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,No Data,No Data,No Data,WD
314,Q178,2006-07-01T00:00:00.000,2006-11-16T00:00:00.000,P,P,P,P,U,No Data,No Data,No Data,P,U,U,WD,WD,P,No Data,No Data,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
315,Q182,2006-07-01T00:00:00.000,2006-11-16T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,U,WD,P,P,No Data,No Data,P,P,P,WD,WD,WD,WD,WD,P,WD,P,P,WD,P,WD,WD,P,P,U,U,P,P,No Data,No Data,No Data,P
316,Q193,2006-07-01T00:00:00.000,2006-11-16T00:00:00.000,P,WD,P,P,P,No Data,No Data,No Data,P,P,P,WD,P,WD,No Data,No Data,P,WD,P,P,P,P,P,WD,WD,P,P,P,P,P,P,WD,WD,P,P,P,P,P,No Data,No Data,No Data,P
317,X158,2006-07-01T00:00:00.000,2006-11-16T00:00:00.000,P,P,P,U,U,No Data,No Data,No Data,P,P,U,P,P,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,P,P,WD,P,P,P,P,U,U,U,No Data,No Data,No Data,U
318,X190,2006-07-01T00:00:00.000,2006-11-16T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,WD,P,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,WD,P,WD,WD,P,P,P,P,P,WD,No Data,No Data,No Data,P
319,X195,2006-07-01T00:00:00.000,2006-11-16T00:00:00.000,P,WD,P,P,P,No Data,No Data,No Data,P,P,P,WD,P,P,No Data,No Data,P,WD,P,WD,P,P,WD,WD,P,WD,P,WD,WD,P,WD,WD,P,WD,P,P,P,P,No Data,No Data,No Data,P
320,Q020,2006-07-01T00:00:00.000,2006-11-17T00:00:00.000,WD,WD,WD,WD,P,No Data,No Data,No Data,WD,P,P,WD,P,P,No Data,No Data,P,P,P,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
321,Q219,2006-07-01T00:00:00.000,2006-11-17T00:00:00.000,WD,WD,WD,P,WD,No Data,No Data,No Data,WD,P,WD,WD,WD,WD,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
322,X544,2006-07-01T00:00:00.000,2006-11-17T00:00:00.000,P,P,P,WD,P,No Data,No Data,No Data,P,P,P,P,WD,WD,No Data,No Data,P,WD,P,WD,WD,WD,P,WD,WD,WD,WD,P,P,P,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
323,Q133,2006-07-01T00:00:00.000,2006-11-20T00:00:00.000,WD,WD,P,P,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
324,Q139,2006-07-01T00:00:00.000,2006-11-20T00:00:00.000,WD,WD,WD,WD,P,No Data,No Data,No Data,WD,P,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,P,P,P,WD,WD,WD,WD,P,P,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
325,Q154,2006-07-01T00:00:00.000,2006-11-20T00:00:00.000,WD,WD,P,WD,WD,No Data,No Data,No Data,WD,P,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,No Data,No Data,WD
326,Q169,2006-07-01T00:00:00.000,2006-11-20T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,P,WD,WD,WD,WD,P,P,WD,P,WD,P,P,P,P,P,P,P,P,No Data,No Data,No Data,P
327,Q205,2006-07-01T00:00:00.000,2006-11-20T00:00:00.000,WD,WD,P,P,P,No Data,No Data,No Data,P,WD,P,WD,WD,WD,No Data,No Data,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,P,WD,WD,WD,No Data,No Data,No Data,WD
328,Q216,2006-07-01T00:00:00.000,2006-11-20T00:00:00.000,P,WD,P,P,P,No Data,No Data,No Data,P,P,WD,WD,P,P,No Data,No Data,P,P,P,WD,WD,P,P,WD,P,P,WD,P,WD,WD,WD,WD,WD,WD,P,P,WD,P,No Data,No Data,No Data,P
329,Q221,2006-07-01T00:00:00.000,2006-11-20T00:00:00.000,WD,WD,P,WD,P,No Data,No Data,No Data,WD,P,WD,WD,WD,WD,No Data,No Data,WD,P,WD,WD,P,WD,WD,WD,WD,WD,P,P,WD,WD,WD,WD,WD,WD,P,WD,WD,P,No Data,No Data,No Data,WD
330,Q237,2006-07-01T00:00:00.000,2006-11-20T00:00:00.000,P,WD,P,P,P,No Data,No Data,No Data,P,P,P,WD,P,P,No Data,No Data,P,WD,P,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,U,P,U,U,No Data,No Data,No Data,U
331,X130,2006-07-01T00:00:00.000,2006-11-20T00:00:00.000,WD,WD,P,WD,P,No Data,No Data,No Data,WD,P,P,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,P,WD,WD,P,WD,WD,No Data,No Data,No Data,WD
332,Q191,2006-07-01T00:00:00.000,2006-11-21T00:00:00.000,WD,WD,WD,P,WD,No Data,No Data,No Data,WD,WD,P,WD,WD,WD,No Data,No Data,WD,P,P,P,P,P,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,No Data,No Data,No Data,WD
333,Q420,2006-07-01T00:00:00.000,2006-11-21T00:00:00.000,P,P,P,WD,P,No Data,No Data,No Data,P,P,P,WD,WD,P,No Data,No Data,P,WD,P,P,P,WD,P,WD,WD,P,P,P,P,P,WD,WD,P,P,P,P,WD,P,No Data,No Data,No Data,P
334,Q030,2006-07-01T00:00:00.000,2006-11-27T00:00:00.000,P,WD,P,U,U,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,P,WD,P,P,WD,P,P,WD,WD,P,P,P,P,P,P,No Data,No Data,No Data,P
335,Q031,2006-07-01T00:00:00.000,2006-11-27T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
336,Q074,2006-07-01T00:00:00.000,2006-11-27T00:00:00.000,WD,WD,P,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
337,Q101,2006-07-01T00:00:00.000,2006-11-27T00:00:00.000,P,WD,P,P,WD,No Data,No Data,No Data,P,U,WD,WD,P,P,No Data,No Data,P,WD,U,P,WD,P,WD,WD,P,P,P,P,P,P,WD,WD,P,P,P,P,P,U,No Data,No Data,No Data,P
338,X132,2006-07-01T00:00:00.000,2007-03-12T00:00:00.000,U,U,U,U,U,No Data,No Data,No Data,U,U,U,P,U,U,No Data,No Data,U,U,U,P,P,P,U,P,U,U,U,P,P,U,P,P,P,P,U,U,U,U,No Data,No Data,No Data,U
339,Q118,2006-07-01T00:00:00.000,2006-11-27T00:00:00.000,WD,WD,WD,P,WD,No Data,No Data,No Data,WD,WD,WD,WD,P,WD,No Data,No Data,WD,P,P,WD,WD,WD,P,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,P,No Data,No Data,No Data,WD
340,Q158,2006-07-01T00:00:00.000,2006-11-27T00:00:00.000,WD,WD,WD,WD,P,No Data,No Data,No Data,WD,P,WD,WD,WD,WD,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,P,WD,No Data,No Data,No Data,P
341,Q174,2006-07-01T00:00:00.000,2006-11-27T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
342,Q181,2006-07-01T00:00:00.000,2006-11-27T00:00:00.000,P,P,P,U,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,WD,P,P,P,P,WD,P,WD,WD,P,P,P,P,P,P,No Data,No Data,No Data,P
343,Q213,2006-07-01T00:00:00.000,2006-11-27T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,No Data,No Data,WD
344,Q415,2006-07-01T00:00:00.000,2006-11-27T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,P,WD,WD,WD,WD,No Data,No Data,WD,WD,P,WD,P,WD,P,WD,WD,WD,P,P,WD,WD,WD,WD,WD,WD,P,P,WD,WD,No Data,No Data,No Data,WD
345,Q440,2006-07-01T00:00:00.000,2006-11-27T00:00:00.000,P,P,U,P,P,No Data,No Data,No Data,P,U,U,P,P,U,No Data,No Data,U,P,U,P,P,P,P,U,P,P,P,U,P,P,P,P,P,P,U,P,U,U,No Data,No Data,No Data,U
346,Q498,2006-07-01T00:00:00.000,2006-11-27T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,WD,WD,P,No Data,No Data,P,WD,P,P,P,WD,P,WD,WD,P,P,WD,P,P,WD,WD,WD,P,P,P,P,P,No Data,No Data,No Data,P
