cmplnt_num,cmplnt_fr_dt,cmplnt_fr_tm,addr_pct_cd,rpt_dt,ky_cd,ofns_desc,pd_cd,pd_desc,crm_atpt_cptd_cd,law_cat_cd,boro_nm,prem_typ_desc,juris_desc,jurisdiction_code,parks_nm,housing_psa,x_coord_cd,y_coord_cd,latitude,longitude,lat_lon,patrol_boro,vic_age_group,vic_race,vic_sex,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,cmplnt_to_dt,cmplnt_to_tm,loc_of_occur_desc,susp_race,susp_sex,susp_age_group,transit_district,station_name,hadevelopt
612803606,2006-04-24T00:00:00.000,12:30:00,28.0,2006-04-24T00:00:00.000,236,DANGEROUS WEAPONS,782.0,"WEAPONS, POSSESSION, ETC",COMPLETED,MISDEMEANOR,MANHATTAN,STREET,N.Y. POLICE DEPT,0.0,NA,NA,,,,,,PATROL BORO MAN NORTH,45-64,BLACK,M,,,,,,2006-04-24T00:00:00.000,13:00:00,FRONT OF,,,,,,
407312187,2006-04-28T00:00:00.000,00:05:00,48.0,2006-04-28T00:00:00.000,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,STREET,N.Y. POLICE DEPT,0.0,NA,NA,,,,,,PATROL BORO BRONX,25-44,WHITE HISPANIC,F,,,,,,2006-04-28T00:00:00.000,00:10:00,FRONT OF,WHITE HISPANIC,F,,,,
529190796,2010-10-22T00:00:00.000,15:30:00,52.0,2010-10-22T00:00:00.000,235,DANGEROUS DRUGS,567.0,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,BRONX,STREET,N.Y. POLICE DEPT,0.0,NA,NA,1016489.0,258356.0,40.875751253,-73.883425668,"{'latitude': '40.875751253', 'longitude': '-73.883425668'}",PATROL BORO BRONX,,UNKNOWN,E,11605.0,24.0,5.0,40.0,34.0,,,,,,,,,
103888009,2010-07-06T00:00:00.000,14:09:00,101.0,2010-07-06T00:00:00.000,111,POSSESSION OF STOLEN PROPERTY,494.0,"STOLEN PROPERTY 2,1,POSSESSION",COMPLETED,FELONY,QUEENS,STREET,N.Y. POLICE DEPT,0.0,NA,NA,1052531.0,156608.0,40.596274201,-73.754131456,"{'latitude': '40.596274201', 'longitude': '-73.754131456'}",PATROL BORO QUEENS SOUTH,,UNKNOWN,E,20529.0,51.0,3.0,47.0,59.0,,,FRONT OF,,,,,,
359449630,2010-06-05T00:00:00.000,05:53:00,52.0,2010-06-05T00:00:00.000,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,,,N.Y. POLICE DEPT,,NA,NA,1014806.0,254117.0,40.864122487,-73.889530698,"{'latitude': '40.864122487', 'longitude': '-73.889530698'}",,45-64,BLACK,M,10936.0,24.0,5.0,22.0,34.0,,,INSIDE,,,,,,
958152635,2009-07-08T00:00:00.000,17:50:00,23.0,2009-07-08T00:00:00.000,118,DANGEROUS WEAPONS,793.0,WEAPONS POSSESSION 3,COMPLETED,FELONY,MANHATTAN,STREET,N.Y. POLICE DEPT,0.0,NA,NA,998746.0,229343.0,40.796165939,-73.94764679,"{'latitude': '40.796165939', 'longitude': '-73.94764679'}",PATROL BORO MAN NORTH,,UNKNOWN,E,12426.0,7.0,4.0,36.0,14.0,,,,,,,,,
169454864,2006-04-22T00:00:00.000,13:00:00,71.0,2006-04-22T00:00:00.000,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,NA,NA,,,,,,PATROL BORO BKLYN SOUTH,25-44,BLACK,F,,,,,,,,INSIDE,BLACK,M,25-44,,,
334786817,2006-03-28T00:00:00.000,17:50:00,115.0,2006-03-28T00:00:00.000,113,FORGERY,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,QUEENS,STREET,N.Y. POLICE DEPT,0.0,NA,NA,1017389.0,214082.0,40.754228285,-73.880389882,"{'latitude': '40.754228285', 'longitude': '-73.880389882'}",PATROL BORO QUEENS NORTH,,UNKNOWN,E,14783.0,65.0,3.0,5.0,73.0,,,,,,,,,
666490455,2007-08-17T00:00:00.000,02:45:00,75.0,2007-08-17T00:00:00.000,235,DANGEROUS DRUGS,567.0,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,BROOKLYN,STREET,N.Y. POLICE DEPT,0.0,NA,NA,1017081.0,182240.0,40.666830775,-73.881656839,"{'latitude': '40.666830775', 'longitude': '-73.881656839'}",PATROL BORO BKLYN NORTH,,UNKNOWN,E,17215.0,45.0,2.0,25.0,47.0,,,,,,,,,
751212407,2010-08-19T00:00:00.000,00:46:00,75.0,2010-08-19T00:00:00.000,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,,,N.Y. POLICE DEPT,,NA,NA,1012594.0,182732.0,40.668196706,-73.897828865,"{'latitude': '40.668196706', 'longitude': '-73.897828865'}",,25-44,BLACK,M,17214.0,45.0,2.0,25.0,47.0,,,OUTSIDE,BLACK,M,25-44,,,
