,nyc_cooling_tower,bin,address,borough,zip,intended_use,make,model,serial_number,cooling_capacity,cooling_capacity_1,date_registered,latitude,longitude,deleted,location_1,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,date_commissioned,community_board,council_district,census_tract,bbl,nta
151,1000001090,3347736,330 JAY STREET,BROOKLYN,11201,AIR CONDITIONING,BALTIMORE AIRCOIL COMPANY (BAC),33860FW,Uo13612603,15975000.0,REFRIGERATION TONS,2015-08-24T00:00:00.000,40.694603,-73.987696,No,"{'latitude': '40.694603', 'longitude': '-73.987696'}",16865.0,68,2,38,54,2002-06-10T00:00:00.000,2.0,33.0,11.0,3001407502.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
152,1000000064,1016743,27 MADISON AVENUE,MANHATTAN,10010,NULL,BALTIMORE AIRCOIL COMPANY (BAC),VT1-N220-0X,U025968101,280.0,REFRIGERATION TONS,2015-08-12T00:00:00.000,40.742191,-73.986565,No,"{'latitude': '40.742191', 'longitude': '-73.986565'}",12073.0,11,4,50,7,,5.0,2.0,56.0,1008550001.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
153,1000001200,1040884,812 5TH AVENUE,MANHATTAN,10065,NULL,OTHER,SNT-96D,SP1 96-4112,4320000.0,BTU/HR,2015-08-25T00:00:00.000,40.76629,-73.97113,No,"{'latitude': '40.76629', 'longitude': '-73.97113'}",10090.0,23,4,51,11,,8.0,4.0,11401.0,1013770003.0,Upper East Side-Carnegie Hill                                              
154,1000000114,1035251,36 CENTRAL PARK SOUTH,MANHATTAN,10019,NULL,BALTIMORE AIRCOIL COMPANY (BAC),3725A,24831601,1285.0,REFRIGERATION TONS,2015-08-14T00:00:00.000,40.764811,-73.975409,No,"{'latitude': '40.764811', 'longitude': '-73.975409'}",12081.0,11,4,51,10,,5.0,4.0,11201.0,1012740011.0,Midtown-Midtown South                                                      
155,1000000752,2090354,545 142TH STREET,BRONX,10454,AIR CONDITIONING,MARLEY,8611,8611-1-1865-10,260.0,,2015-08-20T00:00:00.000,40.810173,-73.915892,No,"{'latitude': '40.810173', 'longitude': '-73.915892'}",10932.0,49,5,35,23,2016-08-10T00:00:00.000,,,,,
156,1000001248,1040764,4 EAST 60TH STREET,MANHATTAN,10022,NULL,BALTIMORE AIRCOIL COMPANY (BAC),VNT-250A,73-883811,250.0,REFRIGERATION TONS,2015-08-25T00:00:00.000,40.764424,-73.972023,No,"{'latitude': '40.764424', 'longitude': '-73.972023'}",12419.0,23,4,51,11,,8.0,4.0,11401.0,1013740065.0,Upper East Side-Carnegie Hill                                              
157,1000000379,1087131,1200 YORK AVE.,MANHATTAN,10065,CONDENSATE WATER,BALTIMORE AIRCOIL COMPANY (BAC),15146W,U0247990-01 & 02,1.75,REFRIGERATION TONS,2015-08-19T00:00:00.000,40.762076,-73.956796,No,"{'latitude': '40.762076', 'longitude': '-73.956796'}",10090.0,23,4,1,11,1992-08-01T00:00:00.000,8.0,5.0,116.0,1014800010.0,Lenox Hill-Roosevelt Island                                                
158,1000000975,1081016,47 W 66TH ST,MANHATTAN,10023,NULL,BALTIMORE AIRCOIL COMPANY (BAC),VST-750DSST,771474 & 771176,7200000.0,BTU/HR,2015-08-21T00:00:00.000,40.773041,-73.979652,No,"{'latitude': '40.773041', 'longitude': '-73.979652'}",12420.0,20,4,19,12,,7.0,6.0,153.0,1011190021.0,Lincoln Square                                                             
159,1000001101,1085401,450 W 33RD ST,MANHATTAN,10001,AIR CONDITIONING,EVAPCO,ATW-91B-2,"T012213, T012214, T012215",1200.0,REFRIGERATION TONS,2015-08-24T00:00:00.000,40.753364,-73.999567,No,"{'latitude': '40.753364', 'longitude': '-73.999567'}",11722.0,12,4,10,6,2001-01-01T00:00:00.000,4.0,3.0,103.0,1007299001.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
160,1000000540,1038908,333 EAST 47TH STREET,MANHATTAN,10017,BASE BUILDING HVAC,MARLEY,NC1011CS,71094-NC1011CS-95,200.0,REFRIGERATION TONS,2015-08-20T00:00:00.000,40.752554,-73.96826,No,"{'latitude': '40.752554', 'longitude': '-73.96826'}",12079.0,71,4,51,9,1990-05-04T00:00:00.000,6.0,4.0,90.0,1013400016.0,Turtle Bay-East Midtown                                                    
