report_date,building_id,dob_violations,hpd_violations,fdny_violations,total_open_violations
2018-06-30T00:00:00.000,TQ18,3,51,0,54.0
2018-06-30T00:00:00.000,TQ19,17,8,0,25.0
2018-06-30T00:00:00.000,TQ20,3,0,3,6.0
2018-06-30T00:00:00.000,TQ21,2,17,3,22.0
2018-06-30T00:00:00.000,TQ22,0,3,0,3.0
2018-06-30T00:00:00.000,TQ23,2,0,0,2.0
2018-06-30T00:00:00.000,TQ24,10,1,1,12.0
2018-06-30T00:00:00.000,TQ25,9,9,3,21.0
2018-06-30T00:00:00.000,TQ26,8,47,9,64.0
2018-06-30T00:00:00.000,TQ27,8,18,2,28.0
2018-06-30T00:00:00.000,TQ28,28,110,3,141.0
2018-06-30T00:00:00.000,TQ29,7,49,2,58.0
2018-06-30T00:00:00.000,TQ30,6,4,1,11.0
2018-06-30T00:00:00.000,TQ31,24,13,0,37.0
2018-06-30T00:00:00.000,TQ32,0,1,0,1.0
2018-06-30T00:00:00.000,TQ33,12,19,0,31.0
2018-06-30T00:00:00.000,TQ34,67,40,0,107.0
2018-06-30T00:00:00.000,TQ35,2,3,1,6.0
2018-06-30T00:00:00.000,TQ36,11,35,3,49.0
2018-06-30T00:00:00.000,TQ37,7,2,0,9.0
2018-06-30T00:00:00.000,TQ38,12,8,1,21.0
2018-06-30T00:00:00.000,TQ39,2,2,0,4.0
2018-06-30T00:00:00.000,TQ40,0,0,3,3.0
2018-06-30T00:00:00.000,TQ41,0,4,0,4.0
2018-06-30T00:00:00.000,TQ42,11,11,0,22.0
2018-06-30T00:00:00.000,TQ43,14,89,10,113.0
2018-06-30T00:00:00.000,TQ44,7,23,1,31.0
2018-06-30T00:00:00.000,TQ45,70,22,10,102.0
2018-06-30T00:00:00.000,TQ46,12,27,0,39.0
2018-06-30T00:00:00.000,TQ47,0,0,5,5.0
2018-06-30T00:00:00.000,TQ48,3,13,1,17.0
2018-06-30T00:00:00.000,TQ49,45,101,2,148.0
2018-06-30T00:00:00.000,TQ50,1,0,2,3.0
2018-06-30T00:00:00.000,TQ51,30,8,1,39.0
2018-06-30T00:00:00.000,TQ52,29,9,0,38.0
2018-06-30T00:00:00.000,TQ53,2,6,0,8.0
2018-06-30T00:00:00.000,TQ54,2,43,1,46.0
2018-06-30T00:00:00.000,TQ55,8,8,0,16.0
2018-06-30T00:00:00.000,TQ56,5,32,2,39.0
2018-06-30T00:00:00.000,TQ57,11,3,3,17.0
2018-06-30T00:00:00.000,TQ58,3,1,0,4.0
2018-06-30T00:00:00.000,TQ59,0,0,0,0.0
2018-06-30T00:00:00.000,TQ60,0,9,2,11.0
2018-06-30T00:00:00.000,TQ61,6,2,2,10.0
2018-06-30T00:00:00.000,TQ62,3,12,0,15.0
2018-06-30T00:00:00.000,TQ63,2,7,1,10.0
2018-06-30T00:00:00.000,TQ64,37,1,1,39.0
2018-06-30T00:00:00.000,TQ65,7,16,1,24.0
2018-06-30T00:00:00.000,TQ66,2,13,2,17.0
2018-06-30T00:00:00.000,TQ67,17,3,0,20.0
2018-06-30T00:00:00.000,TQ68,5,0,0,5.0
2018-06-30T00:00:00.000,TQ69,1,0,1,2.0
2018-06-30T00:00:00.000,TQ70,5,22,3,30.0
2018-06-30T00:00:00.000,TQ71,7,93,1,101.0
2018-06-30T00:00:00.000,TQ72,0,11,3,14.0
2018-06-30T00:00:00.000,TQ73,10,4,1,15.0
2018-06-30T00:00:00.000,TQ74,15,23,1,39.0
2018-06-30T00:00:00.000,TQ75,3,14,0,17.0
2018-06-30T00:00:00.000,TQ76,5,0,0,5.0
2018-06-30T00:00:00.000,TQ77,9,0,2,11.0
2018-06-30T00:00:00.000,TQ78,0,13,3,16.0
